宝箱ID	宝箱掉落奖励
id	lootId
Int	Int
1001	300401
1002	300401
1003	300401
1004	300401
1005	300401
1006	300401
1007	300401
1008	300401
1009	300401
1010	300401
1011	300401
1012	300401
1013	300401
1014	300401
1015	300401
1016	300401
1017	300401
1018	300401
1019	300401
1020	300401
1021	300401
1022	300401
1023	300401
1024	300401
1025	300401
1026	300401
1027	300401
1028	300401
1029	300401
1030	300401
1031	300401
1032	300401
1033	300401
1034	300401
1035	300401
1036	300401
1037	300401
1038	300401
1039	300401
1040	300401
1041	300401
1042	300401
1043	300401
1044	300401
1045	300401
1046	300401
1047	300401
1048	300401
1049	300401
1050	300401
1051	300401
1052	300401
1053	300401
1054	300401
1055	300401
1056	300401
1057	300401
1058	300401
1059	300401
1060	300401
1061	300401
1062	300401
1063	300401
1064	300401
1065	300401
1066	300401
1067	300401
1068	300401
1069	300401
1070	300401
1071	300401
1072	300401
1073	300401
1074	300401
1075	300401
1076	300401
1077	300401
1078	300401
1079	300401
1080	300401
1081	300401
1082	300401
1083	300401
1084	300401
1085	300401
1086	300401
1087	300401
1088	300401
1089	300401
1090	300401
1091	300401
1092	300401
1093	300401
1094	300401
1095	300401
1096	300401
1097	300401
1098	300401
1099	300401
1100	300401
2001	300401
2002	300401
2003	300401
2004	300401
2005	300401
2006	300401
2007	300401
2008	300401
2009	300401
2010	300401
2011	300401
2012	300401
2013	300401
2014	300401
2015	300401
2016	300401
2017	300401
2018	300401
2019	300401
2020	300401
2021	300401
2022	300401
2023	300401
2024	300401
2025	300401
2026	300401
2027	300401
2028	300401
2029	300401
2030	300401
2031	300401
2032	300401
2033	300401
2034	300401
2035	300401
2036	300401
2037	300401
2038	300401
2039	300401
2040	300401
2041	300401
2042	300401
2043	300401
2044	300401
2045	300401
2046	300401
2047	300401
2048	300401
2049	300401
2050	300401
2051	300401
2052	300401
2053	300401
2054	300401
2055	300401
2056	300401
2057	300401
2058	300401
2059	300401
2060	300401
2061	300401
2062	300401
2063	300401
2064	300401
2065	300401
2066	300401
2067	300401
2068	300401
2069	300401
2070	300401
2071	300401
2072	300401
2073	300401
2074	300401
2075	300401
2076	300401
2077	300401
2078	300401
2079	300401
2080	300401
2081	300401
2082	300401
2083	300401
2084	300401
2085	300401
2086	300401
2087	300401
2088	300401
2089	300401
2090	300401
2091	300401
2092	300401
2093	300401
2094	300401
2095	300401
2096	300401
2097	300401
2098	300401
2099	300401
2100	300401
3001	300401
3002	300401
3003	300401
3004	300401
3005	300401
3006	300401
3007	300401
3008	300401
3009	300401
3010	300401
3011	300401
3012	300401
3013	300401
3014	300401
3015	300401
3016	300401
3017	300401
3018	300401
3019	300401
3020	300401
3021	300401
3022	300401
3023	300401
3024	300401
3025	300401
3026	300401
3027	300401
3028	300401
3029	300401
3030	300401
3031	300401
3032	300401
3033	300401
3034	300401
3035	300401
3036	300401
3037	300401
3038	300401
3039	300401
3040	300401
3041	300401
3042	300401
3043	300401
3044	300401
3045	300401
3046	300401
3047	300401
3048	300401
3049	300401
3050	300401
3051	300401
3052	300401
3053	300401
3054	300401
3055	300401
3056	300401
3057	300401
3058	300401
3059	300401
3060	300401
3061	300401
3062	300401
3063	300401
3064	300401
3065	300401
3066	300401
3067	300401
3068	300401
3069	300401
3070	300401
3071	300401
3072	300401
3073	300401
3074	300401
3075	300401
3076	300401
3077	300401
3078	300401
3079	300401
3080	300401
3081	300401
3082	300401
3083	300401
3084	300401
3085	300401
3086	300401
3087	300401
3088	300401
3089	300401
3090	300401
3091	300401
3092	300401
3093	300401
3094	300401
3095	300401
3096	300401
3097	300401
3098	300401
3099	300401
3100	300401
4001	300401
4002	300401
4003	300401
4004	300401
4005	300401
4006	300401
4007	300401
4008	300401
4009	300401
4010	300401
4011	300401
4012	300401
4013	300401
4014	300401
4015	300401
4016	300401
4017	300401
4018	300401
4019	300401
4020	300401
4021	300401
4022	300401
4023	300401
4024	300401
4025	300401
4026	300401
4027	300401
4028	300401
4029	300401
4030	300401
4031	300401
4032	300401
4033	300401
4034	300401
4035	300401
4036	300401
4037	300401
4038	300401
4039	300401
4040	300401
4041	300401
4042	300401
4043	300401
4044	300401
4045	300401
4046	300401
4047	300401
4048	300401
4049	300401
4050	300401
4051	300401
4052	300401
4053	300401
4054	300401
4055	300401
4056	300401
4057	300401
4058	300401
4059	300401
4060	300401
4061	300401
4062	300401
4063	300401
4064	300401
4065	300401
4066	300401
4067	300401
4068	300401
4069	300401
4070	300401
4071	300401
4072	300401
4073	300401
4074	300401
4075	300401
4076	300401
4077	300401
4078	300401
4079	300401
4080	300401
4081	300401
4082	300401
4083	300401
4084	300401
4085	300401
4086	300401
4087	300401
4088	300401
4089	300401
4090	300401
4091	300401
4092	300401
4093	300401
4094	300401
4095	300401
4096	300401
4097	300401
4098	300401
4099	300401
4100	300401
5001	300401
5002	300401
5003	300401
5004	300401
5005	300401
5006	300401
5007	300401
5008	300401
5009	300401
5010	300401
5011	300401
5012	300401
5013	300401
5014	300401
5015	300401
5016	300401
5017	300401
5018	300401
5019	300401
5020	300401
5021	300401
5022	300401
5023	300401
5024	300401
5025	300401
5026	300401
5027	300401
5028	300401
5029	300401
5030	300401
5031	300401
5032	300401
5033	300401
5034	300401
5035	300401
5036	300401
5037	300401
5038	300401
5039	300401
5040	300401
5041	300401
5042	300401
5043	300401
5044	300401
5045	300401
5046	300401
5047	300401
5048	300401
5049	300401
5050	300401
5051	300401
5052	300401
5053	300401
5054	300401
5055	300401
5056	300401
5057	300401
5058	300401
5059	300401
5060	300401
5061	300401
5062	300401
5063	300401
5064	300401
5065	300401
5066	300401
5067	300401
5068	300401
5069	300401
5070	300401
5071	300401
5072	300401
5073	300401
5074	300401
5075	300401
5076	300401
5077	300401
5078	300401
5079	300401
5080	300401
5081	300401
5082	300401
5083	300401
5084	300401
5085	300401
5086	300401
5087	300401
5088	300401
5089	300401
5090	300401
5091	300401
5092	300401
5093	300401
5094	300401
5095	300401
5096	300401
5097	300401
5098	300401
5099	300401
5100	300401
