宝箱ID	宝箱掉落奖励
id	lootId
Int	Int
1001	300500
1002	300501
1003	300502
1004	300503
1005	300504
1006	300505
1007	300506
1008	300507
1009	300508
1010	300509
1011	300510
1012	300511
1013	300512
1014	300513
1015	300514
1016	300515
1017	300516
1018	300517
1019	300518
1020	300519
1021	300520
1022	300521
1023	300522
1024	300523
1025	300524
1026	300525
1027	300526
1028	300527
1029	300528
1030	300529
1031	300530
1032	300531
1033	300532
1034	300533
1035	300534
1036	300535
1037	300536
1038	300537
1039	300538
1040	300539
1041	300540
1042	300541
1043	300542
1044	300543
1045	300544
1046	300545
1047	300546
1048	300547
1049	300548
1050	300549
1051	300550
1052	300551
1053	300552
1054	300553
1055	300554
1056	300555
1057	300556
1058	300557
1059	300558
1060	300559
1061	300560
1062	300561
1063	300562
1064	300563
1065	300564
1066	300565
1067	300566
1068	300567
1069	300568
1070	300569
1071	300570
1072	300571
1073	300572
1074	300573
1075	300574
1076	300575
1077	300576
1078	300577
1079	300578
1080	300579
1081	300580
1082	300581
1083	300582
1084	300583
1085	300584
1086	300585
1087	300586
1088	300587
1089	300588
1090	300589
1091	300590
1092	300591
1093	300592
1094	300593
1095	300594
1096	300595
1097	300596
1098	300597
1099	300598
1100	300599
