关卡ID	战斗ID	挑战限制	限制参数	首通奖励
id	formation	challengeLimit	target	award
Int	Int	String	Int	Award
100100	2007001	level	0	user.bindcash:100
100101	2007002	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100102	2007003	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100103	2007004	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100104	2007005	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100105	2007006	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100200	2007007	level	0	user.bindcash:100
100201	2007008	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100202	2007009	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100203	2007010	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100204	2007011	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100205	2007012	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100300	2007013	level	0	user.bindcash:100
100301	2007014	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100302	2007015	level	0	user.gold:30000,user.hero_exp:10000,material.1:5
100303	2007016	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100304	2007017	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100305	2007018	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100400	2007019	level	0	user.bindcash:100
100401	2007020	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100402	2007021	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100403	2007022	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100404	2007023	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100405	2007024	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100500	2007025	level	0	user.bindcash:100
100501	2007026	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100502	2007027	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100503	2007028	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100504	2007029	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100505	2007030	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100600	2007031	level	0	user.bindcash:100
100601	2007032	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100602	2007033	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100603	2007034	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100604	2007035	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100605	2007036	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100700	2007037	level	0	user.bindcash:100
100701	2007038	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100702	2007039	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100703	2007040	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100704	2007041	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100705	2007042	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100800	2007043	level	0	user.bindcash:100
100801	2007044	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100802	2007045	level	0	user.gold:30000,user.hero_exp:20000,material.1:5
100803	2007046	level	0	user.gold:30000,user.hero_exp:20000,material.1:6
100804	2007047	level	0	user.gold:30000,user.hero_exp:20000,material.1:6
100805	2007048	level	0	user.gold:30000,user.hero_exp:30000,material.1:6
100900	2007049	level	0	user.bindcash:100
100901	2007050	level	0	user.gold:30000,user.hero_exp:30000,material.1:6
100902	2007051	level	0	user.gold:30000,user.hero_exp:30000,material.1:6
100903	2007052	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
100904	2007053	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
100905	2007054	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101000	2007055	level	0	user.bindcash:100
101001	2007056	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101002	2007057	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101003	2007058	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101004	2007059	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101005	2007060	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101100	2007061	level	0	user.bindcash:100
101101	2007062	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101102	2007063	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101103	2007064	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101104	2007065	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101105	2007066	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101200	2007067	level	0	user.bindcash:100
101201	2007068	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101202	2007069	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101203	2007070	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101204	2007071	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101205	2007072	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101300	2007073	level	0	user.bindcash:100
101301	2007074	level	0	user.gold:40000,user.hero_exp:30000,material.1:6
101302	2007075	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101303	2007076	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101304	2007077	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101305	2007078	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101400	2007079	level	0	user.bindcash:100
101401	2007080	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101402	2007081	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101403	2007082	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101404	2007083	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101405	2007084	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101500	2007085	level	0	user.bindcash:100
101501	2007086	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101502	2007087	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101503	2007088	level	0	user.gold:40000,user.hero_exp:40000,material.1:6
101504	2007089	level	0	user.gold:40000,user.hero_exp:50000,material.1:7
101505	2007090	level	0	user.gold:40000,user.hero_exp:50000,material.1:7
101600	2007091	level	3	user.bindcash:100
101601	2007092	level	3	user.gold:40000,user.hero_exp:50000,material.1:7
101602	2007093	level	3	user.gold:40000,user.hero_exp:50000,material.1:7
101603	2007094	level	3	user.gold:50000,user.hero_exp:50000,material.1:7
101604	2007095	level	3	user.gold:50000,user.hero_exp:50000,material.1:7
101605	2007096	level	3	user.gold:50000,user.hero_exp:50000,material.1:7
101700	2007097	level	5	user.bindcash:100
101701	2007098	level	5	user.gold:50000,user.hero_exp:50000,material.1:7
101702	2007099	level	5	user.gold:50000,user.hero_exp:50000,material.1:7
101703	2007100	level	5	user.gold:50000,user.hero_exp:50000,material.1:7
101704	2007101	level	5	user.gold:50000,user.hero_exp:60000,material.1:13
101705	2007102	level	5	user.gold:50000,user.hero_exp:60000,material.1:13
101800	2007103	level	8	user.bindcash:100
101801	2007104	level	8	user.gold:50000,user.hero_exp:60000,material.1:13
101802	2007105	level	8	user.gold:50000,user.hero_exp:60000,material.1:13
101803	2007106	level	8	user.gold:60000,user.hero_exp:60000,material.1:13
101804	2007107	level	8	user.gold:60000,user.hero_exp:60000,material.1:13
101805	2007108	level	8	user.gold:60000,user.hero_exp:70000,material.1:13
101900	2007109	level	10	user.bindcash:100
101901	2007110	level	10	user.gold:60000,user.hero_exp:70000,material.1:13
