活动表名	对应的活动key值
tableName	key
String	String
avpayonly	pay_only
avtodaydouble	todaydouble
avsinglerecharge	single_recharge
avdailyrecharge	daily_recharge
avlogingift	login_goodgift
avaccumulaterecharge	accumulate_recharge
avexpendgift	expend_gift
avdailycost	daily_cost
avovervaluedgift	value_package
avdayvouchsafe	day_vouchsafe
avlimitbuy	limit_buy
avhuman_wing	human_wing
avhuman_arms	human_arms
avluckydragonnew	lucky_dragon_new
avrecruit_ordinary	tavern_normal
avrecruit_senior	tavern_high
avhuman_mount	human_mount
avlimit_exchange	limit_exchange
avalasd_pray	pray
avday_recharge	day_recharge
avday_exchange	day_exchange
openholiday	open_holiday
openholidaybox	open_holiday
avbuy_award	buy_award
avtavernrecruitfrequency	tavern_recruit
avmanuallyaward	manually
avmanuallylevel	manually
avmanuallytask	manually
avrank_recharge	open_rank_recharge
avrank_expense	open_rank_expense
avsinglerecharge	single_recharge
avexchangeitem	exchange_item
avaccumulatedaily	accumulate_daily
accumulatepay	accumulate_pay
avhelpequip	help_equip
avoctopusaward	octopus
avdestinyrotate_cost	destiny_rotate
avdestinyrotate_high	destiny_rotate
avdestinyrotate_normal	destiny_rotate
