成就类别	成就等级	需求	成就奖励	成就描述
type	level	count	award	desc
Int	Int2	Int	Award	String
1	1	10000	user.arena:30,user.bindcash:10,equip.60201.0:1	text_arenaAchievemenDesc1
1	2	5000	user.arena:60,user.bindcash:10,equip.50201.0:1	text_arenaAchievemenDesc1
1	3	2000	user.arena:90,user.bindcash:10,material.1:20	text_arenaAchievemenDesc1
1	4	1000	user.arena:130,user.bindcash:10,equip.40201.0:1	text_arenaAchievemenDesc1
1	5	500	user.arena:160,user.bindcash:10,equip.30201.0:1	text_arenaAchievemenDesc1
1	6	200	user.arena:190,user.bindcash:20,material.1:30	text_arenaAchievemenDesc1
1	7	100	user.arena:220,user.bindcash:20,equip.20201.0:1	text_arenaAchievemenDesc1
1	8	50	user.arena:250,user.bindcash:20,equip.10201.0:1	text_arenaAchievemenDesc1
1	9	20	user.arena:380,user.bindcash:40,material.1:40	text_arenaAchievemenDesc1
1	10	10	user.arena:500,user.bindcash:50,material.940:10	text_arenaAchievemenDesc1
2	1	10000	user.arena:40,user.bindcash:10,equip.60201.0:1	text_arenaAchievemenDesc2
2	2	5000	user.arena:80,user.bindcash:10,equip.50201.0:1	text_arenaAchievemenDesc2
2	3	2000	user.arena:120,user.bindcash:10,material.1:20	text_arenaAchievemenDesc2
2	4	1000	user.arena:160,user.bindcash:10,equip.40201.0:1	text_arenaAchievemenDesc2
2	5	500	user.arena:200,user.bindcash:10,equip.30201.0:1	text_arenaAchievemenDesc2
2	6	200	user.arena:230,user.bindcash:20,material.1:30	text_arenaAchievemenDesc2
2	7	100	user.arena:270,user.bindcash:20,equip.20201.0:1	text_arenaAchievemenDesc2
2	8	50	user.arena:310,user.bindcash:20,equip.10201.0:1	text_arenaAchievemenDesc2
2	9	20	user.arena:470,user.bindcash:40,material.1:40	text_arenaAchievemenDesc2
2	10	10	user.arena:630,user.bindcash:50,material.950:10	text_arenaAchievemenDesc2
3	1	10000	user.arena:50,user.bindcash:10,equip.60301.0:1	text_arenaAchievemenDesc3
3	2	5000	user.arena:90,user.bindcash:10,equip.50301.0:1	text_arenaAchievemenDesc3
3	3	2000	user.arena:140,user.bindcash:10,material.1:20	text_arenaAchievemenDesc3
3	4	1000	user.arena:190,user.bindcash:10,equip.40301.0:1	text_arenaAchievemenDesc3
3	5	500	user.arena:230,user.bindcash:10,equip.30301.0:1	text_arenaAchievemenDesc3
3	6	200	user.arena:280,user.bindcash:20,material.1:30	text_arenaAchievemenDesc3
3	7	100	user.arena:330,user.bindcash:20,equip.20301.0:1	text_arenaAchievemenDesc3
3	8	50	user.arena:380,user.bindcash:20,equip.10301.0:1	text_arenaAchievemenDesc3
3	9	20	user.arena:560,user.bindcash:40,material.1:40	text_arenaAchievemenDesc3
3	10	10	user.arena:750,user.bindcash:50,material.950:20	text_arenaAchievemenDesc3
4	1	10000	user.arena:60,user.bindcash:10,equip.60301.1:1	text_arenaAchievemenDesc4
4	2	5000	user.arena:130,user.bindcash:10,equip.50301.1:1	text_arenaAchievemenDesc4
4	3	2000	user.arena:190,user.bindcash:10,material.1:20	text_arenaAchievemenDesc4
4	4	1000	user.arena:250,user.bindcash:10,equip.40301.1:1	text_arenaAchievemenDesc4
4	5	500	user.arena:310,user.bindcash:10,equip.30301.1:1	text_arenaAchievemenDesc4
4	6	200	user.arena:380,user.bindcash:20,material.1:30	text_arenaAchievemenDesc4
4	7	100	user.arena:440,user.bindcash:20,equip.20301.1:1	text_arenaAchievemenDesc4
4	8	50	user.arena:500,user.bindcash:20,equip.10301.1:1	text_arenaAchievemenDesc4
4	9	20	user.arena:750,user.bindcash:40,material.1:40	text_arenaAchievemenDesc4
4	10	10	user.arena:1000,user.bindcash:50,material.950:30	text_arenaAchievemenDesc4
5	1	10000	user.arena:80,user.bindcash:10,equip.60401.1:1	text_arenaAchievemenDesc5
5	2	5000	user.arena:160,user.bindcash:10,equip.50401.1:1	text_arenaAchievemenDesc5
5	3	2000	user.arena:230,user.bindcash:10,material.1:20	text_arenaAchievemenDesc5
5	4	1000	user.arena:310,user.bindcash:10,equip.40401.1:1	text_arenaAchievemenDesc5
5	5	500	user.arena:390,user.bindcash:10,equip.30401.1:1	text_arenaAchievemenDesc5
5	6	200	user.arena:470,user.bindcash:20,material.1:30	text_arenaAchievemenDesc5
5	7	100	user.arena:550,user.bindcash:20,equip.20401.1:1	text_arenaAchievemenDesc5
5	8	50	user.arena:630,user.bindcash:20,equip.10401.1:1	text_arenaAchievemenDesc5
5	9	20	user.arena:940,user.bindcash:40,material.1:40	text_arenaAchievemenDesc5
5	10	10	user.arena:1250,user.bindcash:50,material.950:40	text_arenaAchievemenDesc5
6	1	10000	user.arena:90,user.bindcash:10,equip.60501.2:1	text_arenaAchievemenDesc6
6	2	5000	user.arena:190,user.bindcash:10,equip.50501.2:1	text_arenaAchievemenDesc6
6	3	2000	user.arena:280,user.bindcash:10,material.1:20	text_arenaAchievemenDesc6
6	4	1000	user.arena:380,user.bindcash:10,equip.40501.2:1	text_arenaAchievemenDesc6
6	5	500	user.arena:470,user.bindcash:10,equip.30501.2:1	text_arenaAchievemenDesc6
6	6	200	user.arena:560,user.bindcash:20,material.1:30	text_arenaAchievemenDesc6
6	7	100	user.arena:660,user.bindcash:20,equip.20501.2:1	text_arenaAchievemenDesc6
6	8	50	user.arena:750,user.bindcash:20,equip.10501.2:1	text_arenaAchievemenDesc6
6	9	20	user.arena:1130,user.bindcash:40,material.1:40	text_arenaAchievemenDesc6
6	10	10	user.arena:1500,user.bindcash:50,material.950:60	text_arenaAchievemenDesc6
11	1	10000	user.arena:80,user.bindcash:10,equip.60201.0:1	text_arenaAchievemenDesc2
11	2	5000	user.arena:160,user.bindcash:10,equip.50201.0:1	text_arenaAchievemenDesc2
11	3	2000	user.arena:230,user.bindcash:20,material.1:20	text_arenaAchievemenDesc2
11	4	1000	user.arena:310,user.bindcash:30,equip.40201.0:1	text_arenaAchievemenDesc2
11	5	500	user.arena:390,user.bindcash:30,equip.30201.0:1	text_arenaAchievemenDesc2
11	6	200	user.arena:470,user.bindcash:40,material.1:30	text_arenaAchievemenDesc2
11	7	100	user.arena:550,user.bindcash:40,equip.20201.0:1	text_arenaAchievemenDesc2
11	8	50	user.arena:630,user.bindcash:50,equip.10201.0:1	text_arenaAchievemenDesc2
11	9	20	user.arena:940,user.bindcash:80,material.1:50	text_arenaAchievemenDesc2
11	10	10	user.arena:1250,user.bindcash:100,equip.20301.1:1	text_arenaAchievemenDesc2
12	1	10000	user.arena:160,user.bindcash:10,material.950:2	text_arenaAchievemenDesc4
12	2	5000	user.arena:310,user.bindcash:10,material.950:2	text_arenaAchievemenDesc4
12	3	2000	user.arena:470,user.bindcash:20,material.1:40	text_arenaAchievemenDesc4
12	4	1000	user.arena:630,user.bindcash:30,material.950:3	text_arenaAchievemenDesc4
12	5	500	user.arena:780,user.bindcash:30,material.950:3	text_arenaAchievemenDesc4
12	6	200	user.arena:940,user.bindcash:40,material.1:60	text_arenaAchievemenDesc4
12	7	100	user.arena:1090,user.bindcash:40,material.950:5	text_arenaAchievemenDesc4
12	8	50	user.arena:1250,user.bindcash:50,material.950:5	text_arenaAchievemenDesc4
12	9	20	user.arena:1880,user.bindcash:80,material.1:100	text_arenaAchievemenDesc4
12	10	10	user.arena:2500,user.bindcash:100,material.950:10	text_arenaAchievemenDesc4
