等级	升级经验	竞技场币奖励个数	结算奖励
level	xp	arena	award
Int	Int	Int	Award
1	40	0	user.arena_xp:10,user.cash:2
2	60	40	user.arena_xp:15,user.cash:3
3	80	60	user.arena_xp:20,user.cash:4
4	100	80	user.arena_xp:25,user.cash:5
5	120	90	user.arena_xp:30,user.cash:7
6	140	110	user.arena_xp:35,user.cash:8
7	160	120	user.arena_xp:40,user.cash:9
8	180	140	user.arena_xp:50,user.cash:10
9	200	150	user.arena_xp:60,user.cash:15
10	220	160	user.arena_xp:60,user.cash:15
11	240	180	user.arena_xp:60,user.cash:15
12	260	190	user.arena_xp:60,user.cash:15
13	280	200	user.arena_xp:60,user.cash:15
14	300	210	user.arena_xp:60,user.cash:15
15	320	220	user.arena_xp:60,user.cash:15
16	340	220	user.arena_xp:60,user.cash:15
17	360	230	user.arena_xp:60,user.cash:15
18	380	240	user.arena_xp:60,user.cash:15
19	400	240	user.arena_xp:60,user.cash:15
20	420	250	user.arena_xp:60,user.cash:15
21	440	250	user.arena_xp:60,user.cash:15
22	460	260	user.arena_xp:60,user.cash:15
23	480	260	user.arena_xp:60,user.cash:15
24	500	260	user.arena_xp:60,user.cash:15
25	520	260	user.arena_xp:60,user.cash:15
26	540	260	user.arena_xp:60,user.cash:15
27	560	260	user.arena_xp:60,user.cash:15
28	580	260	user.arena_xp:60,user.cash:15
29	600	260	user.arena_xp:60,user.cash:15
30	620	260	user.arena_xp:60,user.cash:15
31	640	260	user.arena_xp:60,user.cash:15
32	660	260	user.arena_xp:60,user.cash:15
33	680	260	user.arena_xp:60,user.cash:15
34	700	260	user.arena_xp:60,user.cash:15
35	720	260	user.arena_xp:60,user.cash:15
36	740	260	user.arena_xp:60,user.cash:15
37	760	260	user.arena_xp:60,user.cash:15
38	780	260	user.arena_xp:60,user.cash:15
39	800	260	user.arena_xp:60,user.cash:15
40	820	260	user.arena_xp:60,user.cash:15
