竞技场等级	排行级别	排名	每日奖励
type	level	rank	award
Int	Int2	Int	Award
1	1	1	user.arena:1000,user.bindcash:100
1	2	2	user.arena:900,user.bindcash:80
1	3	3	user.arena:800,user.bindcash:60
1	4	4	user.arena:700,user.bindcash:50
1	5	11	user.arena:650,user.bindcash:46
1	6	21	user.arena:600,user.bindcash:42
1	7	51	user.arena:550,user.bindcash:36
1	8	101	user.arena:500,user.bindcash:32
1	9	201	user.arena:450,user.bindcash:28
1	10	501	user.arena:400,user.bindcash:24
1	11	1001	user.arena:350,user.bindcash:20
2	1	1	user.arena:1200,user.bindcash:120
2	2	2	user.arena:1080,user.bindcash:96
2	3	3	user.arena:960,user.bindcash:72
2	4	4	user.arena:840,user.bindcash:60
2	5	11	user.arena:780,user.bindcash:55
2	6	21	user.arena:720,user.bindcash:50
2	7	51	user.arena:660,user.bindcash:43
2	8	101	user.arena:600,user.bindcash:38
2	9	201	user.arena:540,user.bindcash:34
2	10	501	user.arena:480,user.bindcash:29
2	11	1001	user.arena:420,user.bindcash:24
3	1	1	user.arena:1500,user.bindcash:150
3	2	2	user.arena:1350,user.bindcash:120
3	3	3	user.arena:1200,user.bindcash:90
3	4	4	user.arena:1050,user.bindcash:75
3	5	11	user.arena:975,user.bindcash:69
3	6	21	user.arena:900,user.bindcash:63
3	7	51	user.arena:825,user.bindcash:54
3	8	101	user.arena:750,user.bindcash:48
3	9	201	user.arena:675,user.bindcash:42
3	10	501	user.arena:600,user.bindcash:36
3	11	1001	user.arena:525,user.bindcash:30
4	1	1	user.arena:2000,user.bindcash:200
4	2	2	user.arena:1800,user.bindcash:160
4	3	3	user.arena:1600,user.bindcash:120
4	4	4	user.arena:1400,user.bindcash:100
4	5	11	user.arena:1300,user.bindcash:92
4	6	21	user.arena:1200,user.bindcash:84
4	7	51	user.arena:1100,user.bindcash:72
4	8	101	user.arena:1000,user.bindcash:64
4	9	201	user.arena:900,user.bindcash:56
4	10	501	user.arena:800,user.bindcash:48
4	11	1001	user.arena:700,user.bindcash:40
5	1	1	user.arena:2500,user.bindcash:250
5	2	2	user.arena:2250,user.bindcash:200
5	3	3	user.arena:2000,user.bindcash:150
5	4	4	user.arena:1750,user.bindcash:130
5	5	11	user.arena:1625,user.bindcash:120
5	6	21	user.arena:1500,user.bindcash:110
5	7	51	user.arena:1375,user.bindcash:90
5	8	101	user.arena:1250,user.bindcash:80
5	9	201	user.arena:1125,user.bindcash:70
5	10	501	user.arena:1000,user.bindcash:60
5	11	1001	user.arena:875,user.bindcash:50
6	1	1	user.arena:3000,user.bindcash:300
6	2	2	user.arena:2700,user.bindcash:240
6	3	3	user.arena:2400,user.bindcash:180
6	4	4	user.arena:2100,user.bindcash:150
6	5	11	user.arena:1950,user.bindcash:140
6	6	21	user.arena:1800,user.bindcash:130
6	7	51	user.arena:1650,user.bindcash:110
6	8	101	user.arena:1500,user.bindcash:96
6	9	201	user.arena:1350,user.bindcash:84
6	10	501	user.arena:1200,user.bindcash:72
6	11	1001	user.arena:1050,user.bindcash:60
11	1	1	user.arena:1000,user.bindcash:150
11	2	2	user.arena:900,user.bindcash:120
11	3	3	user.arena:800,user.bindcash:90
11	4	4	user.arena:700,user.bindcash:75
11	5	11	user.arena:650,user.bindcash:69
11	6	21	user.arena:600,user.bindcash:63
11	7	51	user.arena:550,user.bindcash:54
11	8	101	user.arena:500,user.bindcash:48
11	9	201	user.arena:450,user.bindcash:42
11	10	501	user.arena:400,user.bindcash:36
11	11	1001	user.arena:350,user.bindcash:30
12	1	1	user.arena:2000,user.bindcash:150
12	2	2	user.arena:1800,user.bindcash:120
12	3	3	user.arena:1600,user.bindcash:90
12	4	4	user.arena:1400,user.bindcash:75
12	5	11	user.arena:1300,user.bindcash:69
12	6	21	user.arena:1200,user.bindcash:63
12	7	51	user.arena:1100,user.bindcash:54
12	8	101	user.arena:1000,user.bindcash:48
12	9	201	user.arena:900,user.bindcash:42
12	10	501	user.arena:800,user.bindcash:36
12	11	1001	user.arena:700,user.bindcash:30
12	12	2001	user.arena:600,user.bindcash:24
12	13	3001	user.arena:500,user.bindcash:18
12	14	4001	user.arena:400,user.bindcash:12
12	15	5001	user.arena:300,user.bindcash:6
