等级	技能战力系数	攻击	护甲	技防	生命	无视护甲%	无视技防%	暴击伤害%	暴击减伤%	移动速度	攻击速度	伤害加成%	伤害减免%	技能暴击率%	负面抗性%	治疗加成%	掉落道具加成	掉落金币加成	初始怒气	怒气回复%	命中几率%	闪避几率%	暴击几率%	抗暴几率%	移动速度%	攻击速度%	PvP伤害加成%	PvP伤害减免%	技能伤害加成%	技能伤害减免%
level	sPrC	aPrC1	aPrC2	aPrC3	aPrC4	aPrC5	aPrC6	aPrC7	aPrC8	aPrC9	aPrC10	aPrC11	aPrC12	aPrC13	aPrC14	aPrC15	aPrC16	aPrC17	aPrC18	aPrC19	aPrC20	aPrC21	aPrC22	aPrC23	aPrC24	aPrC25	aPrC26	aPrC27	aPrC28	aPrC29
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	9	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
2	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
3	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
4	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
5	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
6	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
7	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
8	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
9	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
10	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
11	24	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
12	24	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
13	27	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
14	27	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
15	27	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
16	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
17	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
18	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
19	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
20	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
21	45	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
22	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
23	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
24	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
25	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
26	51	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
