编号	编号1	奖励	权重	2倍概率	3倍概率	4倍概率
confId	id	awards1	weight	prob2	prob3	prob4
Int	Int2	Award	Int	Int	Int	Int
1	1	user.hero_exp:10000	100	20	15	5
1	2	user.hero_exp:20000	100	20	15	5
1	3	user.hero_exp:50000	100	20	15	5
1	4	user.gold:10000	100	20	15	5
1	5	user.gold:20000	100	20	15	5
1	6	user.gold:50000	100	20	15	5
1	7	material.930:5	50	10	5	5
1	8	material.940:1	50	14	5	1
1	9	material.1:10	50	20	0	0
1	10	material.930:10	20	6	4	0
1	11	material.1:10	50	20	0	0
1	12	material.940:2	10	15	5	0
1	13	user.ntoken:1	50	0	0	0
2	1	user.hero_exp:10000	100	20	15	5
2	2	user.hero_exp:20000	100	20	15	5
2	3	user.hero_exp:50000	100	20	15	5
2	4	user.gold:10000	100	20	15	5
2	5	user.gold:20000	100	20	15	5
2	6	user.gold:50000	100	20	15	5
2	7	material.930:5	50	10	5	5
2	8	material.940:1	50	14	5	1
2	9	material.1:10	50	20	0	0
2	10	material.930:10	20	6	4	0
2	11	material.1:10	50	20	0	0
2	12	material.940:2	10	15	5	0
2	13	user.ntoken:1	50	0	0	0
3	1	user.hero_exp:10000	100	20	15	5
3	2	user.hero_exp:20000	100	20	15	5
3	3	user.hero_exp:50000	100	20	15	5
3	4	user.gold:10000	100	20	15	5
3	5	user.gold:20000	100	20	15	5
3	6	user.gold:50000	100	20	15	5
3	7	material.930:5	50	10	5	5
3	8	material.940:1	50	14	5	1
3	9	material.1:10	50	20	0	0
3	10	material.930:10	20	6	4	0
3	11	material.1:10	50	20	0	0
3	12	material.940:2	10	15	5	0
3	13	user.ntoken:1	50	0	0	0
4	1	user.hero_exp:10000	100	20	15	5
4	2	user.hero_exp:20000	100	20	15	5
4	3	user.hero_exp:50000	100	20	15	5
4	4	user.gold:10000	100	20	15	5
4	5	user.gold:20000	100	20	15	5
4	6	user.gold:50000	100	20	15	5
4	7	material.930:5	50	10	5	5
4	8	material.940:1	50	14	5	1
4	9	material.1:10	50	20	0	0
4	10	material.930:10	20	6	4	0
4	11	material.1:10	50	20	0	0
4	12	material.940:2	10	15	5	0
4	13	user.ntoken:1	50	0	0	0
