编号	编号	每日消耗元宝数量	奖励
confId	id	cost	awards
Int	Int2	Int	Award
1	1	300	material.1:1
1	2	500	material.1:2
1	3	1000	material.1:3
1	4	2000	material.1:4
1	5	5000	material.1:5
1	6	10000	material.1:6
1	7	30000	material.1:7
1	8	50000	material.1:8
2	1	300	material.1:9
2	2	500	material.1:10
2	3	1000	material.1:11
2	4	2000	material.1:12
2	5	5000	material.1:13
2	6	10000	material.1:14
2	7	30000	material.1:15
2	8	50000	material.1:16
3	1	300	material.1:17
3	2	500	material.1:18
3	3	1000	material.1:19
3	4	2000	material.1:20
3	5	5000	material.1:21
3	6	10000	material.1:22
3	7	30000	material.1:23
3	8	50000	material.1:24
4	1	300	material.1:25
4	2	500	material.1:26
4	3	1000	material.1:27
4	4	2000	material.1:28
4	5	5000	material.1:29
4	6	10000	material.1:30
4	7	30000	material.1:31
4	8	50000	material.1:32
5	1	300	material.1:33
5	2	500	material.1:34
5	3	1000	material.1:35
5	4	2000	material.1:36
5	5	5000	material.1:37
5	6	10000	material.1:38
5	7	30000	material.1:39
5	8	50000	material.1:40
6	1	300	material.1:41
6	2	500	material.1:42
6	3	1000	material.1:43
6	4	2000	material.1:44
6	5	5000	material.1:45
6	6	10000	material.1:46
6	7	30000	material.1:47
6	8	50000	material.1:48
7	1	300	material.1:49
7	2	500	material.1:50
7	3	1000	material.1:51
7	4	2000	material.1:52
7	5	5000	material.1:53
7	6	10000	material.1:54
7	7	30000	material.1:55
7	8	50000	material.1:56
