编号	编号	充值金额	奖励
confId	id	money	awards
Int	Int2	Int	Award
1	1	6	material.1:1
1	2	50	material.1:2
1	3	100	material.1:3
1	4	300	material.1:4
1	5	500	material.1:5
1	6	1000	material.1:6
1	7	2000	material.1:7
1	8	4000	material.1:8
1	9	6000	material.1:9
1	10	8000	material.1:10
1	11	12000	material.1:11
1	12	20000	material.1:12
1	13	30000	material.1:13
2	1	6	material.1:14
2	2	50	material.1:15
2	3	100	material.1:16
2	4	300	material.1:17
2	5	500	material.1:18
2	6	1000	material.1:19
2	7	2000	material.1:20
2	8	4000	material.1:21
2	9	6000	material.1:22
2	10	8000	material.1:23
2	11	12000	material.1:24
2	12	20000	material.1:25
2	13	30000	material.1:26
3	1	6	material.1:27
3	2	50	material.1:28
3	3	100	material.1:29
3	4	300	material.1:30
3	5	500	material.1:31
3	6	1000	material.1:32
3	7	2000	material.1:33
3	8	4000	material.1:34
3	9	6000	material.1:35
3	10	8000	material.1:36
3	11	12000	material.1:37
3	12	20000	material.1:38
3	13	30000	material.1:39
4	1	6	material.1:40
4	2	50	material.1:41
4	3	100	material.1:42
4	4	300	material.1:43
4	5	500	material.1:44
4	6	1000	material.1:45
4	7	2000	material.1:46
4	8	5000	material.1:47
4	9	8000	material.1:48
4	10	12000	material.1:49
