天数	种类	操作(程序用)	文字描述1	数量	奖励
day	id	key	desc	target	award
Int	Int2	String	String	Int	Award
1	1	battle	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>副本普通难度-</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>56</font>	56	user.cash:100
1	2	battle	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>副本普通难度-</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>58</font>	58	user.cash:110
1	3	battle	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>副本普通难度-</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>60</font>	60	user.cash:120
1	4	battle	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>副本普通难度-</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>62</font>	62	user.cash:130
2	1	equipLevel	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>装备总等级达到</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>3000</font>	3000	user.cash:140
2	2	equipLevel	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>装备总等级达到</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>3500</font>	3500	user.cash:150
2	3	equipLevel	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>装备总等级达到</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>4000</font>	4000	user.cash:160
2	4	equipLevel	<font color="#6e4730ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>装备总等级达到</font><font color="#33a700ff" size="24" strokeColor="#ffffffff" strokeSize=0 shadowColor="#ffffffff" shadowSize=cc.size(0,0)>5000</font>	5000	user.cash:170
