编号	轮数	消耗命运币数量
confId	id	awards
Int	Int2	Award
1	1	user.fate_coin:-1
1	2	user.fate_coin:-2
1	3	user.fate_coin:-2
1	4	user.fate_coin:-3
1	5	user.fate_coin:-3
1	6	user.fate_coin:-4
1	7	user.fate_coin:-4
1	8	user.fate_coin:-5
2	1	user.fate_coin:-1
2	2	user.fate_coin:-2
2	3	user.fate_coin:-2
2	4	user.fate_coin:-3
2	5	user.fate_coin:-3
2	6	user.fate_coin:-4
2	7	user.fate_coin:-4
2	8	user.fate_coin:-5
3	1	user.fate_coin:-1
3	2	user.fate_coin:-2
3	3	user.fate_coin:-2
3	4	user.fate_coin:-3
3	5	user.fate_coin:-3
3	6	user.fate_coin:-4
3	7	user.fate_coin:-4
3	8	user.fate_coin:-5
4	1	user.fate_coin:-1
4	2	user.fate_coin:-2
4	3	user.fate_coin:-2
4	4	user.fate_coin:-3
4	5	user.fate_coin:-3
4	6	user.fate_coin:-4
4	7	user.fate_coin:-4
4	8	user.fate_coin:-5
5	1	user.fate_coin:-1
5	2	user.fate_coin:-2
5	3	user.fate_coin:-2
5	4	user.fate_coin:-3
5	5	user.fate_coin:-3
5	6	user.fate_coin:-4
5	7	user.fate_coin:-4
5	8	user.fate_coin:-5
6	1	user.fate_coin:-1
6	2	user.fate_coin:-2
6	3	user.fate_coin:-2
6	4	user.fate_coin:-3
6	5	user.fate_coin:-3
6	6	user.fate_coin:-4
6	7	user.fate_coin:-4
6	8	user.fate_coin:-5
7	1	user.fate_coin:-1
7	2	user.fate_coin:-2
7	3	user.fate_coin:-2
7	4	user.fate_coin:-3
7	5	user.fate_coin:-3
7	6	user.fate_coin:-4
7	7	user.fate_coin:-4
7	8	user.fate_coin:-5
8	1	user.fate_coin:-1
8	2	user.fate_coin:-2
8	3	user.fate_coin:-2
8	4	user.fate_coin:-3
8	5	user.fate_coin:-3
8	6	user.fate_coin:-4
8	7	user.fate_coin:-4
8	8	user.fate_coin:-5
9	1	user.fate_coin:-1
9	2	user.fate_coin:-2
9	3	user.fate_coin:-2
9	4	user.fate_coin:-3
9	5	user.fate_coin:-3
9	6	user.fate_coin:-4
9	7	user.fate_coin:-4
9	8	user.fate_coin:-5
10	1	user.fate_coin:-1
10	2	user.fate_coin:-2
10	3	user.fate_coin:-2
10	4	user.fate_coin:-3
10	5	user.fate_coin:-3
10	6	user.fate_coin:-4
10	7	user.fate_coin:-4
10	8	user.fate_coin:-5
11	1	user.fate_coin:-1
11	2	user.fate_coin:-2
11	3	user.fate_coin:-2
11	4	user.fate_coin:-3
11	5	user.fate_coin:-3
11	6	user.fate_coin:-4
11	7	user.fate_coin:-4
11	8	user.fate_coin:-5
12	1	user.fate_coin:-1
12	2	user.fate_coin:-2
12	3	user.fate_coin:-2
12	4	user.fate_coin:-3
12	5	user.fate_coin:-3
12	6	user.fate_coin:-4
12	7	user.fate_coin:-4
12	8	user.fate_coin:-5
13	1	user.fate_coin:-1
13	2	user.fate_coin:-2
13	3	user.fate_coin:-2
13	4	user.fate_coin:-3
13	5	user.fate_coin:-3
13	6	user.fate_coin:-4
13	7	user.fate_coin:-4
13	8	user.fate_coin:-5
14	1	user.fate_coin:-1
14	2	user.fate_coin:-2
14	3	user.fate_coin:-2
14	4	user.fate_coin:-3
14	5	user.fate_coin:-3
14	6	user.fate_coin:-4
14	7	user.fate_coin:-4
14	8	user.fate_coin:-5
15	1	user.fate_coin:-1
15	2	user.fate_coin:-2
15	3	user.fate_coin:-2
15	4	user.fate_coin:-3
15	5	user.fate_coin:-3
15	6	user.fate_coin:-4
15	7	user.fate_coin:-4
15	8	user.fate_coin:-5
16	1	user.fate_coin:-1
16	2	user.fate_coin:-2
16	3	user.fate_coin:-2
16	4	user.fate_coin:-3
16	5	user.fate_coin:-3
16	6	user.fate_coin:-4
16	7	user.fate_coin:-4
16	8	user.fate_coin:-5
