编号	轮数	排序	奖励	权重
confId	id	sort	awards	weight
Int	Int2	Int	Award	Int
1	1	1	material.1:1	100
1	1	2	material.1:2	200
1	1	3	material.1:3	300
1	1	4	material.1:4	400
1	1	5	material.1:5	500
1	1	6	material.1:6	600
1	1	7	material.1:7	700
1	1	8	material.1:8	800
1	2	1	material.1:9	900
1	2	2	material.1:10	1000
1	2	3	material.1:11	1100
1	2	4	material.1:12	1200
1	2	5	material.1:13	1300
1	2	6	material.1:14	1400
1	2	7	material.1:15	1500
1	2	8	material.1:16	1600
1	3	1	material.1:17	1700
1	3	2	material.1:18	1800
1	3	3	material.1:19	1900
1	3	4	material.1:20	2000
1	3	5	material.1:21	2100
1	3	6	material.1:22	2200
1	3	7	material.1:23	2300
1	3	8	material.1:24	2400
1	4	1	material.1:25	2500
1	4	2	material.1:26	2600
1	4	3	material.1:27	2700
1	4	4	material.1:28	2800
1	4	5	material.1:29	2900
1	4	6	material.1:30	3000
1	4	7	material.1:31	3100
1	4	8	material.1:32	3200
2	1	1	material.1:1	3300
2	1	2	material.1:2	3400
2	1	3	material.1:3	3500
2	1	4	material.1:4	3600
2	1	5	material.1:5	3700
2	1	6	material.1:6	3800
2	1	7	material.1:7	3900
2	1	8	material.1:8	4000
2	2	1	material.1:9	4100
2	2	2	material.1:10	4200
2	2	3	material.1:11	4300
2	2	4	material.1:12	4400
2	2	5	material.1:13	4500
2	2	6	material.1:14	4600
2	2	7	material.1:15	4700
2	2	8	material.1:16	4800
2	3	1	material.1:17	4900
2	3	2	material.1:18	5000
2	3	3	material.1:19	5100
2	3	4	material.1:20	5200
2	3	5	material.1:21	5300
2	3	6	material.1:22	5400
2	3	7	material.1:23	5500
2	3	8	material.1:24	5600
2	4	1	material.1:25	5700
2	4	2	material.1:26	5800
2	4	3	material.1:27	5900
2	4	4	material.1:28	6000
2	4	5	material.1:29	6100
2	4	6	material.1:30	6200
2	4	7	material.1:31	6300
2	4	8	material.1:32	6400
