礼包ID(可乱序)	排序	开关状态（1:开启、0:关闭）	显示vip等级	红点显示（0:单次提示，1:循环显示）	所属页签	购买前置礼包	购买后置礼包	触发前置条件	关闭条件	触发条件	触发条件参数3	触发后生存时间	礼包名称	品质颜色	限购次数	次数显示（0:剩余，1:限购）	图标	奖励2	支付类型(1:充值、2:道具花费)	充值ID	消耗道具	原价
id	sort	onoff	needvip	hint	belongingTab	giftBagLimit	giftBagRear	triggerLimit	closeLimit	triggerCondition	triggerVal	lifeTime	name	color	count	show	picture	rewards	costtype	recharge	item	original
Int	Int	Int	int	Int	Int	Int	Int	String	String	String	String	Int	String	String	Int	Int	String	Award	Int	Int	Award	Int
1	1	1	0	0	1	0	0	gameday.1	gameday.15	dayLoop	0	0	text_av_giftbag_name_1	purple.png	1	0	giftbag_1.png	user.bindcash:50,material.101601:1,user.htoken:1,user.gold:1250000,user.hero_exp:2500000,material.1:150	2	0	user.cash:-50	0
11	2	1	0	0	1	0	0	gameday.15	0	dayLoop	0	0	text_av_giftbag_name_1	purple.png	1	0	giftbag_1.png	user.bindcash:50,material.101601:1,user.htoken:1,user.gold:2500000,user.hero_exp:5000000,material.1:300	2	0	user.cash:-50	0
2	3	1	0	0	1	0	0	gameday.1	gameday.15	dayLoop	0	0	text_av_giftbag_name_2	orange.png	1	0	giftbag_2.png	user.bindcash:100,material.101602:1,user.htoken:2,material.32:1,user.rotate_ncoin:3,material.100402:3	2	0	user.cash:-100	0
12	4	1	0	0	1	0	0	gameday.15	0	dayLoop	0	0	text_av_giftbag_name_2	orange.png	1	0	giftbag_2.png	user.bindcash:100,material.101602:1,user.htoken:2,material.32:1,user.rotate_ncoin:5,material.100402:5	2	0	user.cash:-100	0
3	5	1	0	0	1	0	0	gameday.1	gameday.15	dayLoop	0	0	text_av_giftbag_name_3	red.png	1	0	giftbag_3.png	user.bindcash:250,material.101603:1,user.htoken:5,material.930:30,material.940:20,material.950:10	2	0	user.cash:-250	0
13	6	1	0	0	1	0	0	gameday.15	0	dayLoop	0	0	text_av_giftbag_name_3	red.png	1	0	giftbag_3.png	user.bindcash:250,material.101603:1,user.htoken:5,material.930:60,material.940:40,material.950:20	2	0	user.cash:-250	0
1010	21	1	0	1	2	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1110	blue.png	3	0	giftbag_1010.png	user.gold:2500000,user.htoken:3,material.101201:10	2	0	user.cash:-500	0
1011	22	1	0	1	2	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1110	blue.png	3	0	giftbag_1010.png	user.gold:4000000,user.htoken:3,material.101201:20	2	0	user.cash:-500	0
1020	23	1	0	1	2	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1120	purple.png	3	0	giftbag_1020.png	user.hero_exp:2500000,user.htoken:5,material.950:20	2	0	user.cash:-1000	0
1021	24	1	0	1	2	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1120	purple.png	3	0	giftbag_1020.png	user.hero_exp:4000000,user.htoken:5,material.950:40	2	0	user.cash:-1000	0
1030	25	1	0	1	2	0	0	gameday.1	0	weekLoop	1	0	text_av_giftbag_name_1130	orange.png	2	0	giftbag_1030.png	material.42:1,material.41:42000,material.100002:10	2	0	user.cash:-2500	0
1040	28	1	0	1	2	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1150	golden.png	1	0	giftbag_1040.png	user.bindcash:7500,material.950:60,material.940:120,material.930:200	2	0	user.cash:-5000	0
1041	29	1	0	1	2	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1150	golden.png	1	0	giftbag_1040.png	user.bindcash:7500,material.950:120,material.940:120,material.930:200	2	0	user.cash:-5000	0
1050	26	1	0	1	2	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1140	red.png	1	0	giftbag_1050.png	user.gold:10000000,user.hero_exp:20000000,material.1:5000	2	0	user.cash:-3500	0
1051	27	1	0	1	2	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1140	red.png	1	0	giftbag_1050.png	user.gold:20000000,user.hero_exp:40000000,material.1:7500	2	0	user.cash:-3500	0
2010	100	1	0	1	3	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2010	green.png	1	0	giftbag_10101.png	user.bindcash:100,user.rotate_ncoin:10,user.htoken:2,material.940:20	2	0	user.cash:-250	0
2011	101	1	0	1	3	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2010	green.png	1	0	giftbag_10101.png	user.bindcash:100,user.rotate_ncoin:10,user.htoken:2,material.940:80	2	0	user.cash:-250	0
2020	102	1	0	1	3	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2020	blue.png	1	0	giftbag_10102.png	user.bindcash:200,user.rotate_ncoin:20,user.htoken:5,user.gold:1000000	2	0	user.cash:-500	0
2021	103	1	0	1	3	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2020	blue.png	1	0	giftbag_10102.png	user.bindcash:200,user.rotate_ncoin:20,user.htoken:5,user.gold:10000000	2	0	user.cash:-500	0
2030	104	1	0	1	3	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2030	purple.png	1	0	giftbag_10102.png	user.bindcash:600,user.rotate_ncoin:40,user.htoken:10,user.hero_exp:1000000	2	0	user.cash:-1500	0
2031	105	1	0	1	3	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2030	purple.png	1	0	giftbag_10102.png	user.bindcash:600,user.rotate_ncoin:40,user.htoken:10,user.hero_exp:10000000	2	0	user.cash:-1500	0
2040	106	1	0	1	3	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2040	orange.png	1	0	giftbag_10102.png	user.bindcash:1000,user.rotate_hcoin:2,user.htoken:20,material.940:120	2	0	user.cash:-2500	0
2041	107	1	0	1	3	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2040	orange.png	1	0	giftbag_10102.png	user.bindcash:1000,user.rotate_hcoin:5,user.htoken:20,group.20000005.0:1	2	0	user.cash:-2500	0
2050	108	1	0	1	3	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2050	red.png	1	0	giftbag_10201.png	user.bindcash:1400,user.rotate_hcoin:3,user.htoken:30,material.33:1	2	0	user.cash:-3500	0
2051	109	1	0	1	3	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2050	red.png	1	0	giftbag_10201.png	user.bindcash:1400,user.rotate_hcoin:8,user.htoken:30,material.34:1	2	0	user.cash:-3500	0
2060	110	1	0	1	3	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2060	golden.png	1	0	giftbag_10202.png	user.bindcash:2000,user.rotate_hcoin:5,user.htoken:40,material.950:60	2	0	user.cash:-5000	0
2061	111	1	0	1	3	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2060	golden.png	1	0	giftbag_10202.png	user.bindcash:2000,user.rotate_hcoin:10,user.htoken:40,material.950:120	2	0	user.cash:-5000	0
10101	150	1	0	1	4	0	0	0	0	gameDay	7	2	text_av_giftbag_name_10101	purple.png	10	0	giftbag_10101.png	user.vip_xp:600,user.sky_book:15000,user.bindcash:250	1	14	0	0
10102	151	1	0	1	4	0	0	0	0	gameDay	7	2	text_av_giftbag_name_10102	orange.png	5	0	giftbag_10102.png	user.vip_xp:1100,material.100:300,user.bindcash:500	1	16	0	0
10103	152	1	0	1	4	0	0	0	0	gameDay	7	2	text_av_giftbag_name_10103	red.png	2	0	giftbag_10103.png	user.vip_xp:2950,material.100:1000,user.bindcash:1500	1	17	0	0
10104	153	1	0	1	4	0	0	0	0	gameDay	7	2	text_av_giftbag_name_10104	golden.png	1	0	giftbag_10104.png	user.vip_xp:5950,material.100:2000,user.bindcash:3000	1	19	0	0
10201	154	1	0	1	4	0	0	0	0	gameDay	10	2	text_av_giftbag_name_10201	purple.png	10	0	giftbag_10201.png	user.vip_xp:600,user.sky_book:15000,user.bindcash:250	1	14	0	0
