编号	编号1	折扣(0#5倍数)	消耗道具（最高2个）	获得道具（最高2个）	兑换次数
confId	id	discount	awards1	awards2	count
Int	Int2	String	Award	Award	Int
1	1	0	material.300005:-5	user.htoken:1	100
1	2	0	material.300005:-5	material.950:20	1
1	3	0	material.300005:-40	fragment.5005:60	1
1	4	0	material.300005:-40	fragment.5001:60	1
1	5	0	material.300005:-40	fragment.5015:60	1
1	6	0	material.300005:-40	fragment.5009:60	1
1	7	0	material.300005:-40	fragment.5006:60	1
1	8	0	material.300005:-40	fragment.5016:60	1
1	9	0	material.300005:-40	fragment.5002:60	1
1	10	0	material.300005:-40	fragment.5010:60	1
2	1	0	material.300005:-5	user.htoken:1	100
2	2	0	material.300005:-5	material.950:20	1
2	3	0	material.300005:-40	fragment.5027:60	1
2	4	0	material.300005:-40	fragment.5028:60	1
2	5	0	material.41:-1000	material.940:10	9999
2	6	0	material.41:-100	material.940:1	9999
2	7	0	material.42:-1	material.950:15	9999
2	8	0	material.200002:-600	material.950:1	9999
3	1	0	material.300005:-5	user.htoken:1	100
3	2	0	material.300005:-5	material.950:20	1
3	3	0	material.300005:-40	fragment.5025:60	1
3	4	0	material.300005:-40	fragment.5026:60	1
3	5	0	material.300005:-40	fragment.5027:60	1
3	6	0	material.300005:-40	fragment.5028:60	1
3	7	0	material.41:-1000	material.940:10	9999
3	8	0	material.41:-100	material.940:1	9999
3	9	0	material.42:-1	material.950:15	9999
3	10	0	material.200002:-600	material.950:1	9999
4	1	0	material.300005:-5	user.htoken:1	100
4	2	0	material.300005:-5	material.950:20	1
4	3	0	material.300005:-40	fragment.5023:60	1
4	4	0	material.300005:-40	fragment.5024:60	1
4	5	0	material.300005:-40	fragment.5025:60	1
4	6	0	material.300005:-40	fragment.5026:60	1
4	7	0	material.300005:-40	fragment.5027:60	1
4	8	0	material.300005:-40	fragment.5028:60	1
4	9	0	material.41:-1000	material.940:10	9999
4	10	0	material.41:-100	material.940:1	9999
4	11	0	material.42:-1	material.950:15	9999
4	12	0	material.200002:-600	material.950:1	9999
5	1	0	material.300005:-5	user.htoken:1	100
5	2	0	material.300005:-5	material.950:20	1
5	3	0	material.300005:-40	fragment.5021:60	1
5	4	0	material.300005:-40	fragment.5022:60	1
5	5	0	material.300005:-40	fragment.5023:60	1
5	6	0	material.300005:-40	fragment.5024:60	1
5	7	0	material.300005:-40	fragment.5025:60	1
5	8	0	material.300005:-40	fragment.5026:60	1
5	9	0	material.300005:-40	fragment.5027:60	1
5	10	0	material.300005:-40	fragment.5028:60	1
5	11	0	material.41:-1000	material.940:10	9999
5	12	0	material.41:-100	material.940:1	9999
5	13	0	material.42:-1	material.950:15	9999
5	14	0	material.200002:-600	material.950:1	9999
6	1	0	material.300005:-5	user.htoken:1	100
6	2	0	material.300005:-5	material.950:20	1
6	3	0	material.300005:-40	fragment.5029:60	1
6	4	0	material.300005:-40	fragment.5030:60	1
6	5	0	material.300005:-40	fragment.5021:60	1
6	6	0	material.300005:-40	fragment.5022:60	1
6	7	0	material.300005:-40	fragment.5023:60	1
6	8	0	material.300005:-40	fragment.5024:60	1
6	9	0	material.300005:-40	fragment.5025:60	1
6	10	0	material.300005:-40	fragment.5026:60	1
6	11	0	material.300005:-40	fragment.5027:60	1
6	12	0	material.300005:-40	fragment.5028:60	1
6	13	0	material.41:-1000	material.940:10	9999
6	14	0	material.41:-100	material.940:1	9999
6	15	0	material.42:-1	material.950:15	9999
6	16	0	material.200002:-600	material.950:1	9999
7	1	0	material.300005:-5	user.htoken:1	100
7	2	0	material.300005:-5	material.950:20	1
7	3	0	material.300005:-40	fragment.5031:60	1
7	4	0	material.300005:-40	fragment.5032:60	1
7	5	0	material.300005:-40	fragment.5029:60	1
7	6	0	material.300005:-40	fragment.5030:60	1
7	7	0	material.300005:-40	fragment.5021:60	1
7	8	0	material.300005:-40	fragment.5022:60	1
7	9	0	material.300005:-40	fragment.5023:60	1
7	10	0	material.300005:-40	fragment.5024:60	1
7	11	0	material.300005:-40	fragment.5025:60	1
7	12	0	material.300005:-40	fragment.5026:60	1
7	13	0	material.300005:-40	fragment.5027:60	1
7	14	0	material.300005:-40	fragment.5028:60	1
7	15	0	material.41:-1000	material.940:10	9999
7	16	0	material.41:-100	material.940:1	9999
7	17	0	material.42:-1	material.950:15	9999
7	18	0	material.200002:-600	material.950:1	9999
