编号	物品id	随机组id	物品	随机权重	数量上限	默认价格	最低价格	最低砍价	最高砍价	排序	砍价次数
confId	id	group	award	weight	num	price	lowPrice	cutLow	cutHigh	sort	cutNum
Int	Int2	Int	Award	Int	Int	Int	Int	Int	Int	Int	Int
1	1	1	material.1:1	100	3	255	150	9	26	17	3
1	2	1	material.1:2	100	3	425	250	12	35	18	3
1	3	2	material.1:3	100	4	21	13	1	4	19	3
1	4	2	material.1:4	20	4	306	180	11	32	20	3
1	5	2	material.1:5	30	4	459	270	13	38	21	3
1	6	3	material.1:6	100	3	170	100	8	23	8	3
1	7	3	material.1:7	100	3	425	250	12	35	9	3
1	8	4	material.1:8	100	1	170	100	8	23	10	3
1	9	4	material.1:9	100	1	510	300	14	42	11	3
1	10	4	material.1:10	100	1	850	500	23	70	12	3
1	11	5	material.1:11	100	3	350	260	15	30	13	3
1	12	5	material.1:12	100	3	86	56	5	10	14	3
1	13	6	material.1:13	100	1	144	105	3	10	15	3
1	14	6	material.1:14	100	1	288	210	7	21	16	3
1	15	7	material.1:15	100	1	480	280	14	42	1	3
1	16	7	material.1:16	100	1	480	280	14	42	2	3
1	17	7	material.1:17	100	1	480	280	14	42	3	3
1	18	7	material.1:18	100	1	480	280	14	42	4	3
1	19	7	material.1:19	100	1	480	280	14	42	5	3
1	20	7	material.1:20	100	1	480	280	14	42	6	3
1	21	8	material.1:21	100	4	500	388	12	35	7	3
2	1	1	material.1:22	100	3	255	150	9	26	17	3
2	2	1	material.1:23	100	3	425	250	12	35	18	3
2	3	2	material.1:24	100	4	21	13	1	4	19	3
2	4	2	material.1:25	20	4	306	180	11	32	20	3
2	5	2	material.1:26	30	4	459	270	13	38	21	3
2	6	3	material.1:27	100	3	170	100	8	23	8	3
2	7	3	material.1:28	100	3	425	250	12	35	9	3
2	8	4	material.1:29	100	1	170	100	8	23	10	3
2	9	4	material.1:30	100	1	510	300	14	42	11	3
2	10	4	material.1:31	100	1	850	500	23	70	12	3
2	11	5	material.1:32	100	3	350	260	15	30	13	3
2	12	5	material.1:33	100	3	86	56	5	10	14	3
2	13	6	material.1:34	100	1	144	105	3	10	15	3
2	14	6	material.1:35	100	1	288	210	7	21	16	3
2	15	7	material.1:36	100	1	480	280	14	42	1	3
2	16	7	material.1:37	100	1	480	280	14	42	2	3
2	17	7	material.1:38	100	1	480	280	14	42	3	3
2	18	7	material.1:39	100	1	480	280	14	42	4	3
2	19	7	material.1:40	100	1	480	280	14	42	5	3
2	20	7	material.1:41	100	1	480	280	14	42	6	3
2	21	8	material.1:42	100	4	500	388	12	35	7	3
3	1	1	material.1:43	100	3	255	150	9	26	17	3
3	2	1	material.1:44	100	3	425	250	12	35	18	3
3	3	2	material.1:45	100	4	21	13	1	4	19	3
3	4	2	material.1:46	20	4	306	180	11	32	20	3
3	5	2	material.1:47	30	4	459	270	13	38	21	3
3	6	3	material.1:48	100	3	170	100	8	23	8	3
3	7	3	material.1:49	100	3	425	250	12	35	9	3
3	8	4	material.1:50	100	1	170	100	8	23	10	3
3	9	4	material.1:51	100	1	510	300	14	42	11	3
3	10	4	material.1:52	100	1	850	500	23	70	12	3
3	11	5	material.1:53	100	3	350	260	15	30	13	3
3	12	5	material.1:54	100	3	86	56	5	10	14	3
3	13	6	material.1:55	100	1	144	105	3	10	15	3
3	14	6	material.1:56	100	1	288	210	7	21	16	3
3	15	7	material.1:57	100	1	480	280	14	42	1	3
3	16	7	material.1:58	100	1	480	280	14	42	2	3
3	17	7	material.1:59	100	1	480	280	14	42	3	3
3	18	7	material.1:60	100	1	480	280	14	42	4	3
3	19	7	material.1:61	100	1	480	280	14	42	5	3
3	20	7	material.1:62	100	1	480	280	14	42	6	3
3	21	8	material.1:63	100	4	500	388	12	35	7	3
