编号	道具	团购开启关闭	可购买次数	原始价格	折扣一	要求人数一	价格一	折扣二	要求人数二	价格二	折扣三	要求人数三	价格三	折扣四	要求人数四	价格四	折扣五	要求人数五	价格五
id	goods	sell	buy	oriPrice	cut1	require1	price1	cut2	require2	price2	cut3	require3	price3	cut4	require4	price4	cut5	require5	price5
Int	Award	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	material.1:1	0	5	288	10	0	288	9.5	300	273	9	450	259	8.5	600	245	8	750	230
2	material.1:2	0	5	288	10	0	288	9.5	300	273	9	450	259	8.5	600	245	8	750	230
3	material.1:3	0	15	388	8	0	310	7.5	300	291	7	450	272	6.5	600	252	6	750	233
4	material.1:4	0	15	388	8	0	310	7.5	300	291	7	450	272	6.5	600	252	6	750	233
5	material.1:5	0	15	188	9	0	169	8.5	300	160	8	450	150	7.5	600	141	7	750	132
11	material.1:6	0	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
12	material.1:7	0	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
13	material.1:8	0	15	200	8	0	160	7.5	300	150	7	450	140	6.5	600	130	6	750	120
14	material.1:9	0	15	200	8	0	160	7.5	300	150	7	450	140	6.5	600	130	6	750	120
15	material.1:10	0	15	200	9	0	180	8.5	300	170	8	450	160	7.5	600	150	7	750	140
16	material.1:11	0	15	200	9	0	180	8.5	300	170	8	450	160	7.5	600	150	7	750	140
21	material.1:12	0	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
22	material.1:13	0	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
23	material.1:14	0	5	200	7	0	140	6.5	300	130	6	450	120	5.5	600	110	5	750	100
24	material.1:15	0	5	200	7	0	140	6.5	300	130	6	450	120	5.5	600	110	5	750	100
25	material.1:16	0	5	200	8	0	160	7.5	300	150	7	450	140	6.5	600	130	6	750	120
26	material.1:17	0	5	200	8	0	160	7.5	300	150	7	450	140	6.5	600	130	6	750	120
31	material.1:18	0	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
32	material.1:19	0	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
33	material.1:20	0	5	200	7	0	140	6.5	50	130	6	100	120	5.5	150	110	5	200	100
34	material.1:21	0	5	200	7	0	140	6.5	50	130	6	100	120	5.5	150	110	5	200	100
35	material.1:22	0	5	200	8	0	160	7.5	300	150	7	450	140	6.5	600	130	6	750	120
36	material.1:23	0	5	200	8	0	160	7.5	50	150	7	100	140	6.5	150	130	6	200	120
41	material.1:24	1	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
42	material.1:25	1	5	300	10	0	300	9.5	300	285	9	450	270	8.5	600	255	8	750	240
43	material.1:26	1	5	200	7	0	140	6.5	50	130	6	100	120	5.5	150	110	5	200	100
44	material.1:27	1	5	200	7	0	140	6.5	50	130	6	100	120	5.5	150	110	5	200	100
45	material.1:28	1	5	200	8	0	160	7.5	300	150	7	450	140	6.5	600	130	6	750	120
46	material.1:29	1	5	2000	7	0	1400	6.5	50	1300	6	100	1200	5.5	150	1100	5	200	1000
