编号	招财次数	花费元宝数	最低获得元宝数	最高获得元宝数
confId	frequency	spend	lowest	highest
Int	Int2	Int	Int	Int
1	1	88	188	388
1	2	588	700	900
1	3	1188	1400	1600
1	4	1888	2200	2800
1	5	4888	5500	6500
1	6	9888	11000	12000
1	7	19888	21000	23000
1	8	49888	52000	55000
2	1	88	188	388
2	2	588	700	900
2	3	1188	1400	1600
2	4	1888	2200	2800
2	5	4888	5500	6500
2	6	9888	11000	12000
2	7	19888	21000	23000
2	8	49888	52000	55000
3	1	88	188	388
3	2	588	700	900
3	3	1188	1400	1600
3	4	1888	2200	2800
3	5	4888	5500	6500
3	6	9888	11000	12000
3	7	19888	21000	23000
3	8	49888	52000	55000
