编号	编号1	编号2
confId	id	award
Int	Int2	Award
1	1	user.gold:31300
1	2	user.hero_exp:11900
1	3	material.1:40
1	4	user.gold:39200
1	5	user.hero_exp:14800
1	6	material.100402:1
1	7	user.gold:47000
1	8	user.hero_exp:17800
1	9	user.bindcash:100
1	10	user.gold:54800
1	11	user.hero_exp:20800
1	12	user.htoken:1
1	13	user.gold:62700
1	14	user.hero_exp:23700
1	15	material.950:10
2	1	user.gold:36600
2	2	user.hero_exp:25000
2	3	material.1:40
2	4	user.gold:45800
2	5	user.hero_exp:31200
2	6	material.100402:1
2	7	user.gold:55000
2	8	user.hero_exp:37500
2	9	user.bindcash:100
2	10	user.gold:64100
2	11	user.hero_exp:43700
2	12	user.htoken:1
2	13	user.gold:73300
2	14	user.hero_exp:50000
2	15	material.950:10
3	1	user.gold:40800
3	2	user.hero_exp:35100
3	3	material.1:40
3	4	user.gold:51000
3	5	user.hero_exp:43900
3	6	material.100402:1
3	7	user.gold:61200
3	8	user.hero_exp:52700
3	9	user.bindcash:100
3	10	user.gold:71400
3	11	user.hero_exp:61500
3	12	user.htoken:1
3	13	user.gold:81600
3	14	user.hero_exp:70300
3	15	material.950:10
4	1	user.gold:43900
4	2	user.hero_exp:43000
4	3	material.1:40
4	4	user.gold:54900
4	5	user.hero_exp:53700
4	6	material.100402:1
4	7	user.gold:65800
4	8	user.hero_exp:64500
4	9	user.bindcash:100
4	10	user.gold:76800
4	11	user.hero_exp:75200
4	12	user.htoken:1
4	13	user.gold:87800
4	14	user.hero_exp:85900
4	15	material.950:10
5	1	user.gold:48300
5	2	user.hero_exp:53600
5	3	material.1:40
5	4	user.gold:60300
5	5	user.hero_exp:67000
5	6	material.100402:1
5	7	user.gold:72400
5	8	user.hero_exp:80400
5	9	user.bindcash:100
5	10	user.gold:84500
5	11	user.hero_exp:93700
5	12	user.htoken:1
5	13	user.gold:96500
5	14	user.hero_exp:107000
5	15	material.950:10
6	1	user.gold:53200
6	2	user.hero_exp:65800
6	3	material.1:40
6	4	user.gold:66500
6	5	user.hero_exp:82200
6	6	material.100402:1
6	7	user.gold:79800
6	8	user.hero_exp:98700
6	9	user.bindcash:100
6	10	user.gold:93100
6	11	user.hero_exp:115000
6	12	user.htoken:1
