编号	距离活动开启天数	编号	充值金额	物品
confId	day	id	money	award
Int	Int2	Int3	Int	Award
1	1	1	6	material.1:1
1	1	2	50	material.1:2
1	1	3	100	material.1:3
1	1	4	300	material.1:4
1	1	5	500	material.1:5
1	1	6	1000	material.1:6
1	1	7	2000	material.1:7
1	1	8	4000	material.1:8
1	1	9	6000	material.1:9
1	1	10	8000	material.1:10
1	1	11	12000	material.1:11
1	1	12	20000	material.1:12
1	1	13	30000	material.1:13
1	2	1	6	material.1:14
1	2	2	50	material.1:15
1	2	3	100	material.1:16
1	2	4	300	material.1:17
1	2	5	500	material.1:18
1	2	6	1000	material.1:19
1	2	7	2000	material.1:20
1	2	8	4000	material.1:21
1	2	9	6000	material.1:22
1	2	10	8000	material.1:23
1	2	11	12000	material.1:24
1	2	12	20000	material.1:25
1	2	13	30000	material.1:26
1	3	1	6	material.1:27
1	3	2	50	material.1:28
1	3	3	100	material.1:29
1	3	4	300	material.1:30
1	3	5	500	material.1:31
1	3	6	1000	material.1:32
1	3	7	2000	material.1:33
1	3	8	4000	material.1:34
1	3	9	6000	material.1:35
1	3	10	8000	material.1:36
1	3	11	12000	material.1:37
1	3	12	20000	material.1:38
1	3	13	30000	material.1:39
2	1	1	6	material.1:40
2	1	2	50	material.1:41
2	1	3	100	material.1:42
2	1	4	300	material.1:43
2	1	5	500	material.1:44
2	1	6	1000	material.1:45
2	1	7	2000	material.1:46
2	1	8	4000	material.1:47
2	1	9	6000	material.1:48
2	1	10	8000	material.1:49
2	1	11	12000	material.1:50
2	1	12	20000	material.1:51
2	1	13	30000	material.1:52
2	2	1	6	material.1:53
2	2	2	50	material.1:54
2	2	3	100	material.1:55
2	2	4	300	material.1:56
2	2	5	500	material.1:57
2	2	6	1000	material.1:58
2	2	7	2000	material.1:59
2	2	8	4000	material.1:60
2	2	9	6000	material.1:61
2	2	10	8000	material.1:62
2	2	11	12000	material.1:63
2	2	12	20000	material.1:64
2	2	13	30000	material.1:65
2	3	1	6	material.1:66
2	3	2	50	material.1:67
2	3	3	100	material.1:68
2	3	4	300	material.1:69
2	3	5	500	material.1:70
2	3	6	1000	material.1:71
2	3	7	2000	material.1:72
2	3	8	4000	material.1:73
2	3	9	6000	material.1:74
2	3	10	8000	material.1:75
2	3	11	12000	material.1:76
2	3	12	20000	material.1:77
2	3	13	30000	material.1:78
3	1	1	6	material.1:79
3	1	2	50	material.1:80
3	1	3	100	material.1:81
3	1	4	300	material.1:82
3	1	5	500	material.1:83
3	1	6	1000	material.1:84
3	1	7	2000	material.1:85
3	1	8	4000	material.1:86
3	1	9	6000	material.1:87
3	1	10	8000	material.1:88
3	1	11	12000	material.1:89
3	1	12	20000	material.1:90
3	1	13	30000	material.1:91
3	2	1	6	material.1:92
3	2	2	50	material.1:93
3	2	3	100	material.1:94
3	2	4	300	material.1:95
3	2	5	500	material.1:96
3	2	6	1000	material.1:97
3	2	7	2000	material.1:98
3	2	8	4000	material.1:99
3	2	9	6000	material.1:100
3	2	10	8000	material.1:101
3	2	11	12000	material.1:102
3	2	12	20000	material.1:103
3	2	13	30000	material.1:104
3	3	1	6	material.1:105
3	3	2	50	material.1:106
3	3	3	100	material.1:107
3	3	4	300	material.1:108
3	3	5	500	material.1:109
3	3	6	1000	material.1:110
3	3	7	2000	material.1:111
3	3	8	4000	material.1:112
3	3	9	6000	material.1:113
3	3	10	8000	material.1:114
3	3	11	12000	material.1:115
3	3	12	20000	material.1:116
3	3	13	30000	material.1:117
4	1	1	6	material.1:118
4	1	2	50	material.1:119
4	1	3	100	material.1:120
4	1	4	300	material.1:121
4	1	5	500	material.1:122
4	1	6	1000	material.1:123
4	1	7	2000	material.1:124
4	1	8	5000	material.1:125
4	1	9	8000	material.1:126
4	1	10	12000	material.1:127
4	2	1	6	material.1:128
4	2	2	50	material.1:129
4	2	3	100	material.1:130
4	2	4	300	material.1:131
4	2	5	500	material.1:132
4	2	6	1000	material.1:133
4	2	7	2000	material.1:134
4	2	8	5000	material.1:135
4	2	9	8000	material.1:136
4	2	10	12000	material.1:137
4	3	1	6	material.1:138
4	3	2	50	material.1:139
4	3	3	100	material.1:140
4	3	4	300	material.1:141
4	3	5	500	material.1:142
4	3	6	1000	material.1:143
4	3	7	2000	material.1:144
4	3	8	5000	material.1:145
4	3	9	8000	material.1:146
4	3	10	12000	material.1:147
