签到轮数	签到天数(创号)	奖励道具
round	sort	reward
Int	Int2	Award
1	1	user.bindcash:50
1	2	fragment.5028:10
1	3	user.bindcash:50
1	4	equip.10401.0:1
1	5	user.bindcash:50
1	6	user.bindcash:50
1	7	fragment.5028:10
1	8	user.bindcash:50
1	9	equip.20401.0:1
1	10	user.bindcash:50
1	11	user.bindcash:50
1	12	fragment.5028:10
1	13	user.bindcash:50
1	14	equip.30401.0:1
1	15	user.htoken:2
1	16	user.bindcash:50
1	17	fragment.5028:10
1	18	user.bindcash:50
1	19	equip.40401.0:1
1	20	user.bindcash:50
1	21	user.bindcash:50
1	22	fragment.5028:10
1	23	user.bindcash:50
1	24	equip.50401.0:1
1	25	user.bindcash:50
1	26	user.bindcash:50
1	27	fragment.5028:10
1	28	user.bindcash:50
1	29	equip.60401.0:1
1	30	user.htoken:3
2	1	user.bindcash:50
2	2	fragment.5026:10
2	3	user.bindcash:50
2	4	equip.10501.0:1
2	5	user.bindcash:50
2	6	user.bindcash:50
2	7	fragment.5026:10
2	8	user.bindcash:50
2	9	equip.20501.0:1
2	10	user.bindcash:50
2	11	user.bindcash:50
2	12	fragment.5026:10
2	13	user.bindcash:50
2	14	equip.30501.0:1
2	15	user.htoken:2
2	16	user.bindcash:50
2	17	fragment.5026:10
2	18	user.bindcash:50
2	19	equip.40501.0:1
2	20	user.bindcash:50
2	21	user.bindcash:50
2	22	fragment.5026:10
2	23	user.bindcash:50
2	24	equip.50501.0:1
2	25	user.bindcash:50
2	26	user.bindcash:50
2	27	fragment.5026:10
2	28	user.bindcash:50
2	29	equip.60501.0:1
2	30	user.htoken:3
3	1	user.bindcash:50
3	2	fragment.5024:10
3	3	user.bindcash:50
3	4	equip.10501.1:1
3	5	user.bindcash:50
3	6	user.bindcash:50
3	7	fragment.5024:10
3	8	user.bindcash:50
3	9	equip.20501.1:1
3	10	user.bindcash:50
3	11	user.bindcash:50
3	12	fragment.5024:10
3	13	user.bindcash:50
3	14	equip.30501.1:1
3	15	user.htoken:2
3	16	user.bindcash:50
3	17	fragment.5024:10
3	18	user.bindcash:50
3	19	equip.40501.1:1
3	20	user.bindcash:50
3	21	user.bindcash:50
3	22	fragment.5024:10
3	23	user.bindcash:50
3	24	equip.50501.1:1
3	25	user.bindcash:50
3	26	user.bindcash:50
3	27	fragment.5024:10
3	28	user.bindcash:50
3	29	equip.60501.1:1
3	30	user.htoken:3
4	1	user.bindcash:50
4	2	fragment.5022:10
4	3	user.bindcash:50
4	4	equip.10501.2:1
4	5	user.bindcash:50
4	6	user.bindcash:50
4	7	fragment.5022:10
4	8	user.bindcash:50
4	9	equip.20501.2:1
4	10	user.bindcash:50
4	11	user.bindcash:50
4	12	fragment.5022:10
4	13	user.bindcash:50
4	14	equip.30501.2:1
4	15	user.htoken:2
4	16	user.bindcash:50
4	17	fragment.5022:10
4	18	user.bindcash:50
4	19	equip.40501.2:1
4	20	user.bindcash:50
4	21	user.bindcash:50
4	22	fragment.5022:10
4	23	user.bindcash:50
4	24	equip.50501.2:1
4	25	user.bindcash:50
4	26	user.bindcash:50
4	27	fragment.5022:10
4	28	user.bindcash:50
4	29	equip.60501.2:1
4	30	user.htoken:3
5	1	user.bindcash:50
5	2	fragment.5027:10
5	3	user.bindcash:50
5	4	equip.10601.0:1
5	5	user.bindcash:50
5	6	user.bindcash:50
5	7	fragment.5027:10
5	8	user.bindcash:50
5	9	equip.20601.0:1
5	10	user.bindcash:50
5	11	user.bindcash:50
5	12	fragment.5027:10
5	13	user.bindcash:50
5	14	equip.30601.0:1
5	15	user.htoken:2
5	16	user.bindcash:50
5	17	fragment.5027:10
5	18	user.bindcash:50
5	19	equip.40601.0:1
5	20	user.bindcash:50
5	21	user.bindcash:50
5	22	fragment.5027:10
5	23	user.bindcash:50
5	24	equip.50601.0:1
5	25	user.bindcash:50
5	26	user.bindcash:50
5	27	fragment.5027:10
5	28	user.bindcash:50
5	29	equip.60601.0:1
5	30	user.htoken:3
6	1	user.bindcash:50
6	2	fragment.5025:10
6	3	user.bindcash:50
6	4	equip.10601.1:1
6	5	user.bindcash:50
6	6	user.bindcash:50
6	7	fragment.5025:10
6	8	user.bindcash:50
6	9	equip.20601.1:1
6	10	user.bindcash:50
6	11	user.bindcash:50
6	12	fragment.5025:10
6	13	user.bindcash:50
6	14	equip.30601.1:1
6	15	user.htoken:2
6	16	user.bindcash:50
6	17	fragment.5025:10
6	18	user.bindcash:50
6	19	equip.40601.1:1
6	20	user.bindcash:50
6	21	user.bindcash:50
6	22	fragment.5025:10
6	23	user.bindcash:50
6	24	equip.50601.1:1
6	25	user.bindcash:50
6	26	user.bindcash:50
6	27	fragment.5025:10
6	28	user.bindcash:50
6	29	equip.60601.1:1
6	30	user.htoken:3
7	1	user.bindcash:50
7	2	fragment.5023:10
7	3	user.bindcash:50
7	4	equip.10601.2:1
7	5	user.bindcash:50
7	6	user.bindcash:50
7	7	fragment.5023:10
7	8	user.bindcash:50
7	9	equip.20601.2:1
7	10	user.bindcash:50
7	11	user.bindcash:50
7	12	fragment.5023:10
7	13	user.bindcash:50
7	14	equip.30601.2:1
7	15	user.htoken:2
7	16	user.bindcash:50
7	17	fragment.5023:10
7	18	user.bindcash:50
7	19	equip.40601.2:1
7	20	user.bindcash:50
7	21	user.bindcash:50
7	22	fragment.5023:10
7	23	user.bindcash:50
7	24	equip.50601.2:1
7	25	user.bindcash:50
7	26	user.bindcash:50
7	27	fragment.5023:10
7	28	user.bindcash:50
7	29	equip.60601.2:1
7	30	user.htoken:3
8	1	user.bindcash:50
8	2	fragment.5021:10
8	3	user.bindcash:50
8	4	equip.10601.3:1
8	5	user.bindcash:50
8	6	user.bindcash:50
8	7	fragment.5021:10
8	8	user.bindcash:50
8	9	equip.20601.3:1
8	10	user.bindcash:50
8	11	user.bindcash:50
8	12	fragment.5021:10
8	13	user.bindcash:50
8	14	equip.30601.3:1
8	15	user.htoken:2
8	16	user.bindcash:50
8	17	fragment.5021:10
8	18	user.bindcash:50
8	19	equip.40601.3:1
8	20	user.bindcash:50
8	21	user.bindcash:50
8	22	fragment.5021:10
8	23	user.bindcash:50
8	24	equip.50601.3:1
8	25	user.bindcash:50
8	26	user.bindcash:50
8	27	fragment.5021:10
8	28	user.bindcash:50
8	29	equip.60601.3:1
8	30	user.htoken:3
9	1	user.bindcash:50
9	2	material.950:10
9	3	user.bindcash:50
9	4	equip.10701.0:1
9	5	user.bindcash:50
9	6	user.bindcash:50
9	7	material.950:10
9	8	user.bindcash:50
9	9	equip.20701.0:1
9	10	user.bindcash:50
9	11	user.bindcash:50
9	12	material.950:10
9	13	user.bindcash:50
9	14	equip.30701.0:1
9	15	user.htoken:2
9	16	user.bindcash:50
9	17	material.950:10
9	18	user.bindcash:50
9	19	equip.40701.0:1
9	20	user.bindcash:50
9	21	user.bindcash:50
9	22	material.950:10
9	23	user.bindcash:50
9	24	equip.50701.0:1
9	25	user.bindcash:50
9	26	user.bindcash:50
9	27	material.950:10
9	28	user.bindcash:50
9	29	equip.60701.0:1
9	30	user.htoken:3
