编号	排序	充值ID	可领取次数	奖励
confId	id	rechargeid	limitcount	awards
Int	Int2	Int	Int	Award
1	1	3	5	material.1:1
1	2	4	20	material.1:2
1	3	5	20	material.1:3
1	4	6	50	material.1:4
1	5	7	50	material.1:5
1	6	8	20	material.1:6
2	1	3	5	material.1:7
2	2	4	20	material.1:8
2	3	5	20	material.1:9
2	4	6	50	material.1:10
2	5	7	50	material.1:11
2	6	8	20	material.1:12
3	1	3	5	material.1:13
3	2	4	20	material.1:14
3	3	5	20	material.1:15
3	4	6	50	material.1:16
3	5	7	50	material.1:17
3	6	8	20	material.1:18
4	1	3	5	material.1:19
4	2	4	10	material.1:20
4	3	5	20	material.1:21
4	4	6	50	material.1:22
4	5	7	50	material.1:23
4	6	8	20	material.1:24
