位置	跳转位置	跳转概率	奖励	跳转的线
pos	steppos	steppro	awards	stepline
Int	Ints	Ints	Award	Ints
1	2|6	100|100	0	1|11
2	3|7	100|100	material.1:1	12|2
3	2|4|8	100|100|80	material.1:2	12|3|13
4	3|5|9	100|100|100	material.1:3	13|4|14
5	4|10	100|100	material.1:4	14|5
6	7|11	100|100	material.1:5	15|6
7	6|8|2|12	100|80|100|100	material.1:6	15|2|16|7
8	7|9|3|13	100|1000|100|100	material.1:7	16|3|17|8
9	8|10|4|14	80|100|100|100	material.1:8	17|4|18|9
10	9|5|15	100|100|3	material.1:9	5|18|10
11	6|12	100|100	material.1:10	6|19
12	11|13|7	100|100|100	material.1:11	19|7|20
13	12|14|8	100|100|80	material.1:12	20|8|21
14	13|15|9	100|3|100	material.1:13	21|9|22
15	2|6	100|100	material.1:14	1|11
