编号	编号1	酒馆招募次数	奖励
confId	timeId	num	awards
Int	Int2	Int	Award
1	1	60	fragment.5031:60,fragment.5032:60
1	2	140	fragment.5031:60,fragment.5032:60
1	3	240	fragment.5031:60,fragment.5032:60
1	4	360	fragment.5031:60,fragment.5032:60
1	5	500	fragment.5031:60,fragment.5032:60
1	6	660	fragment.5031:60,fragment.5032:60
1	7	840	fragment.5031:60,fragment.5032:60
1	8	1040	fragment.5031:60,fragment.5032:60
2	1	60	fragment.5027:60,fragment.5028:60
2	2	140	fragment.5027:60,fragment.5028:60
2	3	240	fragment.5027:60,fragment.5028:60
2	4	360	fragment.5027:60,fragment.5028:60
2	5	500	fragment.5027:60,fragment.5028:60
2	6	660	fragment.5027:60,fragment.5028:60
2	7	840	fragment.5027:60,fragment.5028:60
2	8	1040	fragment.5027:60,fragment.5028:60
3	1	60	fragment.5025:60,fragment.5026:60
3	2	140	fragment.5025:60,fragment.5026:60
3	3	240	fragment.5025:60,fragment.5026:60
3	4	360	fragment.5025:60,fragment.5026:60
3	5	500	fragment.5025:60,fragment.5026:60
3	6	660	fragment.5025:60,fragment.5026:60
3	7	840	fragment.5025:60,fragment.5026:60
3	8	1040	fragment.5025:60,fragment.5026:60
4	1	60	fragment.5023:60,fragment.5024:60
4	2	140	fragment.5023:60,fragment.5024:60
4	3	240	fragment.5023:60,fragment.5024:60
4	4	360	fragment.5023:60,fragment.5024:60
4	5	500	fragment.5023:60,fragment.5024:60
4	6	660	fragment.5023:60,fragment.5024:60
4	7	840	fragment.5023:60,fragment.5024:60
4	8	1040	fragment.5023:60,fragment.5024:60
5	1	60	fragment.5021:60,fragment.5022:60
5	2	140	fragment.5021:60,fragment.5022:60
5	3	240	fragment.5021:60,fragment.5022:60
5	4	360	fragment.5021:60,fragment.5022:60
5	5	500	fragment.5021:60,fragment.5022:60
5	6	660	fragment.5021:60,fragment.5022:60
5	7	840	fragment.5021:60,fragment.5022:60
5	8	1040	fragment.5021:60,fragment.5022:60
6	1	60	fragment.5029:60,fragment.5030:60
6	2	140	fragment.5029:60,fragment.5030:60
6	3	240	fragment.5029:60,fragment.5030:60
6	4	360	fragment.5029:60,fragment.5030:60
6	5	500	fragment.5029:60,fragment.5030:60
6	6	660	fragment.5029:60,fragment.5030:60
6	7	840	fragment.5029:60,fragment.5030:60
6	8	1040	fragment.5029:60,fragment.5030:60
7	1	60	fragment.5031:60,fragment.5032:60
7	2	140	fragment.5031:60,fragment.5032:60
7	3	240	fragment.5031:60,fragment.5032:60
7	4	360	fragment.5031:60,fragment.5032:60
7	5	500	fragment.5031:60,fragment.5032:60
7	6	660	fragment.5031:60,fragment.5032:60
7	7	840	fragment.5031:60,fragment.5032:60
7	8	1040	fragment.5031:60,fragment.5032:60
