编号	日期	双倍导航1	导航1icon	导航1活动名字	具体奖励部分
confId	day	gateway1	icon1	name1	name3
Int	Int2	String	String	String	String
1	1	landgrabber	task_27	村庄争夺	掉落
1	2	landgrabber	task_27	村庄争夺	掉落
1	3	landgrabber	task_27	村庄争夺	掉落
1	4	landgrabber	task_27	村庄争夺	掉落
1	5	landgrabber	task_27	村庄争夺	掉落
1	6	landgrabber	task_27	村庄争夺	掉落
1	7	landgrabber	task_27	村庄争夺	掉落
2	1	landgrabber	task_27	村庄争夺	掉落
2	2	landgrabber	task_27	村庄争夺	掉落
2	3	landgrabber	task_27	村庄争夺	掉落
2	4	landgrabber	task_27	村庄争夺	掉落
2	5	landgrabber	task_27	村庄争夺	掉落
2	6	landgrabber	task_27	村庄争夺	掉落
2	7	landgrabber	task_27	村庄争夺	掉落
3	1	landgrabber	task_27	村庄争夺	掉落
3	2	landgrabber	task_27	村庄争夺	掉落
3	3	landgrabber	task_27	村庄争夺	掉落
3	4	landgrabber	task_27	村庄争夺	掉落
3	5	landgrabber	task_27	村庄争夺	掉落
3	6	landgrabber	task_27	村庄争夺	掉落
3	7	landgrabber	task_27	村庄争夺	掉落
4	1	landgrabber	task_27	村庄争夺	掉落
4	2	landgrabber	task_27	村庄争夺	掉落
4	3	landgrabber	task_27	村庄争夺	掉落
4	4	landgrabber	task_27	村庄争夺	掉落
4	5	landgrabber	task_27	村庄争夺	掉落
4	6	landgrabber	task_27	村庄争夺	掉落
4	7	landgrabber	task_27	村庄争夺	掉落
