编号	己方自动战斗(0:不限制，1:强制自动战斗，2:禁止自动战斗)	敌方自动战斗(0:禁止自动战斗,1:开启自动战斗,2:禁止自动战斗)	背景图	是否开启PVP专用属性（PVP强制开启，PVE手动配置是否开启）	描述
id	autoFight1	autoFight2	bgId	enableSpecial	desc
Int	Int	Int	Int	Int	Ignore
1	0	0	0	0	副本
2	0	0	0	0	切磋
3	1	1	0	1	太守
4	1	1	0	1	金矿
5	1	1	0	1	竞技场
6	0	0	0	0	金币副本
7	0	0	0	0	经验丹副本
8	0	0	0	0	突破副本
9	0	0	0	0	天命石副本
10	0	0	0	0	爬塔
11	1	1	0	1	运镖
12	0	0	0	0	试炼之地
13	1	1	0	1	皇城争霸
14	0	0	0	0	巡逻
15	0	0	0	0	军团副本
16	0	0	0	0	新手引导假战斗1
17	0	0	0	0	新手引导假战斗2
18	1	1	0	1	群雄争霸
19	0	0	0	0	挖矿
20	0	0	0	0	将星录
21	2	2	0	1	战斗回放
22	0	0	0	1	抢夺玉璧
23	1	1	0	1	军团战
24	1	1	0	1	群雄争霸决赛
25	0	0	0	0	战争学院
26	0	0	0	0	单挑
27	0	0	0	0	车轮战
28	0	0	0	0	限时防守
29	0	0	0	0	新版军团开黑
30	1	1	0	1	好友切磋
31	0	1	0	0	好友boss
33	0	0	0	0	无限关卡
34	0	0	0	0	无限关卡BOSS
35	0	0	0	0	领地战打怪
36	1	0	0	1	领地战打人
37	0	0	0	0	无尽傀儡
38	0	0	0	0	领地战BOSS
39	1	1	0	1	服战
40	0	0	0	0	大本营
41	0	0	0	0	山洞
42	0	0	0	0	宝物章鱼
43	1	1	0	1	村庄地块争夺
44	1	1	0	1	村庄争夺
45	0	0	0	0	军团BOSS
46	0	0	6	0	每日提纲BOSS
47	0	0	0	0	魔法阵挑战
48	0	0	6	0	深渊世界
49	0	0	0	0	章鱼
50	0	0	6	0	深渊矿洞
