索引ID	注释1	描述	类型(1普通buff, 2光环buff)	buff模式(0:无类型，1:灼烧)	光环类型(1:不断的发送buff，并且出了范围就移除,2:只发送一次，除非发送的buff消失,出了范围不移除)	正负面(1负面2正面)	不可被驱散	是否受到负面抗性影响	效果类型(0没有效果，1普通伤害，2无视防御伤害，3召唤)	发送buffID	buff生效几率（万分比）	buff持续时间（毫秒）	范围选择目标类型(1英雄2士兵3所有单位)	范围	光环检测间隔时间(毫秒)	伤害类型（按武将类型，0物理，1魔法）	额外伤害类型	额外伤害值	伤害系数	发送第一次效果延迟时间(毫秒)	发送效果间隔时间(毫秒)	属性修改	属性值修改	属性百分比修改（万分比）	克制增幅0	克制增幅1	克制增幅2	克制增幅3	攻击吸血万分比	攻击吸血固定值	免疫负面物理效果	免疫负面魔法效果	免疫负面魔法次数	限制移动	限制普通攻击	限制释放技能	不受控制	反弹物理伤害万分比	改变技能组	变身资源名	变身资源类型	变身后缩放百分比	buff特效资源	buff特效类型(1只显示一次, 2循环特效)	buff特效挂载点(1上2中3下)	buff特效渲染层级(1上2下)	buff位置偏移	buff位置偏移1	buff特效资源1	buff特效类型(1只显示一次, 2循环特效)1	buff特效挂载点(1上2中3下)1	buff特效渲染层级(1上2下)1	buff位置偏移2	buff位置偏移3	特殊shader	隐藏飘字
id	ep1	desc	type	buffMode	haloType	dirType	cannotDispel	buffResistance	effectId	sendBuffId	sendBuffOdds	sendBuffTime	rangeTargetType	range	checkInterval	damageType	extraDmgType	extraDmgValue	coefficient	effectDelay	effectInterval	attributeId	attributeValue	attributePercent	formation0	formation1	formation2	formation3	suckBloodPercent	suckBlood	ignorePhy	ignoreMag	ignoreMagTimes	banMove	banAtt	banSkill	loseControl	reboundDmg	changeSkillGroup	reUrl	reType	reScale	buffRes	buffResType	buffPos	buffZorder	buffOffsetX	buffOffsetY	buffRes2	buffResType2	buffPos2	buffZorder2	buffOffsetX2	buffOffsetY2	armatureShader	showNum
Int	Ingore	String	Int	Int	Int	Int	Int	int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Ints	Ints	Ints	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	String	Int	Int	String	Int	Int	Int	Int	Int	String	Int	Int	Int	Int	Int	String	Int
111	防御提升6%1级	防御提升6%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2|3	0|0	600|600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
112	防御提升18%1级	防御提升18%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2|3	0|0	1800|1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
121	部队在受伤后每秒回复0.6%最大血量的生命值1级	部队在受伤后每秒回复0.6%最大血量的生命值	1	0	0	2	1	0	1	0	0	0	0	0	0	1	200	30	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0
211	攻击提升3%1级	攻击提升3%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
212	攻击提升9%1级	攻击提升9%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
221	无视目标10%护甲1级	无视目标10%护甲	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
311	生命+5%1级	生命+5%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
312	生命+15%1级	生命+15%	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
321	对远程兵种造成20%额外伤害1级	对远程兵种造成20%额外伤害	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
901	BOSS标记1级	百分比类型伤害效果添加上限	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	眩晕1级	眩晕一段时间	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	debuff_xuanyun	2	1	1	0	0	0	0	0	0	0	0	0	1
1101	普攻免伤1级	免疫普攻伤害	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	buff_pugongmianyi	2	2	1	0	0	0	0	0	0	0	0	0	1
1201	魔法免伤1级	免疫魔法伤害	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_mofamianyi	2	3	1	0	0	0	0	0	0	0	0	0	1
1301	沉默1级	沉默	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	debuff_chenmo	2	1	1	0	0	0	0	0	0	0	0	0	1
1401	冰冻(等于定身)1级	冰冻(等于眩晕)	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	debuff_bingdong	2	3	1	0	0	0	0	0	0	0	0	0	1
