次数	五星英雄碎片购买	极品1级龙晶购买消耗	竞技场门票购买消耗	困难重置消耗元宝	精英重置消耗元宝	普通重置消耗元宝	秘境怪人刷新消耗元宝	秘境硬币重置消耗元宝	探索任务次数购买消耗	探索挂机加速消耗元宝	千重楼重置消耗	皇城争霸挑战次数购买	龙晶矿洞矿锄购买	军团BOSS挑战消耗	军团领地行动力购买消耗	军团BOSS挑战消耗1	英雄背包购买	护送战斗点	护送任务购买	巅峰竞技场补足次数消耗	军团战探索次数购买消耗
times	shopCost1	shopCost2	shopCost3	hardReset	eliteReset	normalReset	trialCrackpotReset	trialCoinReset	exploreTask	exploreAccelerate	towerReset	countryChallenge	diggingBuy	legionBossC	legionMannorActionBuy	avAlasdPrayRefreshCostItem	heroNumBuyC	convoyPower	convoyBuyTask	summitArenaBuy	legionExploreTask
Int	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award
1	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-50	user.mixcash:-50	user.mixcash:-50	user.mixcash:-10	user.mixcash:-10	user.mixcash:-50	user.mixcash:0	user.mixcash:0	user.mixcash:-20	user.mixcash:-20	user.mixcash:0	user.mixcash:0	user.gold:0	user.mixcash:-100	user.mixcash:-250	user.mixcash:-0	user.mixcash:-50	user.mixcash:-50
2	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-100	user.mixcash:-100	user.mixcash:-100	user.mixcash:-10	user.mixcash:-10	user.mixcash:-75	user.mixcash:-50	user.mixcash:-200	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-10	user.gold:0	user.mixcash:-150	user.mixcash:-250	user.mixcash:-100	user.mixcash:-50	user.mixcash:-100
3	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-150	user.mixcash:-150	user.mixcash:-150	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-100	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-50	user.mixcash:-20	user.gold:0	user.mixcash:-200	user.mixcash:-250	user.mixcash:-150	user.mixcash:-50	user.mixcash:-150
4	user.mixcash:-20	user.mixcash:-30	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-100	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-100	user.mixcash:-20	user.gold:-12000	user.mixcash:-250	user.mixcash:-250	user.mixcash:-200	user.mixcash:-50	user.mixcash:-150
5	user.mixcash:-20	user.mixcash:-30	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-150	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-200	user.mixcash:-30	user.gold:-12000	user.mixcash:-300	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
6	user.mixcash:-30	user.mixcash:-30	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-150	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-30	user.gold:-12000	user.mixcash:-350	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
7	user.mixcash:-30	user.mixcash:-40	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-200	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-40	user.gold:-12000	user.mixcash:-400	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
8	user.mixcash:-30	user.mixcash:-40	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-200	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-40	user.gold:-12000	user.mixcash:-450	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
9	user.mixcash:-30	user.mixcash:-40	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-250	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-50	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
10	user.mixcash:-30	user.mixcash:-50	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-250	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-50	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
11	user.mixcash:-40	user.mixcash:-50	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-300	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-60	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
12	user.mixcash:-40	user.mixcash:-60	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-350	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-60	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
13	user.mixcash:-40	user.mixcash:-60	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-400	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-70	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
14	user.mixcash:-40	user.mixcash:-70	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-450	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-70	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
15	user.mixcash:-40	user.mixcash:-70	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-80	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
16	user.mixcash:-50	user.mixcash:-80	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-80	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
17	user.mixcash:-50	user.mixcash:-80	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-90	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
18	user.mixcash:-50	user.mixcash:-90	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-90	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
19	user.mixcash:-50	user.mixcash:-90	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-100	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
20	user.mixcash:-50	user.mixcash:-100	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-100	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
21	user.mixcash:-60	user.mixcash:-100	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-150	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
22	user.mixcash:-60	user.mixcash:-110	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-150	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
23	user.mixcash:-60	user.mixcash:-110	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-200	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
