模型名称	换装旧部件	换装新部件	换装旧部件1	换装新部件1	换装旧部件2	换装新部件2	换装旧部件3	换装新部件3
name	bone1	equip1	bone2	equip2	bone3	equip3	bones	equips
String	String	String	String	String	String	String	Strings	Strings
nan_ma	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_tieqi	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_huoyanma	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_silingma	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_gulong	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_heilianyang	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_jinlong	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_zhanlang	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_zhanshi	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_heilong	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_feixinggulong	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
nan_juebanfeixinggulong	nan_wuqi	nan_wuqi	nan_chibang_l	nan_chibang_l	nan_chibang_r	nan_chibang_r	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm	nan_r_arm|nan_zuojianjia|nan_r_dabi|nan_head|nan_shenti|nan_l_arm
