类型字符串	头衔	优先级	路径
type	level	priority	icon
String	String	Int	String
fight_force	text_chatLordName_fight_force	1	uires/icon/chat_lord/zhanlibazhu.png
arena	text_chatLordName_arena	2	uires/icon/chat_lord/leitaibazhu.png
tower	text_chatLordName_tower	6	uires/icon/chat_lord/chongloubazhu.png
country1	text_chatLordName_country1	3	uires/icon/chat_lord/weiwang.png
country2	text_chatLordName_country2	3	uires/icon/chat_lord/wuwang.png
country3	text_chatLordName_country3	3	uires/icon/chat_lord/shuwang.png
world_war	text_chatLordName_world_war	4	uires/icon/chat_lord/qunxiongbazhu.png
legion	text_chatLordName_legion	5	uires/icon/chat_lord/juntuanbazhu.png
tavern	text_chatLordName_tavern	7	uires/icon/chat_lord/renpingdi.png
