城池ID	城池组ID	等级限制	探索星星要求	地图碎片ID	城池名称	城池类型	城池类型2	是否翻转	默认势力	boss展示	城市坐标X	城市坐标Y	山贼坐标	背景块	功能开启	新手引导标示	开启龙	是否开启功能	是否显示进贡	进贡	战斗背景	小战斗ID	战斗ID	普通消耗粮草	普通掉落经验	挑战次数上限	掉落道具组ID	小战斗首次掉落道具	首次掉落道具	精英怪物ID	精英消耗粮草	精英掉落经验	精英挑战次数上限	精英掉落道具组ID	精英首次掉落道具	切磋怪物ID	切磋消耗粮草	切磋掉落经验	切磋挑战次数上限	切磋掉落道具组ID	太守消耗粮草	太守产出ID	巡逻每轮金币	巡逻每轮经验	巡逻掉落装备等级	巡逻掉落装备品质	巡逻掉落装备部位1	巡逻掉落装备部位2	巡逻掉落装备个数	描述	切磋描述
id	group	level	star	chipId	name	type	type1	turn	camp	bossShow	posX	posY	thiefpos	bcakId	moduleOpenId	guideIndex	dragon	funcOpen	tributeVisible	tribute	battlebg	pformation1	formation1	food1	exp1	limit1	drop1	pfirst1	first1	formation2	food2	exp2	limit2	drop2	first2	formation3	food3	exp3	limit3	drop3	food4	lord	patrolGold	patrolXp	patrolEquipLevel	patrolEquipQuality	patrolEquipType1	patrolEquipType2	patrolEquipCount	desc	desc1
Int	Int	Int	Int	Int	String	Int	Int	Int	Int	Int	Int	Int	Ints	Int	String	Int	Int	String	Int	Award	Int	Ints	Int	Int	Award	Int	Int	Ints	Award	Int	Int	Award	Int	Int	Award	Int	Int	Award	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	String	String
0	1	1	0	0	乐浪	1	1	1	10	0	5634.52	3716.2	2|150|1|70|200	6	0	0	0		1		1		1	5	user.xp:200	99	1			201	5	user.xp:200	30	201		0	5	user.xp:200	5	0	2	0	50	30	1	2	3	5	1	    公元前108～313年间，乐浪是西汉汉武帝于公元前108年平定卫氏朝鲜后在今朝鲜半岛设置的汉四郡之一。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
1	1	1	0	60	1.襄平	2	10	1	10	0	5266.28	3779.76	2|150|1|70|200	6	0	1	0		1	equip.250011.0:1	1		1	5	user.xp:200	99	1			201	5	user.xp:200	30	201	dress.101:1,dress.102:1,dress.103:1,dress.104:1,dress.105:1,dress.106:1	401	5	user.xp:200	5	401	2	601	50	30	1	2	3	5	1	    东汉末年以后，中原大乱。辽东太守公孙度趁机割据自立，自封为辽东侯，称平州牧，以襄平县为平州和辽东郡治所。魏景初二年，司马懿灭公孙氏，辽东郡纳入魏国版图，在襄平设东夷校尉。其后，平州合并于幽州。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
2	1	1	0	59	2.渔阳	5	8	0	10	0	4809.29	3757.32	2|150|1|70|200	5	0	2	0		1	user.cash:120,material.1000001:1	1		2	5	user.xp:200	99	2			202	5	user.xp:200	30	202	dress.101:2,dress.102:2,dress.104:1,dress.105:1,dress.106:1	437	5	user.xp:200	5	437	2	602	51	30	1	2	1	4	1	    蓟县西北有一山，名曰渔山，县城在山南，故名渔阳。渔阳被后世诗人常用为意象，意为征戍之地。有诗句“昨夜梦渔阳”。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
3	2	1	3	58	3.北平	2	10	1	10	1	4481.56	3603.79	2|150|1|70|200	5	pub	3	0	酒馆	1	equip.230101.0:1,equip.430101.0:1,equip.130101.0:1	1		3	5	user.xp:200	99	3			203	5	user.xp:200	30	203	dress.103:2,dress.102:1	439	5	user.xp:200	5	439	2	603	51	30	1	2	6	2	1	    三国时公孙瓒以此地为治所，并利用渔阳的盐铁之利，发展成一座商业都市。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
4	2	1	3	54	4.涿郡	7	8	0	10	0	4130.23	3536.67	2|150|1|70|200	5	0	0	0		1	equip.330101.0:1,equip.530101.0:1,equip.630101.0:1	1		4	5	user.xp:200	99	4			204	5	user.xp:200	30	204	dress.104:1	441	5	user.xp:200	5	441	2	604	52	30	10	3	3	0	1	    三国魏黄初七年，涿郡改名范阳郡，治所仍在涿县。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
5	2	1	3	57	5.易京	5	7	1	10	0	4302.01	3377.32	2|150|1|70|200	5	0	6	0	玉玺	0	material.200001:10	1		5	5	user.xp:200	99	5			205	5	user.xp:200	30	205	dress.105:1	443	5	user.xp:200	5	443	2	605	53	30	10	3	0	0	1	    东汉末年，割据冀州等地的袁绍，率军攻灭易京公孙瓒军。汉献帝建安三年，袁绍率兵攻公孙瓒。公孙瓒只守不攻，袁绍遂设下伏兵。公孙瓒中伏后，心知必败，逃回城中自杀。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
6	2	1	3	56	6.渤海	1	2	0	10	1	4371.86	3141.36	2|150|1|70|200	5	0	23	3		1		1		6	5	user.xp:200	99	6		card.10004:1	206	5	user.xp:200	30	206	dress.106:1	407	5	user.xp:200	5	407	2	606	53	30	10	3	5	1	1	    三国时，孙权遣将周贺渡渤海使辽东与公孙渊通好。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
7	3	1	12	55	7.南皮	2	9	0	8	0	3933.71	3192.02	10|100|1|-1|100	4	0	15	0		1	equip.150101.0:1,material.200001:15	1		7	5	user.xp:200	99	7			207	5	user.xp:200	30	207	dress.111:1	402	5	user.xp:200	5	402	2	607	54	30	10	3	0	0	1	    三国时此地是袁绍的据点。204年袁谭逃到此地，与曹操间发生争战。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
8	3	1	12	51	8.清河	5	7	0	8	0	3752.9	3449.09	10|100|1|-1|101	4	0	5	0		1	equip.550101.0:1,equip.650101.0:1	1		8	5	user.xp:200	99	8			208	5	user.xp:200	30	208	dress.112:1	422	5	user.xp:200	5	422	2	608	55	30	10	3	4	6	1	    三国时期，甘陵郡和甘陵县均复名清河，仍属冀州。曹操与刘夫人在此地生下清河长公主，日后并许配给夏侯楙为妻。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
9	3	1	12	53	9.蓟城	5	7	1	8	1	3969.75	3683.76	10|100|1|-1|102	4	0	4	0	铁匠铺	0		1		9	5	user.xp:200	99	9		equip.110101.0:1,equip.210101.0:1,equip.310101.0:1,equip.410101.0:1,equip.510101.0:1,equip.610101.0:1	209	5	user.xp:200	30	209	dress.113:1	430	5	user.xp:200	5	430	2	609	55	30	10	3	0	0	1	    三国时刘虞的据点。刘虞采用怀柔政策，致力于此地与乌丸族间的和睦。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
10	3	1	12	52	10.代城	5	7	1	8	0	3730.11	3721.25	10|100|1|-1|103	4	0	24	0	搜索	1		1		10	5	user.xp:200	99	10			210	5	user.xp:200	30	210	dress.114:1	408	5	user.xp:200	5	408	2	610	56	30	10	3	2	0	1	    汉献帝建安二十三年（218年），魏国对三郡乌桓、鲜卑的一次征讨作战，以魏军胜利，三郡乌桓的势力被摧毁、鲜卑请服而告终，此战稳固曹魏的北方疆域。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
11	4	1	24	50	11.真定	2	6	0	8	0	3395.25	3447.02	13|1|-150|-1|220	4	0	7	0	高级招募	1	material.200001:30,user.htoken:1	1		11	5	user.xp:200	99	11			211	5	user.xp:200	30	211	dress.115:1	424	5	user.xp:200	5	424	2	611	57	30	10	3	0	0	1	    真定，即常山真定，“三关雄镇”之一，常胜将军赵云便是诞生于此。正定历史悠久，名胜古迹众多，文化积淀深厚。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
12	4	1	24	49	12.界桥	5	8	0	8	0	3100.33	3487.25	13|1|-150|-1|220	4	0	0	0		1		1		12	5	user.xp:200	99	12			212	5	user.xp:200	30	212	dress.116:1	432	5	user.xp:200	5	432	2	612	57	30	20	4	3	0	1	    东汉末年军阀混战时期，袁绍与公孙瓒为争夺冀州而开打的战争，为各地诸侯争夺地盘明显化的第一次战争。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
13	4	1	24	48	13.晋阳	9	1	1	8	0	2777.86	3652.07	13|1|-150|-1|220	4	0	114	0		1	equip.250201.0:1,equip.450201.0:1,equip.650201.0:1	1		13	5	user.xp:200	99	13			213	5	user.xp:200	30	213	dress.121:1	403	5	user.xp:200	5	403	2	613	58	30	20	4	0	0	1	    黄巾之乱后，这里被黑山贼张燕占据。205年，张燕归降于曹操。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
14	4	1	24	47	14.雁门关	1	2	0	8	1	2554.82	3756.62	13|1|-150|-1|220	3	0	101	4		1		1		14	5	user.xp:200	99	14		card.10008:1	214	5	user.xp:200	30	214	dress.122:1	404	5	user.xp:200	5	404	2	614	59	30	20	4	5	1	1	    雁门关，是长城上的重要关隘，以“险”著称，被誉为“中华第一关”，有“天下九塞，雁门为首”之说。与宁武关、偏关合称为“外三关”。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
