模板ID	模型ID	英雄名称	职业类型(1-物理，2-法系)	阵营(1-魏，2-蜀，3-吴，4-群雄，5-主角)	定位(1-物攻，2-法攻，3-防御，4-辅助)	基础品质	基础星级	兵种类型(1-步兵，2-弓兵，3-骑兵)	射程类型(1-近战，2-远程)	体型大小	攻击发起距离	基础移动速度	基础攻击速度	基础怒气恢复速度	突破类型	天赋组ID	技能组ID	技能效果名称1	技能效果描述1	技能效果名称2	技能效果描述2
id	modelId	heroName	professionType	camp	ability	quality	starBase	legionType	attackType	bodySize	attackRange	baseSpeed	attackSpeed	mpSpeed	rebornType	innateGroup	skillGroupId	skillEffectName1	skillEffectDesc1	skillEffectName2	skillEffectDesc2
Int	Int	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Ints	String	String	String	String
1001	1001	text_heroNameId_1001	1	2	1	4	1	1	1	45	40	72	1450	200	1	1001	100100	0	0	0	0
1002	1002	text_heroNameId_1002	2	4	2	4	1	2	2	45	300	72	1500	200	1	1002	100200	0	0	0	0
2001	2001	text_heroNameId_2001	1	4	1	4	2	3	1	45	40	129	1333	200	2	2001	200100	0	0	0	0
2002	2002	text_heroNameId_2002	2	4	2	4	2	2	2	45	300	72	1000	200	2	2002	200200	0	0	0	0
3001	3001	text_heroNameId_3001	1	2	1	4	3	1	1	45	40	72	1600	200	3	3001	300100	0	0	0	0
3002	3002	text_heroNameId_3002	2	4	2	4	3	2	2	45	300	72	916	200	3	3002	300200	0	0	0	0
4001	5001	text_heroNameId_5001	1	1	1	5	4	1	1	45	40	72	1333	200	4	5001	500100	text_skill_5001_effectName1	text_skill_5001_effectDesc1	text_skill_5001_effectName2	text_skill_5001_effectDesc2
4002	5002	text_heroNameId_5002	2	3	3	5	4	2	2	45	300	72	1083	200	4	5002	500200	text_skill_5002_effectName1	text_skill_5002_effectDesc1	text_skill_5002_effectName2	text_skill_5002_effectDesc2
4003	5003	text_heroNameId_5003	1	1	3	5	4	1	1	45	40	72	1500	200	4	5003	500300	text_skill_5003_effectName1	text_skill_5003_effectDesc1	text_skill_5003_effectName2	text_skill_5003_effectDesc2
4004	5004	text_heroNameId_5004	2	3	1	5	4	2	2	45	300	72	1250	200	4	5004	500400	text_skill_5004_effectName1	text_skill_5004_effectDesc1	text_skill_5004_effectName2	text_skill_5004_effectDesc2
4005	5005	text_heroNameId_5005	1	3	1	5	4	1	1	45	40	72	1166	200	4	5005	500500	text_skill_5005_effectName1	text_skill_5005_effectDesc1	text_skill_5005_effectName2	text_skill_5005_effectDesc2
4006	5006	text_heroNameId_5006	2	4	2	5	4	2	2	45	300	72	1000	200	4	5006	500600	text_skill_5006_effectName1	text_skill_5006_effectDesc1	text_skill_5006_effectName2	text_skill_5006_effectDesc2
4007	5007	text_heroNameId_5007	1	4	3	5	4	3	1	45	40	129	1083	200	4	5007	500700	text_skill_5007_effectName1	text_skill_5007_effectDesc1	text_skill_5007_effectName2	text_skill_5007_effectDesc2
4008	5008	text_heroNameId_5008	2	4	2	5	4	2	2	45	300	72	633	200	4	5008	500800	text_skill_5008_effectName1	text_skill_5008_effectDesc1	text_skill_5008_effectName2	text_skill_5008_effectDesc2
