等级	绿	蓝	紫	橙
level	green	blue	purple	orange
Int	Award	Award	Award	Award
1	material.1:94	material.1:112	material.1:141	material.1:187
2	material.1:94	material.1:112	material.1:141	material.1:187
3	material.1:94	material.1:112	material.1:141	material.1:187
4	material.1:94	material.1:112	material.1:141	material.1:187
5	material.1:94	material.1:112	material.1:141	material.1:187
6	material.1:94	material.1:112	material.1:141	material.1:187
7	material.1:94	material.1:112	material.1:141	material.1:187
8	material.1:94	material.1:112	material.1:141	material.1:187
9	material.1:94	material.1:112	material.1:141	material.1:187
10	material.1:94	material.1:112	material.1:141	material.1:187
11	material.1:94	material.1:112	material.1:141	material.1:187
12	material.1:94	material.1:112	material.1:141	material.1:187
13	material.1:94	material.1:112	material.1:141	material.1:187
14	material.1:94	material.1:112	material.1:141	material.1:187
15	material.1:94	material.1:112	material.1:141	material.1:187
16	material.1:94	material.1:112	material.1:141	material.1:187
17	material.1:94	material.1:112	material.1:141	material.1:187
18	material.1:94	material.1:112	material.1:141	material.1:187
19	material.1:94	material.1:112	material.1:141	material.1:187
20	material.1:94	material.1:112	material.1:141	material.1:187
21	material.1:94	material.1:112	material.1:141	material.1:187
22	material.1:94	material.1:112	material.1:141	material.1:187
23	material.1:94	material.1:112	material.1:141	material.1:187
24	material.1:94	material.1:112	material.1:141	material.1:187
25	material.1:94	material.1:112	material.1:141	material.1:187
26	material.1:94	material.1:112	material.1:141	material.1:187
27	material.1:94	material.1:112	material.1:141	material.1:187
28	material.1:94	material.1:112	material.1:141	material.1:187
29	material.1:94	material.1:112	material.1:141	material.1:187
30	material.1:94	material.1:112	material.1:141	material.1:187
31	material.1:94	material.1:112	material.1:141	material.1:187
32	material.1:94	material.1:112	material.1:141	material.1:187
33	material.1:94	material.1:112	material.1:141	material.1:187
34	material.1:94	material.1:112	material.1:141	material.1:187
35	material.1:94	material.1:112	material.1:141	material.1:187
36	material.1:94	material.1:112	material.1:141	material.1:187
37	material.1:94	material.1:112	material.1:141	material.1:187
38	material.1:94	material.1:112	material.1:141	material.1:187
39	material.1:94	material.1:112	material.1:141	material.1:187
40	material.1:112	material.1:135	material.1:169	material.1:225
41	material.1:112	material.1:135	material.1:169	material.1:225
42	material.1:112	material.1:135	material.1:169	material.1:225
43	material.1:112	material.1:135	material.1:169	material.1:225
44	material.1:112	material.1:135	material.1:169	material.1:225
45	material.1:112	material.1:135	material.1:169	material.1:225
46	material.1:112	material.1:135	material.1:169	material.1:225
47	material.1:112	material.1:135	material.1:169	material.1:225
48	material.1:112	material.1:135	material.1:169	material.1:225
49	material.1:112	material.1:135	material.1:169	material.1:225
50	material.1:132	material.1:157	material.1:196	material.1:262
51	material.1:132	material.1:157	material.1:196	material.1:262
52	material.1:132	material.1:157	material.1:196	material.1:262
53	material.1:132	material.1:157	material.1:196	material.1:262
54	material.1:132	material.1:157	material.1:196	material.1:262
55	material.1:132	material.1:157	material.1:196	material.1:262
56	material.1:132	material.1:157	material.1:196	material.1:262
57	material.1:132	material.1:157	material.1:196	material.1:262
58	material.1:132	material.1:157	material.1:196	material.1:262
59	material.1:132	material.1:157	material.1:196	material.1:262
60	material.1:150	material.1:180	material.1:225	material.1:300
61	material.1:150	material.1:180	material.1:225	material.1:300
62	material.1:150	material.1:180	material.1:225	material.1:300
63	material.1:150	material.1:180	material.1:225	material.1:300
64	material.1:150	material.1:180	material.1:225	material.1:300
65	material.1:150	material.1:180	material.1:225	material.1:300
66	material.1:150	material.1:180	material.1:225	material.1:300
67	material.1:150	material.1:180	material.1:225	material.1:300
68	material.1:150	material.1:180	material.1:225	material.1:300
69	material.1:150	material.1:180	material.1:225	material.1:300
70	material.1:169	material.1:202	material.1:253	material.1:337
71	material.1:169	material.1:202	material.1:253	material.1:337
72	material.1:169	material.1:202	material.1:253	material.1:337
73	material.1:169	material.1:202	material.1:253	material.1:337
74	material.1:169	material.1:202	material.1:253	material.1:337
75	material.1:169	material.1:202	material.1:253	material.1:337
76	material.1:169	material.1:202	material.1:253	material.1:337
77	material.1:169	material.1:202	material.1:253	material.1:337
78	material.1:169	material.1:202	material.1:253	material.1:337
79	material.1:169	material.1:202	material.1:253	material.1:337
80	material.1:187	material.1:225	material.1:282	material.1:375
81	material.1:187	material.1:225	material.1:282	material.1:375
82	material.1:187	material.1:225	material.1:282	material.1:375
83	material.1:187	material.1:225	material.1:282	material.1:375
84	material.1:187	material.1:225	material.1:282	material.1:375
85	material.1:187	material.1:225	material.1:282	material.1:375
86	material.1:187	material.1:225	material.1:282	material.1:375
87	material.1:187	material.1:225	material.1:282	material.1:375
88	material.1:187	material.1:225	material.1:282	material.1:375
89	material.1:187	material.1:225	material.1:282	material.1:375
90	material.1:207	material.1:247	material.1:309	material.1:412
91	material.1:207	material.1:247	material.1:309	material.1:412
92	material.1:207	material.1:247	material.1:309	material.1:412
93	material.1:207	material.1:247	material.1:309	material.1:412
94	material.1:207	material.1:247	material.1:309	material.1:412
95	material.1:207	material.1:247	material.1:309	material.1:412
96	material.1:207	material.1:247	material.1:309	material.1:412
97	material.1:207	material.1:247	material.1:309	material.1:412
98	material.1:207	material.1:247	material.1:309	material.1:412
99	material.1:207	material.1:247	material.1:309	material.1:412
100	material.1:225	material.1:270	material.1:337	material.1:450
