变量名	变量值	名称
key	value	name
String	Strings	Ignore
reliveConsume	200	快速复活消耗
reliveConsumeCash	200	快速复活消耗元宝
callKeepTime	300	集结令有效时间(单位秒)
callNeedPosition	3	发布召集令需要的官职(对应官阶id)
callConsumeCash	200|400|600|800|1000	发布集结令消耗元宝（支持次数递增）
callNumLimit	3	集结令同时存在数量限制
callScoreAward	250	发布集结令获得额外的个人荣誉
reliveTime	30	自动复活时间
pathTime	4	两座城池之间的移动时间
countTime	1200	统计阵营占领城池数的时间（【争分夺秒】任务用）
minimumGlory	20	保底荣誉数量(个人积分)
cityScoreTime	60	阵营积分变化需要城池占领时间(单位秒)
runMapDiffTime	5	变更路线间隔时间
battleDiffTime	10	战斗间隔时间
baseGoods	300	初始物资数量
battleDiffTimeCash	100	战斗冷却跳过消耗元宝
guardDefaultLevel	50	守卫默认等级
chatLogCountMax	20	聊天记录条数
openDays	2|4|6	服战开启的星期几
openTime	20:30|21:15	服战活动时间段
readyTime	900	服战准备时间（单位：秒）
serverOpenDayLimit	7	服务器开服天数限制
