城池ID	城池组ID(1-蓝；2-绿；3-红)	城池名称	城池类型	是否翻转	城市坐标X	城市坐标Y	路点X轴偏移	路点Y轴偏移	背景块	相邻城池	守卫数量	守卫战力修正	城池积分	城池属性效果	城池属性值
id	group	name	type	turn	posX	posY	offsetX	offsetY	bcakId	adjoin	armyNum	armyFightforce	cityScore	atts	value
Int	Int	String	Int	Int	Int	Int	Int	Int	Int	Ints	Int	Int	Int	Ints	Ints
1	1	[主城].襄平	3	0	2209	2312	-46	-50	5	2|3|4	0	0	0	0	0
2	1	2.渔阳	1	0	1737	2413	-26	-34	4	1|5	15	0.2	15	11|12	30|30
3	1	3.北平	1	0	1913	2144	-26	-34	4	1|6|7	15	0.2	15	11|12	30|30
4	1	4.涿郡	1	0	2587	2337	-26	-34	6	1|7|8	15	0.2	15	11|12	30|30
5	1	5.易京	1	0	1335	2249	-26	-34	3	2|6|9|10	13	0.15	15	11|12	20|20
6	1	6.渤海	1	0	1664	2039	-26	-34	11	3|5|10|11	13	0.15	15	11|12	20|20
7	1	7.南皮	1	0	2366	2081	-26	-34	5	3|4|12	13	0.15	15	11|12	20|20
8	1	8.清河	1	0	2995	2239	-26	-34	6	4|13|14	13	0.15	15	11|12	20|20
9	1	9.蓟城	1	0	969	2168	-26	-34	2	5|15|16	12	0.1	10	11|12	15|15
10	1	10.代城	1	0	1414	1969	-26	-34	10	5|6|17|18	12	0.1	10	11|12	15|15
11	1	11.真定	1	0	1876	1936	-26	-34	11	6|12|18	12	0.1	10	11|12	15|15
12	1	12.界桥	1	0	2199	1844	-26	-34	12	7|11|20	12	0.1	10	11|12	15|15
13	1	13.晋阳	1	0	2755	2060	-26	-34	6	8|20|21	12	0.1	10	11|12	15|15
14	1	14.太原	1	0	3270	2053	-26	-34	14	8|21	12	0.1	10	11|12	15|15
15	1	15.平原	1	0	730	1925	-26	-34	9	9|16|46	10	0.06	10	11|12	10|10
16	1	16.邺城	1	0	1079	1899	-26	-34	10	9|15|17|46	10	0.06	10	11|12	10|10
17	1	17.壶关	1	0	1236	1752	-26	-34	10	10|16|22	10	0.06	10	11|12	10|10
18	1	[关隘].雁门关	2	0	1681	1765	-26	-50	11	10|11|19|23|24	10	0.2	30	11|12	30|30
19	1	19.上党	1	0	2080	1662	-26	-34	12	18|74	10	0.06	10	11|12	10|10
20	1	20.弘农	1	0	2584	1776	-26	-34	13	12|13|25	10	0.06	10	11|12	10|10
21	1	21.泾阳	1	0	3053	1868	-26	-34	13	13|14|25	10	0.06	10	11|12	10|10
