A到B城	路径坐标X	路径坐标Y	路线坐标X	路线坐标Y
id	posXs	posYs	wayPosXs	wayPosYs
string	Ints	Ints	Ints	Ints
1-2	2100	2500	2168|2171|2168|2160|2145|2123|2100|2071|2041|2008|1974|1945|1914|1883|1848|1819|1791|1768|1739	2294|2318|2343|2366|2385|2404|2418|2426|2433|2435|2435|2434|2431|2428|2423|2418|2411|2403|2389
1-3	2100|2030	2100|2040	2125|2116|2114|2104|2088|2068|2044|2016|1983|1953|1918	2239|2215|2185|2159|2139|2121|2104|2096|2098|2106|2111
1-4	2400	2420	2188|2214|2240|2269|2296|2324|2353|2383|2414|2449|2480|2508|2533	2288|2304|2319|2335|2348|2358|2368|2371|2371|2365|2351|2338|2321
2-5	1537	2320	1679|1654|1634|1604|1575|1545|1513|1480|1455|1430|1409|1389|1366|1343	2380|2360|2343|2331|2323|2318|2316|2306|2293|2278|2264|2249|2235|2221
3-6	1788	2091	1855|1828|1805|1779|1754|1729|1704|1679	2110|2105|2095|2080|2065|2050|2034|2018
3-7	2230	1850	1920|1944|1966|1991|2014|2033|2054|2079|2106|2135|2164|2194|2225|2258|2290|2315	2119|2121|2115|2105|2085|2063|2043|2028|2015|2005|2004|2004|2006|2013|2025|2034
4-7	2467	2209	2531|2513|2496|2479|2465|2454|2440|2428|2411|2390|2366	2278|2254|2233|2205|2175|2146|2120|2099|2078|2061|2051
4-8	2837	2327	2589|2611|2636|2661|2688|2708|2735|2765|2793|2820|2845|2870|2894|2915|2938|2954	2308|2315|2316|2316|2313|2304|2301|2306|2306|2298|2285|2274|2261|2246|2231|2215
5-6	1500	2049	1340|1366|1390|1413|1429|1445|1461|1479|1496|1518|1539|1564|1584|1606	2208|2203|2196|2185|2168|2149|2129|2110|2091|2076|2065|2053|2040|2024
5-9	1135	2160	1286|1264|1238|1215|1188|1160|1131|1104|1079|1055|1033|1009|985|966	2221|2225|2223|2209|2200|2199|2201|2203|2201|2195|2184|2170|2156|2143
5-10	1374	2109	1335|1351|1364|1370|1373|1371|1369|1368|1368|1371|1375|1380	2201|2186|2169|2145|2119|2096|2070|2043|2020|1994|1970|1950
6-10	1544	1920	1616|1594|1569|1546|1521|1498|1469|1436|1409	1989|1981|1973|1963|1949|1933|1921|1918|1921
6-11	1744	1909	1666|1689|1716|1735|1754|1775|1799|1825	1998|1990|1975|1959|1943|1925|1911|1904
7-12	2282	1962	2308|2289|2275|2264|2254|2246|2240|2236|2225|2206	2031|2010|1991|1968|1945|1921|1896|1873|1841|1821
8-13	2950	2120	2953|2929|2909|2885|2859|2830|2804|2776|2754	2181|2164|2143|2126|2111|2098|2084|2065|2044
8-14	2960	2120	2996|3016|3038|3060|3084|3113|3140|3166|3191|3213|3233|3244	2190|2176|2158|2139|2128|2121|2119|2114|2101|2086|2065|2040
9-15	849	2046	918|901|891|875|855|835|808|784|766|750|729	2110|2086|2064|2046|2025|2010|1995|1978|1959|1934|1906
9-16	1069	2078	980|1009|1031|1046|1056|1066|1073|1075|1076|1076|1076|1073|1068	2135|2130|2119|2101|2081|2058|2034|2014|1989|1963|1938|1908|1884
10-17	1320	1800	1363|1344|1334|1326|1321|1311|1295|1279|1263|1240	1906|1889|1869|1845|1823|1801|1781|1765|1749|1731
10-18	1500	1867	1411|1438|1460|1478|1500|1518|1530|1553|1575|1594|1603|1598|1599|1619	1923|1915|1905|1896|1884|1871|1853|1838|1826|1811|1790|1770|1745|1726
11-12	2176	1936	1879|1906|1931|1955|1981|2013|2041|2070|2099|2124|2145|2160|2169	1909|1919|1924|1925|1925|1925|1924|1918|1906|1894|1879|1859|1838
11-18	1725	1846	1819|1791|1766|1744|1723|1706|1691|1678|1666	1888|1883|1871|1855|1838|1819|1796|1771|1751
12-20	2400	1550	2198|2223|2248|2266|2286|2305|2324|2345|2374|2401|2431|2460|2486|2516	1804|1794|1781|1766|1750|1734|1719|1709|1703|1699|1703|1709|1718|1729
13-20	2665|2665	1980|1860	2696|2683|2676|2676|2674|2669|2660|2645|2630|2615|2598|2580	2015|1994|1970|1941|1913|1886|1860|1840|1821|1801|1780|1756
13-21	3000	1960	2758|2786|2809|2834|2861|2888|2918|2944|2970|2996|3016|3029|3031|3030	2030|2024|2014|2001|1990|1984|1980|1971|1959|1943|1926|1903|1875|1854
14-21	3200	1960	3214|3198|3184|3164|3141|3128|3114|3103|3088|3063	2000|1979|1960|1946|1939|1924|1903|1880|1858|1839
15-16	910	1675	735|761|779|799|818|843|871|904|931|958|981|1004|1023	1886|1875|1860|1846|1833|1820|1816|1816|1818|1821|1828|1838|1845
15-46	680	1775	706|709|713|718|726|739|753|760|760|768|786	1859|1830|1808|1788|1768|1749|1731|1706|1683|1655|1638
16-17	1127	1825	1083|1110|1134|1153|1168|1181|1193	1853|1846|1833|1814|1795|1771|1746
16-46	959|966	1789|1599	1028|1008|995|984|975|968|959|950|936|915|889|849	1851|1840|1821|1798|1774|1746|1723|1693|1671|1651|1638|1626
17-22	1300	1570	1236|1240|1238|1234|1233|1228|1213|1186	1685|1660|1634|1606|1575|1546|1523|1500
18-19	1900	1500	1675|1691|1714|1741|1766|1793|1818|1840|1866|1895|1926|1955|1988|2019	1703|1683|1669|1665|1663|1664|1660|1649|1640|1634|1630|1629|1630|1629
18-23	1791	1600	1675|1691|1698|1694|1684|1663|1640|1616|1590|1560	1703|1683|1655|1631|1611|1593|1580|1566|1554|1543
18-24	1750	1670	1675|1691|1714|1735|1758|1771|1781|1788|1793|1794	1703|1683|1669|1660|1645|1628|1603|1574|1549|1524
19-74	2280|2350	1550|1350	2081|2110|2135|2155|2181|2200|2218|2234|2249|2261|2274|2290|2308|2328|2355|2380|2408|2433	1629|1626|1624|1616|1605|1594|1580|1565|1548|1530|1511|1491|1475|1465|1459|1461|1466|1474
20-25	2646	1620	2590|2619|2640|2659|2679|2704|2729|2760|2783|2796|2819|2848	1731|1721|1710|1696|1679|1660|1648|1640|1628|1604|1589|1581
21-25	2840	1710	3005|2983|2964|2946|2926|2903|2889|2883|2881|2880	1820|1804|1789|1768|1746|1726|1705|1678|1646|1618
22-46	1020	1600	1140|1121|1098|1069|1043|1008|974|938|903|873|841	1520|1543|1558|1571|1583|1590|1591|1588|1584|1584|1596
23-47	1470|1607	1557|1307	1513|1508|1508|1510|1506|1499|1486|1465|1441|1415|1389|1363	1519|1494|1464|1438|1411|1385|1363|1346|1334|1324|1315|1309
24-48	1540|2210	1380|1250	1779|1765|1758|1758|1769|1789|1811|1840|1865|1876|1869|1850|1823|1791|1759|1726|1693|1665|1639|1611|1583|1555	1474|1453|1431|1408|1384|1364|1349|1338|1325|1308|1288|1278|1271|1265|1260|1256|1253|1254|1254|1250|1243|1230
