等级	战斗力	显示战力
level	fightPower	showPower
Int	Int	Int
1	3404	5106
2	3580	5370
3	5423	8134
4	5626	8439
5	6381	9571
6	6604	9906
7	9482	14223
8	9869	14803
9	10943	16414
10	11199	16798
11	12407	18610
12	12693	19039
13	13426	20139
14	14087	21130
15	19715	29572
16	22305	33457
17	29611	44416
18	32496	48744
19	36976	55464
20	41695	62542
21	46029	69043
22	51465	77197
23	52712	79068
24	57930	86895
25	80806	121209
26	89553	134329
27	108414	162621
28	123161	184741
29	143472	215208
30	153421	230131
31	169994	254991
32	188330	282495
33	212598	318897
34	234898	352347
35	258997	388495
36	284895	427342
37	299617	449425
38	334690	502035
39	358110	537165
40	406475	609712
41	450022	675033
42	479309	718963
43	510783	766174
44	546979	820468
45	599204	898806
46	645723	968584
47	697055	1045582
48	753200	1129800
49	829520	1244280
50	896533	1344799
51	968449	1452673
52	1045270	1567905
53	1147865	1721797
54	1236099	1854148
55	1321755	1982632
56	1441254	2161881
57	1586774	2380161
58	1703734	2555601
59	1818337	2727505
60	1930583	2895874
61	2076910	3115365
62	2293419	3440128
63	2398076	3597114
64	2645811	3968716
65	2744982	4117473
66	2986623	4479934
67	3148312	4722468
68	3443411	5165116
69	3701212	5551818
70	3836135	5754202
71	4118027	6177040
72	4264997	6397495
73	4570982	6856473
74	4729998	7094997
75	5060076	7590114
76	5406216	8109324
77	5585309	8377963
78	5955542	8933313
79	6341836	9512754
80	6541006	9811509
81	6951393	10427089
82	7377842	11066763
83	7597089	11395633
84	8047631	12071446
85	8278924	12418386
86	8753558	13130337
87	9512381	14268571
88	9881242	14821863
89	10597861	15896791
90	10945620	16418430
91	11620035	17430052
92	12266314	18399471
93	12578903	18868354
94	13061440	19592160
95	13844262	20766393
96	14241308	21361962
97	15046670	22570005
98	15454986	23182479
99	16282888	24424332
100	17983770	26975655
