城池ID	关卡名称	关卡描述	是否主关卡	所属区域	关卡坐标X	关卡坐标Y	战斗背景
id	name	desc	isMain	belongToArea	posX	posY	battlebg
Int	String	String	Int	Int	Int	Int	Int
1	text_customName_1	text_customDesc_1	0	1	565.00	256.00	1
2	text_customName_2	text_customDesc_2	0	1	491.00	227.00	1
3	text_customName_3	text_customDesc_3	1	1	406.00	249.00	1
4	text_customName_4	text_customDesc_4	0	1	317.00	224.00	1
5	text_customName_5	text_customDesc_5	0	1	259.00	265.00	1
6	text_customName_6	text_customDesc_6	1	1	304.00	344.00	1
7	text_customName_7	text_customDesc_7	0	1	376.00	356.00	1
8	text_customName_8	text_customDesc_8	0	1	385.00	427.00	1
9	text_customName_9	text_customDesc_9	1	1	355.00	520.00	1
10	text_customName_10	text_customDesc_10	0	1	464.50	527.50	1
11	text_customName_11	text_customDesc_11	0	1	555.50	526.50	1
12	text_customName_12	text_customDesc_12	1	1	681.50	542.50	1
13	text_customName_13	text_customDesc_13	0	1	801.50	527.50	1
14	text_customName_14	text_customDesc_14	0	1	861.50	486.50	1
15	text_customName_15	text_customDesc_15	1	1	846.50	439.50	1
16	text_customName_16	text_customDesc_16	0	1	788.50	350.50	1
17	text_customName_17	text_customDesc_17	0	1	854.50	322.50	1
18	text_customName_18	text_customDesc_18	1	1	952.50	322.50	1
19	text_customName_19	text_customDesc_end	0	2	1135.50	172.50	2
20	text_customName_20	text_customDesc_end	0	2	1215.50	190.50	2
21	text_customName_21	text_customDesc_end	1	2	1310.50	245.50	2
22	text_customName_22	text_customDesc_end	0	2	1337.50	310.50	2
23	text_customName_23	text_customDesc_end	0	2	1349.50	377.50	2
24	text_customName_24	text_customDesc_end	1	2	1368.50	469.50	2
25	text_customName_25	text_customDesc_end	0	2	1470.50	443.50	2
26	text_customName_26	text_customDesc_end	0	2	1587.50	415.50	2
27	text_customName_27	text_customDesc_end	1	2	1569.50	329.50	2
28	text_customName_28	text_customDesc_end	0	2	1559.50	231.50	2
29	text_customName_29	text_customDesc_end	0	2	1553.50	162.50	2
30	text_customName_30	text_customDesc_end	1	2	1647.50	131.50	2
31	text_customName_31	text_customDesc_end	0	2	1745.50	127.50	2
32	text_customName_32	text_customDesc_end	0	2	1771.50	194.50	2
33	text_customName_33	text_customDesc_end	1	2	1845.50	256.50	2
34	text_customName_34	text_customDesc_end	0	3	1925.50	445.50	3
35	text_customName_35	text_customDesc_end	0	3	1928.50	514.50	3
36	text_customName_36	text_customDesc_end	1	3	1981.50	581.50	3
37	text_customName_37	text_customDesc_end	0	3	2045.50	581.50	3
38	text_customName_38	text_customDesc_end	0	3	2120.50	583.50	3
39	text_customName_39	text_customDesc_end	1	3	2194.50	607.50	3
40	text_customName_40	text_customDesc_end	0	3	2258.50	591.50	3
41	text_customName_41	text_customDesc_end	0	3	2313.50	578.50	3
42	text_customName_42	text_customDesc_end	1	3	2385.50	580.50	3
43	text_customName_43	text_customDesc_end	0	3	2443.50	522.50	3
44	text_customName_44	text_customDesc_end	0	3	2378.50	516.50	3
45	text_customName_45	text_customDesc_end	1	3	2330.50	487.50	3
46	text_customName_46	text_customDesc_end	0	4	2419.50	324.50	4
47	text_customName_47	text_customDesc_end	0	4	2370.50	279.50	4
48	text_customName_48	text_customDesc_end	1	4	2293.50	275.50	4
49	text_customName_49	text_customDesc_end	0	4	2210.50	280.50	4
50	text_customName_50	text_customDesc_end	0	4	2147.50	247.50	4
51	text_customName_51	text_customDesc_end	1	4	2103.50	198.50	4
52	text_customName_52	text_customDesc_end	0	4	2195.50	154.50	4
53	text_customName_53	text_customDesc_end	0	4	2273.50	170.50	4
54	text_customName_54	text_customDesc_end	1	4	2351.50	190.50	4
55	text_customName_55	text_customDesc_end	0	4	2418.50	123.50	4
56	text_customName_56	text_customDesc_end	0	4	2491.50	136.50	4
57	text_customName_57	text_customDesc_end	1	4	2570.50	192.50	4
58	text_customName_58	text_customDesc_end	0	4	2650.50	172.50	4
59	text_customName_59	text_customDesc_end	0	4	2706.50	195.50	4
60	text_customName_60	text_customDesc_end	1	4	2729.50	272.50	4
61	text_customName_61	text_customDesc_end	0	5	2827.50	430.50	3
62	text_customName_62	text_customDesc_end	0	5	2789.50	479.50	3
63	text_customName_63	text_customDesc_end	1	5	2791.50	565.50	3
64	text_customName_64	text_customDesc_end	0	5	2842.50	588.50	3
65	text_customName_65	text_customDesc_end	0	5	2904.50	615.50	3
66	text_customName_66	text_customDesc_end	1	5	2990.50	642.50	3
67	text_customName_67	text_customDesc_end	0	5	3058.50	633.50	3
68	text_customName_68	text_customDesc_end	0	5	3127.50	627.50	3
69	text_customName_69	text_customDesc_end	1	5	3210.50	644.50	3
70	text_customName_70	text_customDesc_end	0	5	3295.50	627.50	3
71	text_customName_71	text_customDesc_end	0	5	3382.50	642.50	3
72	text_customName_72	text_customDesc_end	1	5	3399.50	595.50	3
73	text_customName_73	text_customDesc_end	0	6	3343.50	362.50	5
74	text_customName_74	text_customDesc_end	0	6	3405.50	326.50	5
75	text_customName_75	text_customDesc_end	1	6	3358.50	295.50	5
76	text_customName_76	text_customDesc_end	0	6	3273.50	268.50	5
77	text_customName_77	text_customDesc_end	0	6	3228.50	217.50	5
78	text_customName_78	text_customDesc_end	1	6	3182.50	195.50	5
79	text_customName_79	text_customDesc_end	0	6	3223.50	137.50	5
80	text_customName_80	text_customDesc_end	0	6	3295.50	144.50	5
81	text_customName_81	text_customDesc_end	1	6	3371.50	163.50	5
82	text_customName_82	text_customDesc_end	0	6	3456.50	126.50	5
83	text_customName_83	text_customDesc_end	0	6	3492.50	183.50	5
84	text_customName_84	text_customDesc_end	1	6	3534.50	249.50	5
85	text_customName_85	text_customDesc_end	0	6	3612.50	243.50	5
86	text_customName_86	text_customDesc_end	0	6	3681.50	219.50	5
87	text_customName_87	text_customDesc_end	1	6	3751.50	257.50	5
88	text_customName_88	text_customDesc_end	0	7	3845.50	414.50	5
89	text_customName_89	text_customDesc_end	0	7	3845.50	478.50	5
90	text_customName_90	text_customDesc_end	1	7	3810.50	548.50	5
91	text_customName_91	text_customDesc_end	0	7	3772.50	584.50	5
92	text_customName_92	text_customDesc_end	0	7	3796.50	643.50	5
93	text_customName_93	text_customDesc_end	1	7	3874.50	679.50	5
94	text_customName_94	text_customDesc_end	0	7	3941.50	641.50	5
95	text_customName_95	text_customDesc_end	0	7	4013.50	629.50	5
96	text_customName_96	text_customDesc_end	1	7	4064.50	604.50	5
97	text_customName_97	text_customDesc_end	0	7	4071.50	531.50	5
98	text_customName_98	text_customDesc_end	0	7	4088.50	484.50	5
99	text_customName_99	text_customDesc_end	1	7	4125.50	448.50	5
100	text_customName_100	text_customDesc_end	0	8	4180.50	326.50	6
101	text_customName_101	text_customDesc_end	0	8	4172.50	268.50	6
102	text_customName_102	text_customDesc_end	1	8	4152.50	218.50	6
103	text_customName_103	text_customDesc_end	0	8	4178.50	140.50	6
104	text_customName_104	text_customDesc_end	0	8	4246.50	138.50	6
105	text_customName_105	text_customDesc_end	1	8	4316.50	174.50	6
106	text_customName_106	text_customDesc_end	0	8	4335.50	228.50	6
107	text_customName_107	text_customDesc_end	0	8	4339.50	295.50	6
108	text_customName_108	text_customDesc_end	1	8	4353.50	378.50	6
109	text_customName_109	text_customDesc_end	0	8	4424.50	382.50	6
110	text_customName_110	text_customDesc_end	0	8	4488.50	340.50	6
111	text_customName_111	text_customDesc_end	1	8	4488.50	277.50	6
112	text_customName_112	text_customDesc_end	0	8	4492.50	187.50	6
113	text_customName_113	text_customDesc_end	0	8	4508.50	117.50	6
114	text_customName_114	text_customDesc_end	1	8	4597.50	112.50	6
115	text_customName_115	text_customDesc_end	0	8	4674.50	106.50	6
116	text_customName_116	text_customDesc_end	0	8	4672.50	169.50	6
117	text_customName_117	text_customDesc_end	1	8	4685.50	255.50	6
118	text_customName_118	text_customDesc_end	0	9	4886.50	453.50	6
119	text_customName_119	text_customDesc_end	0	9	4827.50	520.50	6
120	text_customName_120	text_customDesc_end	1	9	4860.50	610.50	6
121	text_customName_121	text_customDesc_end	0	9	4956.50	589.50	6
122	text_customName_122	text_customDesc_end	0	9	5037.50	619.50	6
123	text_customName_123	text_customDesc_end	1	9	5116.50	575.50	6
124	text_customName_124	text_customDesc_end	0	9	5201.50	547.50	6
125	text_customName_125	text_customDesc_end	0	9	5201.50	480.50	6
126	text_customName_126	text_customDesc_end	1	9	5191.50	416.50	6
127	text_customName_127	text_customDesc_end	0	10	5200.50	224.50	6
128	text_customName_128	text_customDesc_end	0	10	5180.50	147.50	6
129	text_customName_129	text_customDesc_end	1	10	5255.50	119.50	6
130	text_customName_130	text_customDesc_end	0	10	5343.50	115.50	6
131	text_customName_131	text_customDesc_end	0	10	5438.50	139.50	6
132	text_customName_132	text_customDesc_end	1	10	5549.50	145.50	6
133	text_customName_133	text_customDesc_end	0	11	5759.50	229.50	1
134	text_customName_134	text_customDesc_end	0	11	5824.50	272.50	1
135	text_customName_135	text_customDesc_end	1	11	5813.50	377.50	1
136	text_customName_136	text_customDesc_end	0	11	6020.50	334.50	1
137	text_customName_137	text_customDesc_end	0	11	6097.50	317.50	1
138	text_customName_138	text_customDesc_end	1	11	6167.50	383.50	1
139	text_customName_139	text_customDesc_end	0	11	6169.50	459.50	1
140	text_customName_140	text_customDesc_end	0	11	6252.50	498.50	1
141	text_customName_141	text_customDesc_end	1	11	6363.50	524.50	1
142	text_customName_142	text_customDesc_end	0	11	6458.50	485.50	1
143	text_customName_143	text_customDesc_end	0	11	6407.50	422.50	1
144	text_customName_144	text_customDesc_end	1	11	6421.50	354.50	1
145	text_customName_145	text_customDesc_end	0	11	6383.50	284.50	1
146	text_customName_146	text_customDesc_end	0	11	6343.50	234.50	1
147	text_customName_147	text_customDesc_end	1	11	6408.50	199.50	1
148	text_customName_148	text_customDesc_end	0	11	6499.50	181.50	1
149	text_customName_149	text_customDesc_end	0	11	6563.50	228.50	1
150	text_customName_150	text_customDesc_end	1	11	6570.50	321.50	1
