等级	材料奖励1	材料奖励5	金币堆奖励	随机宝箱奖励	金币堆意外掉落ID	超级宝箱极品奖励
level	material1	material2	gold	randombox	goldAdditionalLootId	superAward
Int	Award	Award	Award	Award	Int	Award
1	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
2	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
3	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
4	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
5	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
6	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
7	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
8	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
9	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
10	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
11	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
12	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
13	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
14	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
15	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
16	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
17	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
18	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
19	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
20	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
21	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
22	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
23	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
24	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
25	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
26	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
27	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
28	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
29	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
30	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
31	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
32	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
33	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
34	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
35	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
36	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
37	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
38	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
39	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
40	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
41	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
42	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
43	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
44	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
45	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
46	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
47	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
48	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
49	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
50	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
51	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
52	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
53	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
54	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
55	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
56	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
57	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
58	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
59	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
60	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
61	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
62	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
63	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
64	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
65	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
66	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
67	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
68	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
69	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
70	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
71	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
72	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
73	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
74	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
75	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
76	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
77	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
78	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
79	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
80	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
81	material.1:10	group.3002.0:1	user.gold:12000	group.3001.0:1	1151	material.101106:1
