索引ID	掉落	基础掉率（亿分比）	掉落开启限制	掉落开启参数	掉落关闭限制	掉落关闭参数
id	award	prob	openType	openValue	closeType	closeValue
Int	Award	Int	String	Strings	String	Strings
1	material.1:1	20044543	custom	1|1	custom	1|2
2	material.1:1	20089284	custom	1|2	custom	1|3
3	material.1:1	20134222	custom	1|3	custom	1|4
4	material.1:1	20179358	custom	1|4	custom	1|5
5	material.1:1	20224691	custom	1|5	custom	1|6
6	material.1:1	20270222	custom	1|6	custom	1|7
7	material.1:1	20315951	custom	1|7	custom	1|8
8	material.1:1	20361877	custom	1|8	custom	1|9
9	material.1:1	20408000	custom	1|9	custom	1|10
10	material.1:1	20454321	custom	1|10	custom	1|11
11	material.1:1	20500840	custom	1|11	custom	1|12
12	material.1:1	20547556	custom	1|12	custom	1|13
13	material.1:1	20594469	custom	1|13	custom	1|14
14	material.1:1	20641580	custom	1|14	custom	1|15
15	material.1:1	20688889	custom	1|15	custom	1|16
16	material.1:1	20736395	custom	1|16	custom	1|17
17	material.1:1	20784099	custom	1|17	custom	1|18
18	material.1:1	20832000	custom	1|18	custom	1|19
19	material.1:1	20880099	custom	1|19	custom	1|20
20	material.1:1	20928395	custom	1|20	custom	1|21
21	material.1:1	20976889	custom	1|21	custom	1|22
22	material.1:1	21025580	custom	1|22	custom	1|23
23	material.1:1	21074469	custom	1|23	custom	1|24
24	material.1:1	21123556	custom	1|24	custom	1|25
25	material.1:1	21172840	custom	1|25	custom	1|26
26	material.1:1	21222321	custom	1|26	custom	1|27
27	material.1:1	21272000	custom	1|27	custom	1|28
28	material.1:1	21321877	custom	1|28	custom	1|29
29	material.1:1	21371951	custom	1|29	custom	1|30
30	material.1:1	21422222	custom	1|30	custom	1|31
31	material.1:1	21472691	custom	1|31	custom	1|32
32	material.1:1	21523358	custom	1|32	custom	1|33
33	material.1:1	21574222	custom	1|33	custom	1|34
34	material.1:1	21625284	custom	1|34	custom	1|35
35	material.1:1	21676543	custom	1|35	custom	1|36
36	material.1:1	21728000	custom	1|36	custom	1|37
37	material.1:1	21779654	custom	1|37	custom	1|38
38	material.1:1	21831506	custom	1|38	custom	1|39
39	material.1:1	21883556	custom	1|39	custom	1|40
40	material.1:1	21935802	custom	1|40	custom	1|41
41	material.1:1	21988247	custom	1|41	custom	1|42
42	material.1:1	22040889	custom	1|42	custom	1|43
43	material.1:1	22093728	custom	1|43	custom	1|44
44	material.1:1	22146765	custom	1|44	custom	1|45
45	material.1:1	22200000	custom	1|45	custom	1|46
46	material.1:1	22253432	custom	1|46	custom	1|47
47	material.1:1	22307062	custom	1|47	custom	1|48
48	material.1:1	22360889	custom	1|48	custom	1|49
49	material.1:1	22414914	custom	1|49	custom	1|50
50	material.1:1	22469136	custom	1|50	custom	1|51
