关卡类型	关卡id	场景展示资源	经验展现	金币展现	英雄经验展现	挂机掉落经验	挂机掉落金币	挂机掉落英雄经验	挑战限制	限制参数	功能开启	功能开启界面是否显示	新手引导标示	是否可退出/暂停	是否展示BOSS信息	冒险送钻石	首通奖励	奖励展示	掉落解锁	战斗ID
type	id	url	expShow	goldShow	heroExpShow	singleExp	singleGold	singleHeroExp	challengeLimit	target	moduleOpenId	moduleOpenShow	guideIndex	enableBreak	bossShow	customWeal	first	firstShow	lootUnlock	formation
Int	Int2	String	Int	Int	Int	Int	Int	Int	String	Int	String	Int	Int	Int	Int	Int	Award	Award	Award	Int
1	1	npc_explore_1	8	34	3	60	240	25	level	1	0	0	0	0	0	6	user.xp:100,user.gold:1000,user.hero_exp:300			1000001
1	2	npc_explore_1	8	34	3	61	241	27	level	1	0	0	1	0	0	6	user.xp:100,user.gold:1000,user.hero_exp:300			1000002
1	3	npc_explore_1	8	34	4	62	242	29	level	1	0	0	3	0	0	6	card.3001:1,equip.10101.0:1,user.xp:100,user.gold:1000,user.hero_exp:300	equip.10101.0:1	equip.10101.0:1	1000003
1	4	npc_explore_1	9	34	4	63	243	31	level	1	0	0	2	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:400			1000004
1	5	npc_explore_1	9	34	4	64	244	33	level	1	0	0	0	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:500			1000005
1	6	npc_explore_1	9	34	5	64	244	35	level	1	0	0	0	1	0	6	wake_dragon.1:1,material.399999:1,dragon.1001:1,equip.20101.0:1,user.xp:100,user.gold:1000,user.hero_exp:700	equip.20101.0:1	equip.20101.0:1	1000006
1	7	npc_explore_1	9	35	5	65	245	38	level	1	0	0	4	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:700			1000007
1	8	npc_explore_1	9	35	5	66	246	40	level	1	0	0	0	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:800			1000008
1	9	npc_explore_1	9	35	6	67	247	42	level	1	0	0	0	1	0	6	material.940:20,equip.30101.0:1,user.xp:100,user.gold:1000,user.hero_exp:900	equip.30101.0:1	equip.30101.0:1	1000009
1	10	npc_explore_1	9	35	6	68	248	44	level	1	0	0	0	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:1000			1000010
1	11	npc_explore_1	9	35	6	69	249	46	level	1	0	0	0	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:1200			1000011
1	12	npc_explore_1	9	35	6	69	249	48	level	1	0	0	0	1	0	6	equip.40101.0:1,user.xp:100,user.gold:1000,user.hero_exp:1300	equip.40101.0:1	equip.40101.0:1	1000012
1	13	npc_explore_1	10	35	7	70	250	50	level	1	territorywar	0	16	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:1300			1000013
1	14	npc_explore_1	10	35	7	71	251	52	level	1	0	0	0	1	0	6	user.xp:100,user.gold:1000,user.hero_exp:1500			1000014
1	15	npc_explore_1	10	36	7	72	252	54	level	1	0	0	0	1	0	6	equip.50101.0:1,user.xp:100,user.gold:1000,user.hero_exp:1600	equip.50101.0:1	equip.50101.0:1	1000015
1	16	npc_explore_1	10	36	8	73	253	56	level	1	0	0	0	1	0	6	user.xp:100,user.gold:2000,user.hero_exp:1800			1000016
1	17	npc_explore_1	10	36	8	74	254	58	level	1	0	0	0	1	0	6	user.xp:100,user.gold:2000,user.hero_exp:2000			1000017
1	18	npc_explore_1	10	36	8	74	254	60	level	1	0	0	0	1	0	6	equip.60101.0:1,user.xp:200,user.gold:2000,user.hero_exp:2100	equip.60101.0:1	equip.60101.0:1	1000018
1	19	npc_explore_1	10	36	9	75	255	63	level	1	0	0	0	1	0	6	user.xp:200,user.gold:2000,user.hero_exp:2100			1000019
1	20	npc_explore_1	10	36	9	76	256	65	level	1	0	0	0	1	0	6	user.xp:200,user.gold:2000,user.hero_exp:2300			1000020
1	21	npc_explore_1	11	36	9	77	257	67	level	1	0	0	0	1	0	6	material.940:2,user.xp:200,user.gold:2000,user.hero_exp:2500	material.940:2		1000021
1	22	npc_explore_1	11	36	9	78	258	69	level	1	0	0	0	1	0	6	user.xp:200,user.gold:2000,user.hero_exp:2700			1000022
1	23	npc_explore_1	11	37	10	79	259	71	level	1	0	0	0	1	0	6	user.xp:200,user.gold:2000,user.hero_exp:2900			1000023
1	24	npc_explore_1	11	37	10	80	260	73	level	1	arena	0	0	1	0	6	material.940:2,user.atoken:10,user.xp:200,user.gold:2000,user.hero_exp:3100	material.940:2	material.940:1	1000024
1	25	npc_explore_1	11	37	10	81	261	76	level	1	0	0	11	1	0	6	user.xp:200,user.gold:2000,user.hero_exp:3100			1000025
1	26	npc_explore_1	11	37	11	82	262	78	level	1	0	0	0	1	0	6	user.xp:200,user.gold:2000,user.hero_exp:3300			1000026
