编号	操作	目标	描述	类型图标	奖励1	活跃度	前往
id	event	target	desc	icon	award	active	key
Int	String	Int	String	String	Award	Int	String
1	exploreSpeedUp	1	text_dailyTaskDesc_exploreSpeedUp	task_6.png	user.active:20	20	exploreMonster
2	friendGive	1	text_dailyTaskDesc_friendGive	task_25.png	user.active:20,user.bindcash:10	20	friend
3	shopBuy	3	text_dailyTaskDesc_shopBuy	task_24.png	user.active:10	10	shop:101
4	doWheel	1	text_dailyTaskDesc_doWheel	task_62.png	user.active:20	20	activity:lucky_rotate
5	exploreBoss	3	text_dailyTaskDesc_exploreBoss	task_1.png	user.active:10	10	exploreBoss
6	territorywar	1	text_dailyTaskDesc_territorywar	task_27.png	user.active:30,user.bindcash:10	30	territorywar
7	arena	3	text_dailyTaskDesc_arena	task_22.png	user.active:20	20	arena
8	tavern	3	text_dailyTaskDesc_tavern	task_23.png	user.active:20	20	tavern
9	tavernHigh	1	text_dailyTaskDesc_tavernHigh	task_5.png	user.active:30	30	tavern
10	tower	1	text_dailyTaskDesc_tower	task_15.png	user.active:40	40	tower
11	superBox	1	text_dailyTaskDesc_superBox	task_3.png	user.active:40	40	mine_digging
12	supremacy	1	text_dailyTaskDesc_supremacy	task_14.png	user.active:30	30	kingMe
13	legionFire	1	text_dailyTaskDesc_legionFire	task_2.png	user.active:40,user.bindcash:10	40	legionFire
14	teamTask	5	text_dailyTaskDesc_teamTask	task_19.png	user.active:50,user.bindcash:10	50	teamTask
15	exploreTask	2	text_dailyTaskDesc_exploreTask	task_20.png	user.active:30	30	exploreTask
16	goldFete	1	text_dailyTaskDesc_goldFete	task_10.png	user.active:10	10	altar1
17	gemFete	1	text_dailyTaskDesc_gemFete	task_60.png	user.active:10	10	altar4
18	foodFete	1	text_dailyTaskDesc_foodFete	task_61.png	user.active:10	10	altar2
19	destinyFete	1	text_dailyTaskDesc_destinyFete	task_59.png	user.active:10	10	altar3
20	build	1	text_dailyTaskDesc_build	task_7.png	user.active:30,user.bindcash:10	30	legionBuild
21	uncharted	3	text_dailyTaskDesc_uncharted	task_16.png	user.active:20	20	mine_trial
22	weekCard	1	text_dailyTaskDesc_weekCard	task_21.png	user.bindcash:150	0	weekCard
23	monthCard	1	text_dailyTaskDesc_monthCard	task_26.png	user.bindcash:400	0	monthCard
24	doubleCard	2	text_dailyTaskDesc_doubleCard	task_13.png	material.950:2,material.940:5,user.rotate_ncoin:1	0	weekCard
