变量名	变量值	说明
key	value	desc
String	Strings	String
legionNumLimit	3	军团互通数量限制（最多3个军团互通）
invadeLimit	2	入侵需求访问石碑限制
stoneTabletIncrease	5|10|20	石碑加成资源点限制
enduranceRecoverInterval	300	每点耐力基础回复间隔（单位：秒）
actionRecoverInterval	360	每点行动力基础回复间隔（单位：秒）
enduranceLimit	100	耐力上限
actionBaseAward	100	每周重置时赠与玩家的基础行动力
actionLimit	200	行动力上限
actionCost	2	每步消耗行动力
actionBuyAward	50	单次购买获取行动力点数
initialPos	26	回城位置
invadePos	606	入侵位置
jianmenguanPos	526	剑门关位置
jiayuguanPos	258	嘉峪关位置
hulaoguanPos	684	虎牢关位置
transmitTimes	3	每日传送次数
advancedBoxCost	100	高级秘匣开启消耗元宝
relicAccelerateTime	1	遗迹单次加速时长（单位：小时）
relicAccelerateCost	50	遗迹单次加速消耗元宝
pillageLose	3	单次掠夺损失产量
puppetFormation	0	无尽傀儡_战斗ID
puppetAddFactor	1.2	无尽傀儡_战斗力随波数增长系数：power（puppetAddfactor,round)
puppetMaxRound	10	无尽傀儡_最大波数
puppetMaxTime	120	无尽傀儡_最大时间（s）
enduranceCostLowest	20	PVP时耐力最低扣除值
combatLockTime	30	战斗锁定时长（单位：秒）
fogOpenRange	4	迷雾解锁范围（玩家）
watchTowerOpenRange	7	瞭望塔解锁范围
watchTowerSpecialOpen	717|773	瞭望塔需要解锁特定迷雾的格子ID|格子ID
openFogId	2256|2358	己方城池默认开启的迷雾ID范围[val1,val2]
eventRecordNum	100	事件最大记录条数
soldierHpParam	3	小兵血量参数（用于调节战斗中小兵的血量比例）
mapscale	1.12	地图放大参数，用于调整地图整体大小（包括格子）
bossActivityTime	18:45|21:00	领地BOSS活动时间段
bossAwardTime	21:15	领地BOSS活动发奖时间点
bossPos	245|372	领地BOSS活动刷新随机位置
bossScoreAdd	0.01	单个龙之印记对BOSS积分的加成系数
portalOpenLevel	1	传送门开启需求军团等级
transmitCost	50	单次传送消耗混钻
creatureChallengeLimit	5	怪物越级挑战限制
