索引ID	元素名称	缩放系数	资源类型	是否漂浮	路径	资源名	锚点偏移_x	锚点偏移_y	图片	按钮文字	归属提示	访问后文字提示	访问事件	界面展示类型	访问后是否消失	访问奖励	随机元素数量	功能描述	描述1	描述2	描述3
id	name	scale	urlType	isFloating	path	url	offset_x	offset_y	icon	btText	affiliationHint	message	event	showType	isCost	award	randomNum	fucDesc	desc1	desc2	desc3
Int	String	Int	Int	Int	String	String	Int	Int	String	String	String	String	Int	Int	Int	Award	Int	Strings	String	String	String
1	text_dfelementName_1	0.86	1	0	element_jianmushudong	element_jianmushudong	0.72	0.3	daily_task1.png	text_dfelementBtText_1	text_nil	text_dfelementMessage_1	1	3	0	0	0	text_nil	text_dfelementDesc1_1	text_dfelementDesc2_1	text_dfelementDesc3_1
2	text_dfelementName_2	0.86	1	0	element_jianmushenteng	element_jianmushenteng	0.72	0.3	daily_task2.png	text_nil	text_nil	text_dfelementMessage_1	2	5	0	0	0	text_dfelementFucDesc4	text_dfelementDesc1_2	text_dfelementDesc2_2	text_nil
3	text_dfelementName_3	0.8	1	0	element_shita	element_shita	0.6	0.13	daily_task3.png	text_dfelementBtText_2	text_dfelementAffiliationHint_1	text_dfelementMessage_2	4	2	0	material.310001:1	0	text_nil	text_dfelementDesc1_3	text_dfelementDesc2_3	text_dfelementDesc3_3
4	text_dfelementName_4	0.7	1	0	element_shenglongdiaoxiang	element_shenglongdiaoxiang	0.7	0.27	daily_task4.png	text_dfelementBtText_2	text_dfelementAffiliationHint_1	text_dfelementMessage_3	4	2	0	material.310002:1,material.310003:1	0	text_nil	text_dfelementDesc1_4	text_dfelementDesc2_4	text_dfelementDesc3_4
5	text_dfelementName_5	0.7	1	0	element_shuijing	element_shuijing	0.6	0.32	daily_task5.png	text_dfelementBtText_3	text_dfelementAffiliationHint_1	text_dfelementMessage_4	4	2	0	user.staying_power:50,user.action_point:50	0	text_nil	text_dfelementDesc1_5	text_dfelementDesc2_5	text_dfelementDesc3_5
6	text_dfelementName_6	0.8	1	0	element_shibei	element_shibei	0.7	0.12	daily_task6.png	text_dfelementBtText_4	text_dfelementAffiliationHint_2	text_dfelementMessage_5	5	4	0	0	0	text_dfelementFucDesc5_1|text_dfelementFucDesc5_2	text_dfelementDesc1_6	text_dfelementDesc2_6	text_dfelementDesc3_6
7	text_dfelementName_7	1	1	0	element_liaowangta	element_liaowangta	0.72	0.3	daily_task7.png	text_dfelementBtText_4	text_dfelementAffiliationHint_2	text_dfelementMessage_6	6	4	0	0	0	text_dfelementFucDesc6	text_dfelementDesc1_7	text_dfelementDesc2_7	text_dfelementDesc3_7
8	text_nil	1	1	0	element_shenmiyiji	element_shenmiyiji	0.68	0.28	daily_task8.png	text_nil	text_nil	text_nil	7	4	0	0	0	text_nil	text_nil	text_nil	text_nil
9	text_dfelementName_9	0.55	2	0	material	levelupstone	0.5	0.2	daily_task9.png	text_nil	text_nil	text_nil	3	0	1	material.1:10	0	text_nil	text_dfelementDesc1_9	text_nil	text_nil
10	text_dfelementName_10	0.6	2	0	material	awakestone	0.5	0.2	daily_task10.png	text_nil	text_nil	text_nil	3	0	1	material.41:10	0	text_nil	text_dfelementDesc1_10	text_nil	text_nil
11	text_dfelementName_11	0.55	2	0	user	smelt	0.5	0.2	daily_task14.png	text_nil	text_nil	text_nil	3	0	1	user.smelt:50	0	text_nil	text_dfelementDesc1_11	text_nil	text_nil
