索引ID	位置	对应地图格子ID
id	pos	relativeId
Int	Ints	Int
1	-2|38	23
2	-2|37	22
3	-2|36	21
4	-2|35	20
5	-2|34	19
6	-2|33	18
7	-1|37	34
8	-1|36	33
9	-1|35	32
10	-1|34	0
11	-1|33	0
12	-3|36	12
13	-3|35	11
14	-3|34	10
15	-3|33	9
16	-3|32	8
17	-2|32	17
18	-2|31	16
19	-2|29	0
20	-2|30	15
21	-1|30	31
22	-1|29	30
23	-1|28	0
24	-1|27	0
25	0|30	0
26	0|29	48
27	0|28	47
28	0|27	46
29	0|33	0
30	0|32	0
31	0|31	0
32	1|33	0
33	1|32	65
34	-1|32	0
35	1|31	64
36	1|30	63
37	1|29	62
38	1|28	61
39	1|27	60
40	1|26	59
41	1|25	0
42	1|24	0
43	2|32	80
44	2|31	79
45	2|29	77
46	2|28	0
47	2|30	78
48	2|27	0
49	2|26	0
50	2|25	0
51	3|31	104
52	3|30	103
53	3|29	102
54	3|28	101
55	3|27	0
56	3|26	0
57	4|30	133
58	4|29	132
59	4|28	131
60	4|27	130
61	4|26	129
62	4|25	128
63	4|24	127
64	4|23	126
65	4|22	125
66	5|29	157
67	5|28	156
68	5|27	155
69	5|26	154
70	5|25	153
71	5|24	152
72	5|23	151
73	5|22	150
74	5|21	149
75	5|20	148
76	5|19	147
77	5|18	146
78	5|17	145
79	5|16	144
80	4|16	119
81	4|17	120
82	4|18	121
83	4|19	122
84	4|20	123
85	4|21	124
86	3|22	100
87	3|21	99
88	3|20	98
89	3|19	97
90	2|22	76
91	2|21	75
92	2|20	74
93	2|19	0
94	1|22	58
95	1|21	57
96	1|20	56
97	1|19	0
98	3|18	96
99	3|17	95
100	3|16	94
101	3|15	93
102	3|14	92
103	3|13	91
104	3|12	0
105	4|15	118
106	4|14	117
107	4|13	116
108	4|12	115
109	4|11	0
110	5|15	143
111	5|14	142
112	5|13	141
113	5|12	140
114	5|11	139
115	5|10	0
116	6|13	168
117	6|12	167
118	6|11	166
119	6|10	165
120	6|9	0
121	8|10	201
122	7|10	185
123	7|12	187
124	7|11	186
125	7|9	184
126	7|8	0
127	7|7	0
128	8|9	200
129	8|8	0
130	9|10	216
131	9|9	215
132	9|8	0
133	9|7	0
134	10|10	0
135	10|9	236
136	10|8	0
137	10|7	0
138	10|6	0
139	-1|25	28
140	-1|26	29
141	0|26	45
142	0|25	44
143	0|24	0
144	-1|31	0
145	6|26	171
146	6|25	170
147	6|24	169
148	6|23	0
149	7|24	188
150	7|23	0
151	8|24	203
152	9|23	219
153	9|22	0
154	10|24	242
155	10|22	240
156	10|21	0
157	10|23	241
158	8|23	0
159	11|24	266
160	11|23	265
161	11|22	264
162	11|21	263
163	11|20	0
164	12|23	291
165	12|22	290
166	12|21	289
167	12|20	288
168	12|19	0
169	13|22	316
170	13|21	315
171	13|20	314
172	13|19	0
173	14|22	340
