索引ID	战斗ID	掉落ID	怪物名称	怪物朝向(-1-反相，1-不变)	是否公共怪	界面偏移
id	combatId	lootId	name	ort	isShare	uiOffset
Int	Int	Int	String	Int	Int	Ints
1	2002001	7101	text_dfMapCreatureName_4	1	1	0|0|0
2	2002002	7101	text_dfMapCreatureName_3	1	1	0|0|0
3	2002003	7101	text_dfMapCreatureName_2	1	1	0|0|0
4	2002004	7101	text_dfMapCreatureName_4	-1	0	0|0|0
5	2002005	7101	text_dfMapCreatureName_1	-1	0	0|0|0
6	2002006	7101	text_dfMapCreatureName_2	-1	0	0|0|0
7	2002007	7101	text_dfMapCreatureName_1	-1	0	0|0|0
8	2002008	7101	text_dfMapCreatureName_1	-1	0	0|0|0
9	2002009	7101	text_dfMapCreatureName_1	-1	0	0|0|0
10	2002010	7101	text_dfMapCreatureName_1	-1	0	0|0|0
11	2002011	7101	text_dfMapCreatureName_3	-1	0	0|0|0
12	2002012	7101	text_dfMapCreatureName_2	-1	0	0|0|0
13	2002013	7101	text_dfMapCreatureName_2	-1	0	0|0|0
14	2002014	7101	text_dfMapCreatureName_4	-1	0	0|0|0
15	2002015	7101	text_dfMapCreatureName_3	-1	0	0|0|0
16	2002016	7101	text_dfMapCreatureName_2	-1	0	0|0|0
17	2002017	7101	text_dfMapCreatureName_2	-1	0	0|0|0
18	2002018	7101	text_dfMapCreatureName_2	-1	0	0|0|0
19	2002019	7101	text_dfMapCreatureName_3	-1	0	0|0|0
20	2002020	7101	text_dfMapCreatureName_2	-1	0	0|0|0
21	2002021	7101	text_dfMapCreatureName_2	-1	0	0|0|0
22	2002022	7101	text_dfMapCreatureName_3	-1	0	0|0|0
23	2002023	7101	text_dfMapCreatureName_3	-1	0	0|0|0
24	2002024	7101	text_dfMapCreatureName_3	-1	0	0|0|0
25	2002025	7101	text_dfMapCreatureName_4	-1	0	0|0|0
26	2002026	7101	text_dfMapCreatureName_4	-1	0	0|0|0
27	2002027	7101	text_dfMapCreatureName_3	-1	0	0|0|0
