格子ID	一次性元素	固定元素	可能产生随机元素	特殊格子	位置
id	onceElement	immobilizationElement	isRandomElement	specialGrid	pos
Int	Strings	String	Int	String	Ints
1		element.1	1		-5|43
2			1		-5|44
3			1		-5|45
4			1		-4|43
5			1		-4|44
6			1		-4|45
7			1		-3|31
8			1		-3|32
9			1		-3|33
10			1		-3|34
11			1		-3|35
12			1		-3|36
13			1		-3|44
14			1		-3|45
15			1		-2|30
16			1		-2|31
17			1		-2|32
18			1		-2|33
19			1		-2|34
20			1		-2|35
21			1		-2|36
22			1		-2|37
23		element.15	1		-2|38
24	14|element.112	element.13	1		-2|39
25			1		-2|44
26			0		-2|45
27			1		-2|46
28		element.4	1		-1|25
29		element.15	1		-1|26
30			1		-1|29
31			1		-1|30
32			1		-1|35
33			1		-1|36
34			1		-1|37
35		element.15	1		-1|38
36		creature.4	1		-1|39
37			1		-1|40
38			1		-1|43
39			1		-1|44
40			1		-1|45
41			1		-1|46
42		element.15	1		0|21
43		element.17	1		0|22
44	13|element.111	element.13	1		0|25
45		creature.15	1		0|26
46			1		0|27
47			1		0|28
48			1		0|29
49			1		0|39
50			1		0|40
51			1		0|41
52			1		0|42
53			1		0|43
54			1		0|44
55			1		0|45
56		element.17	1		1|20
57		mine.2	1		1|21
58		element.15	1		1|22
59			1		1|26
60			1		1|27
61			1		1|28
62		creature.27	1		1|29
63			1		1|30
64			1		1|31
65		element.15	1		1|32
66			1		1|39
67			1		1|40
68			1		1|41
69			1		1|42
70			1		1|43
71			1		1|44
72		element.15	1		1|47
73		element.14	1		1|48
74		element.15	1		2|20
75		element.14	1		2|21
76			1		2|22
77			1		2|29
78		element.17	1		2|30
79		element.15	1		2|31
80		element.5	1		2|32
81		element.9	1		2|35
82		element.6	1		2|36
83			1		2|40
84			1		2|41
85			1		2|42
86			1		2|43
87			1		2|44
88	4|element.102	element.13	1		2|46
89		element.15	1		2|47
90		mine.1	1		2|48
91			1		3|13
92			1		3|14
93			1		3|15
94			1		3|16
95			1		3|17
96			1		3|18
97			1		3|19
98			1		3|20
99			1		3|21
100			1		3|22
101			1		3|28
102			1		3|29
103			1		3|30
104		element.17	1		3|31
105		element.15	1		3|34
106		element.15	1		3|35
107		element.14	1		3|36
108			1		3|40
109			1		3|41
110			1		3|43
111			1		3|44
112		creature.5	1		3|45
113		element.15	1		3|46
114		element.9	1		3|47
115			1		4|12
116			1		4|13
117			1		4|14
118			1		4|15
119			1		4|16
120			1		4|17
121			1		4|18
122			1		4|19
123			0		4|20
124			1		4|21
125			1		4|22
126			1		4|23
127			1		4|24
128			1		4|25
129			1		4|26
130			1		4|27
131			1		4|28
132			1		4|29
133			1		4|30
134			1		4|34
135			1		4|35
136		creature.6	1		4|40
137			1		4|43
138			1		4|44
139			1		5|11
140			1		5|12
141			1		5|13
142			1		5|14
143			1		5|15
144			1		5|16
145			1		5|17
146			1		5|18
147			1		5|19
148			1		5|20
149			1		5|21
150			1		5|22
151			1		5|23
152			1		5|24
153			1		5|25
154			1		5|26
155			1		5|27
156			1		5|28
157			1		5|29
158			1		5|33
159			1		5|34
160		element.15	1		5|38
161		element.15	1		5|39
162	8|element.106	element.13	1		5|40
163			1		5|43
164			1		5|44
165			1		6|10
166			1		6|11
167			1		6|12
168			1		6|13
169			1		6|24
170			1		6|25
171			1		6|26
172			1		6|33
173			1		6|34
174			1		6|35
175			1		6|36
176			1		6|37
177		element.9	1		6|38
178		element.15	1		6|39
179			1		6|43
180		creature.7	1		6|44
181		element.15	1		6|45
182		element.14	1		6|46
183			1		6|47
184			1		7|9
185			1		7|10
186			1		7|11
187			1		7|12
188			1		7|24
189			1		7|25
190			1		7|32
191			1		7|33
192			1		7|34
193			1		7|35
194			1		7|36
195			1		7|37
196	6|element.104	element.13	1		7|44
197		element.15	1		7|45
198			1		7|46
199			1		7|47
200			1		8|9
201			1		8|10
202			1		8|11
203		creature.14	1		8|24
204		mine.3	1		8|28
205		element.15	1		8|29
206			1		8|31
207			1		8|32
208			1		8|33
209			1		8|34
210			1		8|35
211		element.9	1		8|44
212			1		8|45
213			1		8|46
214			1		8|47
215			1		9|9
216			1		9|10
217		element.15	1		9|16
218		element.9	1		9|17
219			1		9|23
220			1		9|24
221	12|element.110	element.13	1		9|28
222		creature.13	1		9|29
223			1		9|30
224			1		9|31
225			1		9|32
226			1		9|33
227			1		9|34
228		element.7	1		9|40
229			1		9|41
230			1		9|42
231			1		9|43
232			1		9|44
233			1		9|45
234			1		9|46
235			1		9|47
236			1		10|9
237		element.14	1		10|15
238		element.4	1		10|16
239		element.15	1		10|17
240			1		10|22
241			1		10|23
242			1		10|24
243			1		10|29
244			1		10|30
245			0		10|31
246			1		10|32
247			1		10|33
248			1		10|34
249			1		10|40
250			1		10|41
251			1		10|42
252			1		10|43
253			1		10|44
254			1		10|45
255		element.4	1		10|46
256			1		11|6
257			1		11|7
258		creature.1	1		11|8
259			1		11|13
260			1		11|14
261		element.15	1		11|15
262		element.15	1		11|16
263			1		11|21
264			1		11|22
265			1		11|23
266			1		11|24
267			1		11|28
268			1		11|29
269			1		11|30
270			1		11|31
271			1		11|32
272			1		11|33
273			1		11|34
274			1		11|40
275			1		11|41
276			1		11|42
277			1		12|5
278			1		12|6
279			1		12|7
280			1		12|8
281			1		12|9
282			1		12|10
283			1		12|11
284			1		12|12
285			1		12|13
286			1		12|14
287			1		12|15
288			1		12|20
289			1		12|21
290			1		12|22
291			1		12|23
292			1		12|27
293			1		12|28
294			1		12|29
295			1		12|30
296			1		12|31
297			1		12|32
298			1		12|33
299			1		12|40
300			1		12|41
301			1		12|42
302			1		13|4
303			1		13|5
304			1		13|6
305			1		13|7
306			1		13|8
307			1		13|9
308			1		13|10
309			1		13|11
310			1		13|12
311			1		13|13
312			1		13|14
313			1		13|15
314			1		13|20
315			1		13|21
316			1		13|22
317			1		13|26
318			1		13|27
319			1		13|28
320			1		13|29
321			1		13|30
322		creature.8	1		13|42
323		element.9	1		13|43
324			1		13|44
325			1		14|3
326			1		14|4
327			1		14|5
328			1		14|6
329			1		14|7
330			1		14|8
331			1		14|9
332			1		14|10
333			1		14|11
334			1		14|12
335			1		14|13
336			1		14|14
337			1		14|15
338			1		14|20
339			1		14|21
340			1		14|22
341			1		14|26
342			1		14|27
343			1		14|28
344			1		14|29
345	3|element.101	element.13	1		14|41
346		element.15	1		14|42
347			1		14|43
348			1		14|44
349			1		15|2
350			1		15|3
351			1		15|9
352			1		15|10
353			1		15|11
354			1		15|12
355			1		15|13
356			1		15|14
357			1		15|15
358			1		15|16
359			1		15|17
360			1		15|20
361			1		15|21
362			1		15|22
363			1		15|25
364			1		15|26
365			1		15|27
366			1		15|28
367		element.15	1		15|30
368	11|element.109	element.13	1		15|31
369	7|element.105	element.13	1		15|38
370		element.15	1		15|39
371		element.15	1		15|41
372			0		15|42
373			1		15|43
374		element.6	1		15|44
