标准等级	出战人数	标准战斗力	单个击杀奖励
level	posCount	fightForce	drop
Int	Int	Int	Award
1	7	447	user.gold:27
2	7	496	user.gold:27
3	7	547	user.gold:27
4	7	612	user.gold:27
5	7	690	user.gold:28
6	7	781	user.gold:28
7	7	899	user.gold:28
8	7	1013	user.gold:28
9	7	1138	user.gold:28
10	7	1305	user.gold:28
11	7	1752	user.gold:28
12	7	1909	user.gold:28
13	7	2092	user.gold:28
14	7	2270	user.gold:29
15	7	2457	user.gold:29
16	7	2954	user.gold:29
17	7	3160	user.gold:29
18	7	3376	user.gold:29
19	7	3601	user.gold:29
20	7	3835	user.gold:29
21	7	4384	user.gold:29
22	7	4657	user.gold:29
23	7	4923	user.gold:30
24	7	5198	user.gold:30
25	7	5482	user.gold:30
26	7	5790	user.gold:30
27	7	6091	user.gold:30
28	7	6401	user.gold:30
29	7	6735	user.gold:30
30	7	7127	user.gold:30
31	7	7544	user.gold:30
32	7	7970	user.gold:31
33	7	8404	user.gold:31
34	7	8847	user.gold:31
35	7	9556	user.gold:31
36	7	10018	user.gold:32
37	7	10489	user.gold:32
38	7	10967	user.gold:33
39	7	11454	user.gold:33
40	7	11986	user.gold:34
41	7	12514	user.gold:34
42	7	13065	user.gold:35
43	7	13894	user.gold:35
44	7	14446	user.gold:36
45	7	15023	user.gold:37
46	7	15592	user.gold:37
47	7	16169	user.gold:38
48	7	16754	user.gold:38
49	7	17347	user.gold:39
50	7	17982	user.gold:39
51	7	20652	user.gold:40
52	7	21372	user.gold:41
53	7	22100	user.gold:41
54	7	22837	user.gold:42
55	7	23606	user.gold:42
56	7	24369	user.gold:43
57	7	25140	user.gold:44
58	7	25920	user.gold:44
59	7	26743	user.gold:45
60	7	27850	user.gold:46
61	7	29214	user.gold:47
62	7	30577	user.gold:49
63	7	31744	user.gold:50
64	7	32943	user.gold:51
65	7	34136	user.gold:52
66	7	35340	user.gold:54
67	7	36564	user.gold:55
68	7	37813	user.gold:56
69	7	39058	user.gold:58
70	7	40288	user.gold:59
71	7	48874	user.gold:60
72	7	50579	user.gold:62
73	7	52009	user.gold:63
74	7	53433	user.gold:65
75	7	54883	user.gold:66
76	7	56342	user.gold:68
77	7	57796	user.gold:69
78	7	59275	user.gold:71
79	7	68971	user.gold:72
80	7	71619	user.gold:73
81	7	73311	user.gold:74
82	7	75410	user.gold:75
83	7	76966	user.gold:76
84	7	78535	user.gold:77
85	7	80133	user.gold:77
86	7	81729	user.gold:78
87	7	83355	user.gold:79
88	7	89687	user.gold:80
89	7	91327	user.gold:81
90	7	92997	user.gold:82
91	7	96513	user.gold:82
92	7	98248	user.gold:83
93	7	99923	user.gold:84
94	7	101597	user.gold:85
95	7	104045	user.gold:86
96	7	105688	user.gold:87
97	7	107345	user.gold:88
98	7	109032	user.gold:89
99	7	110717	user.gold:89
100	7	114571	user.gold:90
101	7	142380	user.gold:92
102	7	145016	user.gold:92
103	7	147689	user.gold:93
104	7	150381	user.gold:94
105	7	154074	user.gold:95
106	7	156736	user.gold:96
107	7	161258	user.gold:97
108	7	163976	user.gold:98
109	7	166708	user.gold:99
110	7	169459	user.gold:100
111	7	172181	user.gold:101
112	7	174950	user.gold:102
113	7	177758	user.gold:103
114	7	183553	user.gold:104
115	7	186396	user.gold:105
116	7	189239	user.gold:106
117	7	192094	user.gold:107
118	7	194945	user.gold:108
119	7	197834	user.gold:109
120	7	200958	user.gold:109
121	7	206929	user.gold:110
122	7	211758	user.gold:110
123	7	215274	user.gold:110
124	7	218794	user.gold:110
125	7	222357	user.gold:110
126	7	227782	user.gold:111
127	7	231389	user.gold:111
128	7	235021	user.gold:111
129	7	240198	user.gold:112
130	7	243879	user.gold:112
131	7	247603	user.gold:112
132	7	253193	user.gold:112
133	7	256967	user.gold:113
134	7	260754	user.gold:113
135	7	266179	user.gold:113
136	7	270021	user.gold:114
137	7	275710	user.gold:114
138	7	279604	user.gold:114
139	7	283523	user.gold:114
140	7	287716	user.gold:115
141	7	293389	user.gold:115
142	7	299045	user.gold:115
143	7	302879	user.gold:116
144	7	308460	user.gold:116
145	7	312343	user.gold:116
146	7	316222	user.gold:117
147	7	322172	user.gold:117
148	7	326083	user.gold:117
149	7	330030	user.gold:118
150	7	333993	user.gold:118
151	7	337825	user.gold:118
152	7	341804	user.gold:119
153	7	364027	user.gold:119
154	7	368038	user.gold:119
155	7	372068	user.gold:120
156	7	376100	user.gold:120
157	7	380141	user.gold:120
158	7	384198	user.gold:121
159	7	388291	user.gold:121
160	7	392710	user.gold:122
161	7	398504	user.gold:122
162	7	404339	user.gold:122
163	7	410408	user.gold:123
164	7	416338	user.gold:123
165	7	422330	user.gold:124
166	7	428345	user.gold:124
167	7	434422	user.gold:124
168	7	440561	user.gold:125
169	7	446723	user.gold:125
170	7	452966	user.gold:126
171	7	459235	user.gold:126
172	7	465566	user.gold:127
173	7	471942	user.gold:127
174	7	478381	user.gold:127
175	7	484844	user.gold:128
176	7	491392	user.gold:128
177	7	497966	user.gold:129
178	7	504604	user.gold:129
179	7	511308	user.gold:130
180	7	519868	user.gold:130
181	7	530143	user.gold:130
182	7	538137	user.gold:131
183	7	546141	user.gold:131
184	7	554213	user.gold:132
185	7	562295	user.gold:132
186	7	570669	user.gold:133
187	7	578835	user.gold:133
188	7	587031	user.gold:134
189	7	597570	user.gold:134
190	7	605828	user.gold:135
191	7	614136	user.gold:135
192	7	622475	user.gold:136
193	7	630846	user.gold:136
194	7	639249	user.gold:137
195	7	646984	user.gold:137
196	7	654768	user.gold:138
197	7	662511	user.gold:138
198	7	670103	user.gold:139
199	7	677742	user.gold:139
200	7	689010	user.gold:140
201	7	696737	user.gold:141
202	7	704506	user.gold:141
203	7	712278	user.gold:142
204	7	720092	user.gold:142
205	7	727932	user.gold:143
206	7	735794	user.gold:143
207	7	743701	user.gold:144
208	7	751610	user.gold:145
209	7	759564	user.gold:145
210	7	767990	user.gold:146
211	7	776860	user.gold:146
212	7	785364	user.gold:147
213	7	793894	user.gold:147
214	7	802470	user.gold:148
215	7	811052	user.gold:148
216	7	824321	user.gold:149
217	7	832973	user.gold:150
218	7	841654	user.gold:150
219	7	850360	user.gold:151
220	7	863649	user.gold:152
221	7	873391	user.gold:152
222	7	883164	user.gold:153
223	7	892965	user.gold:153
224	7	905160	user.gold:154
225	7	915519	user.gold:155
226	7	925929	user.gold:155
227	7	936388	user.gold:156
228	7	946858	user.gold:157
229	7	957369	user.gold:157
230	7	967792	user.gold:158
231	7	1001274	user.gold:158
232	7	1011759	user.gold:159
233	7	1022295	user.gold:160
234	7	1032862	user.gold:161
235	7	1043460	user.gold:161
236	7	1054110	user.gold:162
237	7	1065380	user.gold:162
238	7	1076099	user.gold:163
239	7	1086853	user.gold:164
240	7	1102450	user.gold:164
241	7	1115824	user.gold:164
242	7	1125822	user.gold:164
243	7	1135713	user.gold:164
244	7	1145630	user.gold:164
245	7	1155573	user.gold:164
246	7	1165570	user.gold:164
247	7	1175572	user.gold:164
248	7	1185624	user.gold:164
249	7	1195727	user.gold:164
250	7	1205838	user.gold:164
251	7	1216000	user.gold:164
252	7	1226190	user.gold:164
253	7	1238773	user.gold:164
254	7	1249021	user.gold:164
255	7	1259325	user.gold:164
256	7	1269631	user.gold:164
257	7	1279987	user.gold:164
258	7	1290301	user.gold:164
259	7	1300644	user.gold:164
260	7	1434026	user.gold:164
261	7	1446432	user.gold:164
262	7	1457909	user.gold:164
263	7	1469413	user.gold:164
264	7	1483194	user.gold:164
265	7	1497615	user.gold:164
266	7	1512067	user.gold:164
267	7	1526589	user.gold:164
268	7	1541107	user.gold:164
269	7	1555696	user.gold:164
270	7	1570316	user.gold:164
271	7	1585011	user.gold:164
272	7	1599701	user.gold:164
273	7	1614462	user.gold:164
274	7	1629292	user.gold:164
275	7	1644120	user.gold:164
276	7	1659020	user.gold:164
277	7	1673953	user.gold:164
278	7	1688921	user.gold:164
279	7	1706567	user.gold:164
280	7	1735421	user.gold:164
281	7	1751883	user.gold:164
282	7	1768381	user.gold:164
283	7	1784915	user.gold:164
284	7	1801489	user.gold:164
285	7	1818135	user.gold:164
286	7	1834818	user.gold:164
287	7	1851579	user.gold:164
288	7	1879277	user.gold:164
289	7	1897275	user.gold:164
290	7	1915350	user.gold:164
291	7	1935059	user.gold:164
292	7	1953280	user.gold:164
293	7	1971543	user.gold:164
294	7	2020888	user.gold:164
295	7	2039271	user.gold:164
296	7	2057695	user.gold:164
297	7	2076203	user.gold:164
298	7	2094749	user.gold:164
299	7	2113341	user.gold:164
300	7	2149198	user.gold:164
301	7	2172174	user.gold:164
302	7	2193801	user.gold:164
