矿格	宝藏分布1	宝藏分布2	宝藏分布3	宝藏分布4	宝藏分布5	宝藏分布6	宝藏分布7	宝藏分布8	宝藏分布9	宝藏分布10	金刚石分布1	金刚石分布2	金刚石分布3	金刚石分布4	金刚石分布5	金刚石分布6	金刚石分布7	金刚石分布8	金刚石分布9	金刚石分布10
id	treasure1	treasure2	treasure3	treasure4	treasure5	treasure6	treasure7	treasure8	treasure9	treasure10	adamas1	adamas2	adamas3	adamas4	adamas5	adamas6	adamas7	adamas8	adamas9	adamas10
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1
12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
18	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
20	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0
23	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
