等级	碎片权重1	碎片权重2	碎片权重3	碎片权重4	碎片权重5	碎片1	碎片2	碎片3	碎片4	碎片5	宝箱一次掉落	宝箱两次掉落	宝箱三次掉落	守护者（绿）掉落	怪物2阵型	怪物2难度	怪物3阵型	怪物3难度	终极宝箱	守护者（红）掉落
level	weight1	weight2	weight3	weight4	weight5	gem1	gem2	gem3	gem4	gem5	box0	box1	box2	enemyDrop1	enemy2	enemyProportion2	enemy3	enemyProportion3	endBox	drop
Int	Int	Int	Int	Int	Int	Award	Award	Award	Award	Award	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	100	0	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.4	6002	0.4	300103	300108
10	100	0	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.4	6002	0.4	300103	300108
20	100	0	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.4	6002	0.4	300103	300108
30	100	0	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.4	6002	0.4	300103	300108
40	100	0	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.5	6002	0.5	300103	300108
50	100	0	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.6	6002	0.6	300103	300108
55	0	100	0	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.7	6002	0.7	300103	300108
67	0	0	100	0	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.7	6002	0.7	300103	300108
77	0	0	0	100	0	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.7	6002	0.7	300103	300108
86	0	0	0	0	100	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.7	6002	0.7	300103	300108
100	0	0	0	0	100	material.200101:10	material.200101:10	material.200101:10	material.200101:10	material.200101:10	300104	300105	300106	300107	6001	0.7	6002	0.7	300103	300108
