编号	名称	品质	特效方案	是否极品	等级	全属性提升下限	全属性提升上限	图标	获取途径
id	name	quality	showeffect	isAdvanced	level	min	max	icon	getway
Int	String	Int	Int	Int	Int	Int	Int	String	Ints
101	text_dragongemNameId_101	2	0	0	1	10	20	dragon_1.png	701
102	text_dragongemNameId_102	3	0	0	2	40	80	dragon_2.png	701
103	text_dragongemNameId_103	4	0	0	3	140	190	dragon_3.png	701
104	text_dragongemNameId_104	5	0	0	4	260	310	dragon_4.png	702
105	text_dragongemNameId_105	5	0	0	5	390	450	dragon_5.png	702
106	text_dragongemNameId_106	6	0	0	6	530	590	dragon_6.png	702
107	text_dragongemNameId_107	6	0	0	7	690	760	dragon_7.png	702
108	text_dragongemNameId_108	6	0	0	8	870	950	dragon_8.png	702
109	text_dragongemNameId_109	6	0	0	9	1060	1140	dragon_9.png	702
110	text_dragongemNameId_110	7	0	0	10	1260	1350	dragon_10.png	702
1001	text_dragongemNameId_1001	2	12	1	1	40	40	super_dragon_1.png	701
1002	text_dragongemNameId_1002	3	13	1	2	140	140	super_dragon_2.png	701
1003	text_dragongemNameId_1003	4	14	1	3	260	260	super_dragon_3.png	701
1004	text_dragongemNameId_1004	5	15	1	4	390	390	super_dragon_4.png	702|703
1005	text_dragongemNameId_1005	5	15	1	5	530	530	super_dragon_5.png	702|703
1006	text_dragongemNameId_1006	6	16	1	6	690	690	super_dragon_6.png	702|703
1007	text_dragongemNameId_1007	6	16	1	7	870	870	super_dragon_7.png	702|703
1008	text_dragongemNameId_1008	6	16	1	8	1060	1060	super_dragon_8.png	702|703
1009	text_dragongemNameId_1009	6	16	1	9	1260	1260	super_dragon_9.png	702|703
1010	text_dragongemNameId_1010	7	17	1	10	1480	1480	super_dragon_10.png	702|703
