龙晶等级	合成发光几率(0个极品龙晶)	合成发光几率(1个极品龙晶)	合成发光几率(2个极品龙晶)	合成发光几率(3个极品龙晶)	合成获得龙晶ID	同级转换发光几率	转换获得龙晶ID
level	prob0	prob1	prob2	prob3	award	convertProb	convertAward
Int	Int	Int	Int	Int	Ints	Int	Ints
1	500	2700	6100	9500	102|1002	3300	101|1001
2	500	2700	6100	9500	103|1003	3300	102|1002
3	500	2700	6100	9500	104|1004	3300	103|1003
4	500	2700	6100	9500	105|1005	3300	104|1004
5	500	2700	6100	9500	106|1006	3300	105|1005
6	500	2700	6100	9500	107|1007	3300	106|1006
7	500	2700	6100	9500	108|1008	3300	107|1007
8	500	2700	6100	9500	109|1009	3300	108|1008
9	500	2700	6100	9500	110|1010	3300	109|1009
10	500	2700	6100	9500	0|0	3300	110|1010
