装备ID	名称	品质	图片	获取途径	描述	排序	出售	合成等级限制	合成装备消耗	合成金币消耗	合成奖励
id	name	quality	icon	getway	desc	sort	sell	levelLimit	mergeNum	mergeGold	mergeAward
Int	String	Int	String	Ints	String	Int	Int	Int	Int	Int	Award
101	text_dressNameId_101	1	1_1.png	201|202	text_descDress_1	7000	2000	30	3	500	material.6:1
102	text_dressNameId_102	1	1_2.png	201|202	text_descDress_1	7000	2000	30	3	500	material.6:1
103	text_dressNameId_103	1	1_3.png	201|202	text_descDress_1	7000	2000	30	3	500	material.6:1
104	text_dressNameId_104	1	1_4.png	201|202	text_descDress_1	7000	2000	30	3	500	material.6:1
111	text_dressNameId_111	2	2_1.png	201|202	text_descDress_2	7100	2000	30	3	500	material.6:1
112	text_dressNameId_112	2	2_2.png	201|202	text_descDress_2	7100	2000	30	3	500	material.6:1
113	text_dressNameId_113	2	2_3.png	201|202	text_descDress_2	7100	2000	30	3	500	material.6:1
114	text_dressNameId_114	2	2_4.png	201|202	text_descDress_2	7100	2000	30	3	500	material.6:1
121	text_dressNameId_121	3	3_1.png	201|202	text_descDress_3	7200	2000	30	3	500	material.6:1
122	text_dressNameId_122	3	3_2.png	201|202	text_descDress_3	7200	2000	30	3	500	material.6:1
123	text_dressNameId_123	3	3_3.png	201|202	text_descDress_3	7200	2000	30	3	500	material.6:1
124	text_dressNameId_124	3	3_4.png	201|202	text_descDress_3	7200	2000	30	3	500	material.6:1
131	text_dressNameId_131	3	4_1.png	201|202	text_descDress_4	7300	2000	30	3	500	material.6:1
132	text_dressNameId_132	3	4_2.png	201|202	text_descDress_4	7300	2000	30	3	500	material.6:1
133	text_dressNameId_133	3	4_3.png	201|202	text_descDress_4	7300	2000	30	3	500	material.6:1
134	text_dressNameId_134	3	4_4.png	201|202	text_descDress_4	7300	2000	30	3	500	material.6:1
141	text_dressNameId_141	4	5_1.png	201|202	text_descDress_5	7400	2000	30	3	500	material.6:1
142	text_dressNameId_142	4	5_2.png	201|202	text_descDress_5	7400	2000	30	3	500	material.6:1
143	text_dressNameId_143	4	5_3.png	201|202	text_descDress_5	7400	2000	30	3	500	material.6:1
144	text_dressNameId_144	4	5_4.png	201|202	text_descDress_5	7400	2000	30	3	500	material.6:1
151	text_dressNameId_151	4	6_1.png	201|202	text_descDress_6	7500	2000	30	3	500	material.6:1
152	text_dressNameId_152	4	6_2.png	201|202	text_descDress_6	7500	2000	30	3	500	material.6:1
153	text_dressNameId_153	4	6_3.png	201|202	text_descDress_6	7500	2000	30	3	500	material.6:1
154	text_dressNameId_154	4	6_4.png	201|202	text_descDress_6	7500	2000	30	3	500	material.6:1
161	text_dressNameId_161	5	7_1.png	201|202	text_descDress_7	7600	2000	30	3	500	material.6:1
162	text_dressNameId_162	5	7_2.png	201|202	text_descDress_7	7600	2000	30	3	500	material.6:1
163	text_dressNameId_163	5	7_3.png	201|202	text_descDress_7	7600	2000	30	3	500	material.6:1
164	text_dressNameId_164	5	7_4.png	201|202	text_descDress_7	7600	2000	30	3	500	material.6:1
171	text_dressNameId_171	5	8_1.png	201|202	text_descDress_8	7700	2000	30	3	500	material.6:1
172	text_dressNameId_172	5	8_2.png	201|202	text_descDress_8	7700	2000	30	3	500	material.6:1
173	text_dressNameId_173	5	8_3.png	201|202	text_descDress_8	7700	2000	30	3	500	material.6:1
174	text_dressNameId_174	5	8_4.png	201|202	text_descDress_8	7700	2000	30	3	500	material.6:1
181	text_dressNameId_181	6	9_1.png	201|202	text_descDress_9	7800	2000	30	3	500	material.6:1
182	text_dressNameId_182	6	9_2.png	201|202	text_descDress_9	7800	2000	30	3	500	material.6:1
183	text_dressNameId_183	6	9_3.png	201|202	text_descDress_9	7800	2000	30	3	500	material.6:1
184	text_dressNameId_184	6	9_4.png	201|202	text_descDress_9	7800	2000	30	3	500	material.6:1
191	text_dressNameId_191	6	10_1.png	201|202	text_descDress_10	7900	2000	30	3	500	material.6:1
192	text_dressNameId_192	6	10_2.png	201|202	text_descDress_10	7900	2000	30	3	500	material.6:1
193	text_dressNameId_193	6	10_3.png	201|202	text_descDress_10	7900	2000	30	3	500	material.6:1
194	text_dressNameId_194	6	10_4.png	201|202	text_descDress_10	7900	2000	30	3	500	material.6:1
