兵种类型	兵种等级	装备数量	属性1	值1
id	level	dressnum	att1	value1
Int1	Int2	Int3	Int	Int
1	1	1	0	0
1	1	2	1	21
1	1	3	4	236
1	1	4	2	14
1	1	5	3	11
1	1	6	0	0
1	2	1	0	0
1	2	2	1	29
1	2	3	4	339
1	2	4	2	18
1	2	5	3	14
1	2	6	0	0
1	3	1	0	0
1	3	2	1	56
1	3	3	4	640
1	3	4	2	36
1	3	5	3	28
1	3	6	0	0
1	4	1	0	0
1	4	2	1	68
1	4	3	4	784
1	4	4	2	46
1	4	5	3	36
1	4	6	0	0
1	5	1	0	0
1	5	2	1	98
1	5	3	4	1109
1	5	4	2	63
1	5	5	3	49
1	5	6	0	0
1	6	1	0	0
1	6	2	1	167
1	6	3	4	1892
1	6	4	2	106
1	6	5	3	83
1	6	6	0	0
1	7	1	0	0
1	7	2	1	180
1	7	3	4	2051
1	7	4	2	116
1	7	5	3	89
1	7	6	0	0
1	8	1	0	0
1	8	2	1	232
1	8	3	4	2675
1	8	4	2	147
1	8	5	3	114
1	8	6	0	0
1	9	1	0	0
1	9	2	1	349
1	9	3	4	4017
1	9	4	2	226
1	9	5	3	174
1	9	6	0	0
1	10	1	0	0
1	10	2	1	358
1	10	3	4	4151
1	10	4	2	235
1	10	5	3	180
1	10	6	0	0
1	11	1	0	0
1	11	2	1	431
1	11	3	4	5017
1	11	4	2	284
1	11	5	3	217
1	11	6	0	0
1	12	1	0	0
1	12	2	1	589
1	12	3	4	6858
1	12	4	2	390
1	12	5	3	298
1	12	6	0	0
1	13	1	0	0
1	13	2	1	600
1	13	3	4	7000
1	13	4	2	398
1	13	5	3	303
1	13	6	0	0
1	14	1	0	0
1	14	2	1	696
1	14	3	4	8098
1	14	4	2	460
1	14	5	3	351
1	14	6	0	0
2	1	1	0	0
2	1	2	1	21
2	1	3	4	236
2	1	4	2	11
2	1	5	3	14
2	1	6	0	0
2	2	1	0	0
2	2	2	1	29
2	2	3	4	339
2	2	4	2	14
2	2	5	3	18
2	2	6	0	0
2	3	1	0	0
2	3	2	1	56
2	3	3	4	640
2	3	4	2	28
2	3	5	3	36
2	3	6	0	0
2	4	1	0	0
2	4	2	1	68
2	4	3	4	784
2	4	4	2	36
2	4	5	3	46
2	4	6	0	0
2	5	1	0	0
2	5	2	1	98
2	5	3	4	1109
2	5	4	2	49
2	5	5	3	63
2	5	6	0	0
2	6	1	0	0
2	6	2	1	167
2	6	3	4	1892
2	6	4	2	83
2	6	5	3	106
2	6	6	0	0
2	7	1	0	0
2	7	2	1	180
2	7	3	4	2051
2	7	4	2	89
2	7	5	3	116
2	7	6	0	0
2	8	1	0	0
2	8	2	1	232
2	8	3	4	2675
2	8	4	2	114
2	8	5	3	147
2	8	6	0	0
2	9	1	0	0
2	9	2	1	349
2	9	3	4	4017
2	9	4	2	174
2	9	5	3	226
2	9	6	0	0
2	10	1	0	0
2	10	2	1	358
2	10	3	4	4151
2	10	4	2	180
2	10	5	3	235
2	10	6	0	0
2	11	1	0	0
2	11	2	1	431
2	11	3	4	5017
2	11	4	2	217
2	11	5	3	284
2	11	6	0	0
2	12	1	0	0
2	12	2	1	589
2	12	3	4	6858
2	12	4	2	298
2	12	5	3	390
2	12	6	0	0
2	13	1	0	0
2	13	2	1	600
2	13	3	4	7000
2	13	4	2	303
2	13	5	3	398
2	13	6	0	0
2	14	1	0	0
2	14	2	1	696
2	14	3	4	8098
2	14	4	2	351
2	14	5	3	460
2	14	6	0	0
3	1	1	0	0
3	1	2	1	21
3	1	3	4	236
3	1	4	2	14
3	1	5	3	11
3	1	6	0	0
3	2	1	0	0
3	2	2	1	29
3	2	3	4	339
3	2	4	2	18
3	2	5	3	14
3	2	6	0	0
3	3	1	0	0
3	3	2	1	56
3	3	3	4	640
3	3	4	2	36
3	3	5	3	28
3	3	6	0	0
3	4	1	0	0
3	4	2	1	68
3	4	3	4	784
3	4	4	2	46
3	4	5	3	36
3	4	6	0	0
3	5	1	0	0
3	5	2	1	98
3	5	3	4	1109
3	5	4	2	63
3	5	5	3	49
3	5	6	0	0
3	6	1	0	0
3	6	2	1	167
3	6	3	4	1892
3	6	4	2	106
3	6	5	3	83
3	6	6	0	0
3	7	1	0	0
3	7	2	1	180
3	7	3	4	2051
3	7	4	2	116
3	7	5	3	89
3	7	6	0	0
3	8	1	0	0
3	8	2	1	232
3	8	3	4	2675
3	8	4	2	147
3	8	5	3	114
3	8	6	0	0
3	9	1	0	0
3	9	2	1	349
3	9	3	4	4017
3	9	4	2	226
3	9	5	3	174
3	9	6	0	0
3	10	1	0	0
3	10	2	1	358
3	10	3	4	4151
3	10	4	2	235
3	10	5	3	180
3	10	6	0	0
3	11	1	0	0
3	11	2	1	431
3	11	3	4	5017
3	11	4	2	284
3	11	5	3	217
3	11	6	0	0
3	12	1	0	0
3	12	2	1	589
3	12	3	4	6858
3	12	4	2	390
3	12	5	3	298
3	12	6	0	0
3	13	1	0	0
3	13	2	1	600
3	13	3	4	7000
3	13	4	2	398
3	13	5	3	303
3	13	6	0	0
3	14	1	0	0
3	14	2	1	696
3	14	3	4	8098
3	14	4	2	460
3	14	5	3	351
3	14	6	0	0
