索引ID	装备名称	类型	是否远古装备	品质	颜色方案	等级	主属性类型	主属性值	命中基准值	命中浮动百分比	闪避基准值	闪避浮动百分比	暴击基准值	暴击浮动百分比	韧性基准值	韧性浮动百分比	熔炼升品概率	熔炼值	洗练花费金币(0锁定)	洗练花费金币(1锁定)	洗练花费金币(2锁定)	洗练花费金币(3锁定)	传承花费金币	拆解花费金币	拆解获得	图片	描述	出售价格	获取途径
id	name	type	isAncient	quality	color	level	attributeType	attributeValue	baseHit	hitPercentage	baseDodge	dodgePercentage	baseCrit	critPercentage	baseResi	resiPercentage	smeltProb	smeltValue	refineCost0	refineCost1	refineCost2	refineCost3	inheritCost	dismantlingCost	dismantlingAward	icon	desc	sellPrice	getway
Int	Chinese	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Award	String	Chinese	Int	Ints
110011	英雄之盔	1	0	1	1	1	3	27	24	10	9	10	18	10	9	10	80	10	10	12	15	18	100	0		11.png	这件特别牛掰	100	501
120011	英雄之盔	1	0	2	2	1	3	47	24	10	9	10	18	10	9	10	80	20	10	12	15	18	100	0		11.png	这件特别牛掰	100	501
130011	英雄之盔	1	0	3	3	1	3	67	24	10	9	10	18	10	9	10	70	40	10	12	15	18	100	0		11.png	这件特别牛掰	100	501
140011	英雄之盔	1	0	4	4	1	3	94	24	10	9	10	18	10	9	10	60	60	10	12	15	18	100	0		11.png	这件特别牛掰	100	501
150011	英雄之盔	1	0	5	5	1	3	134	24	10	9	10	18	10	9	10	1	100	10	12	15	18	100	0		11.png	这件特别牛掰	100	501
110101	青鳞之盔	1	0	1	1	10	3	35	45	15	17	15	35	15	17	15	80	10	15	20	25	30	100	0		21.png	这件特别牛掰	100	501
120101	青鳞之盔	1	0	2	2	10	3	62	45	15	17	15	35	15	17	15	70	20	15	20	25	30	100	0		21.png	这件特别牛掰	100	501
130101	青鳞之盔	1	0	3	3	10	3	88	45	15	17	15	35	15	17	15	70	40	15	20	25	30	100	0		21.png	这件特别牛掰	100	501
140101	青鳞之盔	1	0	4	4	10	3	123	45	15	17	15	35	15	17	15	60	60	15	20	25	30	100	0		21.png	这件特别牛掰	100	501
150101	青鳞之盔	1	0	5	5	10	3	176	45	15	17	15	35	15	17	15	5	100	15	20	25	30	100	0		21.png	这件特别牛掰	100	501
110201	龙甲之盔	1	0	1	1	20	3	46	87	20	33	20	67	20	33	20	80	10	20	25	30	35	100	0		31.png	这件特别牛掰	100	501
120201	龙甲之盔	1	0	2	2	20	3	81	87	20	33	20	67	20	33	20	70	20	20	25	30	35	100	0		31.png	这件特别牛掰	100	501
130201	龙甲之盔	1	0	3	3	20	3	116	87	20	33	20	67	20	33	20	70	40	20	25	30	35	100	0		31.png	这件特别牛掰	100	501
140201	龙甲之盔	1	0	4	4	20	3	162	87	20	33	20	67	20	33	20	60	60	20	25	30	35	100	0		31.png	这件特别牛掰	100	501
150201	龙甲之盔	1	0	5	5	20	3	232	87	20	33	20	67	20	33	20	5	100	20	25	30	35	100	0		31.png	这件特别牛掰	100	501
110301	鬼面之盔	1	0	1	1	30	3	61	146	25	56	25	112	25	56	25	70	10	30	35	40	50	100	0		41.png	这件特别牛掰	100	501
120301	鬼面之盔	1	0	2	2	30	3	107	146	25	56	25	112	25	56	25	70	20	30	35	40	50	100	0		41.png	这件特别牛掰	100	501
130301	鬼面之盔	1	0	3	3	30	3	153	146	25	56	25	112	25	56	25	60	40	30	35	40	50	100	0		41.png	这件特别牛掰	100	501
140301	鬼面之盔	1	0	4	4	30	3	214	146	25	56	25	112	25	56	25	50	60	30	35	40	50	100	0		41.png	这件特别牛掰	100	501
150301	鬼面之盔	1	0	5	5	30	3	306	146	25	56	25	112	25	56	25	10	100	30	35	40	50	100	0		41.png	这件特别牛掰	100	501
110401	修罗之盔	1	0	1	1	40	3	81	200	30	77	30	154	30	77	30	70	10	40	50	60	70	100	0		51.png	这件特别牛掰	100	501
120401	修罗之盔	1	0	2	2	40	3	142	200	30	77	30	154	30	77	30	50	20	40	50	60	70	100	0		51.png	这件特别牛掰	100	501
130401	修罗之盔	1	0	3	3	40	3	203	200	30	77	30	154	30	77	30	30	40	40	50	60	70	100	0		51.png	这件特别牛掰	100	501
140401	修罗之盔	1	0	4	4	40	3	284	200	30	77	30	154	30	77	30	15	60	40	50	60	70	100	0		51.png	这件特别牛掰	100	501
150401	修罗之盔	1	0	5	5	40	3	406	200	30	77	30	154	30	77	30	5	100	40	50	60	70	100	0		51.png	这件特别牛掰	100	501
110501	武神之盔	1	0	1	1	50	3	107	250	35	96	35	193	35	96	35	70	10	80	100	120	140	100	0		61.png	这件特别牛掰	100	501
120501	武神之盔	1	0	2	2	50	3	188	250	35	96	35	193	35	96	35	60	20	80	100	120	140	100	0		61.png	这件特别牛掰	100	501
130501	武神之盔	1	0	3	3	50	3	268	250	35	96	35	193	35	96	35	40	40	80	100	120	140	100	0		61.png	这件特别牛掰	100	501
140501	武神之盔	1	0	4	4	50	3	375	250	35	96	35	193	35	96	35	30	60	80	100	120	140	100	0		61.png	这件特别牛掰	100	501
150501	武神之盔	1	0	5	5	50	3	536	250	35	96	35	193	35	96	35	20	100	80	100	120	140	100	0		61.png	这件特别牛掰	100	501
110601	神威之盔	1	0	1	1	60	3	142	316	40	121	40	243	40	121	40	70	10	150	180	220	260	100	0		71.png	这件特别牛掰	100	501
120601	神威之盔	1	0	2	2	60	3	249	316	40	121	40	243	40	121	40	50	20	150	180	220	260	100	0		71.png	这件特别牛掰	100	501
130601	神威之盔	1	0	3	3	60	3	355	316	40	121	40	243	40	121	40	30	40	150	180	220	260	100	0		71.png	这件特别牛掰	100	501
140601	神威之盔	1	0	4	4	60	3	497	316	40	121	40	243	40	121	40	30	60	150	180	220	260	100	0		71.png	这件特别牛掰	100	501
150601	神威之盔	1	0	5	5	60	3	710	316	40	121	40	243	40	121	40	15	100	150	180	220	260	100	0		71.png	这件特别牛掰	100	501
110701	天霸之盔	1	0	1	1	70	3	188	390	40	150	40	300	40	150	40	70	10	370	440	530	640	100	0		81.png	这件特别牛掰	100	501
120701	天霸之盔	1	0	2	2	70	3	328	390	40	150	40	300	40	150	40	50	20	370	440	530	640	100	0		81.png	这件特别牛掰	100	501
130701	天霸之盔	1	0	3	3	70	3	469	390	40	150	40	300	40	150	40	30	40	370	440	530	640	100	0		81.png	这件特别牛掰	100	501
140701	天霸之盔	1	0	4	4	70	3	657	390	40	150	40	300	40	150	40	30	60	370	440	530	640	100	0		81.png	这件特别牛掰	100	501
150701	天霸之盔	1	0	5	5	70	3	938	390	40	150	40	300	40	150	40	15	100	370	440	530	640	100	0		81.png	这件特别牛掰	100	501
110801	龙魂之盔	1	0	1	1	80	3	248	464	40	179	40	357	40	179	40	70	10	930	1100	1300	1600	100	0		91.png	这件特别牛掰	100	501
120801	龙魂之盔	1	0	2	2	80	3	435	464	40	179	40	357	40	179	40	50	20	930	1100	1300	1600	100	0		91.png	这件特别牛掰	100	501
130801	龙魂之盔	1	0	3	3	80	3	621	464	40	179	40	357	40	179	40	30	40	930	1100	1300	1600	100	0		91.png	这件特别牛掰	100	501
140801	龙魂之盔	1	0	4	4	80	3	869	464	40	179	40	357	40	179	40	30	60	930	1100	1300	1600	100	0		91.png	这件特别牛掰	100	501
150801	龙魂之盔	1	0	5	5	80	3	1242	464	40	179	40	357	40	179	40	15	100	930	1100	1300	1600	100	0		91.png	这件特别牛掰	100	501
110901	轩辕之盔	1	0	1	1	90	3	329	557	40	214	40	429	40	214	40	70	10	2600	3100	3700	4400	100	0		101.png	这件特别牛掰	100	501
120901	轩辕之盔	1	0	2	2	90	3	575	557	40	214	40	429	40	214	40	50	20	2600	3100	3700	4400	100	0		101.png	这件特别牛掰	100	501
130901	轩辕之盔	1	0	3	3	90	3	822	557	40	214	40	429	40	214	40	30	40	2600	3100	3700	4400	100	0		101.png	这件特别牛掰	100	501
140901	轩辕之盔	1	0	4	4	90	3	1151	557	40	214	40	429	40	214	40	30	60	2600	3100	3700	4400	100	0		101.png	这件特别牛掰	100	501
150901	轩辕之盔	1	0	5	5	90	3	1644	557	40	214	40	429	40	214	40	15	100	2600	3100	3700	4400	100	0		101.png	这件特别牛掰	100	501
111001	四神之盔	1	0	1	1	100	3	435	650	40	250	40	500	40	250	40	70	10	5900	7100	8500	10200	100	0		111.png	这件特别牛掰	100	501
121001	四神之盔	1	0	2	2	100	3	761	650	40	250	40	500	40	250	40	50	20	5900	7100	8500	10200	100	0		111.png	这件特别牛掰	100	501
131001	四神之盔	1	0	3	3	100	3	1087	650	40	250	40	500	40	250	40	30	40	5900	7100	8500	10200	100	0		111.png	这件特别牛掰	100	501
141001	四神之盔	1	0	4	4	100	3	1522	650	40	250	40	500	40	250	40	30	60	5900	7100	8500	10200	100	0		111.png	这件特别牛掰	100	501
151001	四神之盔	1	0	5	5	100	3	2174	650	40	250	40	500	40	250	40	15	100	5900	7100	8500	10200	100	0		111.png	这件特别牛掰	100	501
210011	英雄之刃	2	0	1	1	1	1	23	18	10	9	10	29	10	5	10	80	10	10	12	15	18	100	0		14.png	这件特别牛掰	100	501
220011	英雄之刃	2	0	2	2	1	1	40	18	10	9	10	29	10	5	10	80	20	10	12	15	18	100	0		14.png	这件特别牛掰	100	501
230011	英雄之刃	2	0	3	3	1	1	57	18	10	9	10	29	10	5	10	70	40	10	12	15	18	100	0		14.png	这件特别牛掰	100	501
240011	英雄之刃	2	0	4	4	1	1	80	18	10	9	10	29	10	5	10	60	60	10	12	15	18	100	0		14.png	这件特别牛掰	100	501
250011	英雄之刃	2	0	5	5	1	1	114	18	10	9	10	29	10	5	10	1	100	10	12	15	18	100	0		14.png	这件特别牛掰	100	501
210101	青鳞之刃	2	0	1	1	10	1	30	35	15	17	15	56	15	9	15	80	10	15	20	25	30	100	0		24.png	这件特别牛掰	100	501
220101	青鳞之刃	2	0	2	2	10	1	53	35	15	17	15	56	15	9	15	70	20	15	20	25	30	100	0		24.png	这件特别牛掰	100	501
230101	青鳞之刃	2	0	3	3	10	1	76	35	15	17	15	56	15	9	15	70	40	15	20	25	30	100	0		24.png	这件特别牛掰	100	501
240101	青鳞之刃	2	0	4	4	10	1	106	35	15	17	15	56	15	9	15	60	60	15	20	25	30	100	0		24.png	这件特别牛掰	100	501
250101	青鳞之刃	2	0	5	5	10	1	151	35	15	17	15	56	15	9	15	5	100	15	20	25	30	100	0		24.png	这件特别牛掰	100	501
210201	龙甲之刃	2	0	1	1	20	1	40	67	20	33	20	107	20	17	20	80	10	20	25	30	35	100	0		34.png	这件特别牛掰	100	501
220201	龙甲之刃	2	0	2	2	20	1	70	67	20	33	20	107	20	17	20	70	20	20	25	30	35	100	0		34.png	这件特别牛掰	100	501
230201	龙甲之刃	2	0	3	3	20	1	100	67	20	33	20	107	20	17	20	70	40	20	25	30	35	100	0		34.png	这件特别牛掰	100	501
240201	龙甲之刃	2	0	4	4	20	1	140	67	20	33	20	107	20	17	20	60	60	20	25	30	35	100	0		34.png	这件特别牛掰	100	501
250201	龙甲之刃	2	0	5	5	20	1	200	67	20	33	20	107	20	17	20	5	100	20	25	30	35	100	0		34.png	这件特别牛掰	100	501
210301	鬼面之刃	2	0	1	1	30	1	53	112	25	56	25	179	25	28	25	70	10	30	35	40	50	100	0		44.png	这件特别牛掰	100	501
220301	鬼面之刃	2	0	2	2	30	1	93	112	25	56	25	179	25	28	25	70	20	30	35	40	50	100	0		44.png	这件特别牛掰	100	501
230301	鬼面之刃	2	0	3	3	30	1	133	112	25	56	25	179	25	28	25	60	40	30	35	40	50	100	0		44.png	这件特别牛掰	100	501
240301	鬼面之刃	2	0	4	4	30	1	186	112	25	56	25	179	25	28	25	50	60	30	35	40	50	100	0		44.png	这件特别牛掰	100	501
250301	鬼面之刃	2	0	5	5	30	1	265	112	25	56	25	179	25	28	25	10	100	30	35	40	50	100	0		44.png	这件特别牛掰	100	501
210401	修罗之刃	2	0	1	1	40	1	70	154	30	77	30	246	30	38	30	70	10	40	50	60	70	100	0		54.png	这件特别牛掰	100	501
220401	修罗之刃	2	0	2	2	40	1	123	154	30	77	30	246	30	38	30	50	20	40	50	60	70	100	0		54.png	这件特别牛掰	100	501
230401	修罗之刃	2	0	3	3	40	1	175	154	30	77	30	246	30	38	30	30	40	40	50	60	70	100	0		54.png	这件特别牛掰	100	501
240401	修罗之刃	2	0	4	4	40	1	245	154	30	77	30	246	30	38	30	15	60	40	50	60	70	100	0		54.png	这件特别牛掰	100	501
250401	修罗之刃	2	0	5	5	40	1	350	154	30	77	30	246	30	38	30	5	100	40	50	60	70	100	0		54.png	这件特别牛掰	100	501
210501	武神之刃	2	0	1	1	50	1	93	193	35	96	35	308	35	48	35	70	10	80	100	120	140	100	0		64.png	这件特别牛掰	100	501
220501	武神之刃	2	0	2	2	50	1	162	193	35	96	35	308	35	48	35	60	20	80	100	120	140	100	0		64.png	这件特别牛掰	100	501
230501	武神之刃	2	0	3	3	50	1	232	193	35	96	35	308	35	48	35	40	40	80	100	120	140	100	0		64.png	这件特别牛掰	100	501
240501	武神之刃	2	0	4	4	50	1	324	193	35	96	35	308	35	48	35	30	60	80	100	120	140	100	0		64.png	这件特别牛掰	100	501
250501	武神之刃	2	0	5	5	50	1	463	193	35	96	35	308	35	48	35	20	100	80	100	120	140	100	0		64.png	这件特别牛掰	100	501
210601	神威之刃	2	0	1	1	60	1	123	243	40	121	40	389	40	61	40	70	10	150	180	220	260	100	0		74.png	这件特别牛掰	100	501
220601	神威之刃	2	0	2	2	60	1	215	243	40	121	40	389	40	61	40	50	20	150	180	220	260	100	0		74.png	这件特别牛掰	100	501
230601	神威之刃	2	0	3	3	60	1	307	243	40	121	40	389	40	61	40	30	40	150	180	220	260	100	0		74.png	这件特别牛掰	100	501
240601	神威之刃	2	0	4	4	60	1	429	243	40	121	40	389	40	61	40	30	60	150	180	220	260	100	0		74.png	这件特别牛掰	100	501
250601	神威之刃	2	0	5	5	60	1	613	243	40	121	40	389	40	61	40	15	100	150	180	220	260	100	0		74.png	这件特别牛掰	100	501
210701	天霸之刃	2	0	1	1	70	1	162	300	40	150	40	480	40	75	40	70	10	370	440	530	640	100	0		84.png	这件特别牛掰	100	501
220701	天霸之刃	2	0	2	2	70	1	284	300	40	150	40	480	40	75	40	50	20	370	440	530	640	100	0		84.png	这件特别牛掰	100	501
230701	天霸之刃	2	0	3	3	70	1	406	300	40	150	40	480	40	75	40	30	40	370	440	530	640	100	0		84.png	这件特别牛掰	100	501
240701	天霸之刃	2	0	4	4	70	1	568	300	40	150	40	480	40	75	40	30	60	370	440	530	640	100	0		84.png	这件特别牛掰	100	501
250701	天霸之刃	2	0	5	5	70	1	811	300	40	150	40	480	40	75	40	15	100	370	440	530	640	100	0		84.png	这件特别牛掰	100	501
210801	龙魂之刃	2	0	1	1	80	1	215	357	40	179	40	571	40	89	40	70	10	930	1100	1300	1600	100	0		94.png	这件特别牛掰	100	501
220801	龙魂之刃	2	0	2	2	80	1	376	357	40	179	40	571	40	89	40	50	20	930	1100	1300	1600	100	0		94.png	这件特别牛掰	100	501
230801	龙魂之刃	2	0	3	3	80	1	537	357	40	179	40	571	40	89	40	30	40	930	1100	1300	1600	100	0		94.png	这件特别牛掰	100	501
240801	龙魂之刃	2	0	4	4	80	1	751	357	40	179	40	571	40	89	40	30	60	930	1100	1300	1600	100	0		94.png	这件特别牛掰	100	501
250801	龙魂之刃	2	0	5	5	80	1	1073	357	40	179	40	571	40	89	40	15	100	930	1100	1300	1600	100	0		94.png	这件特别牛掰	100	501
210901	轩辕之刃	2	0	1	1	90	1	284	429	40	214	40	686	40	107	40	70	10	2600	3100	3700	4400	100	0		104.png	这件特别牛掰	100	501
220901	轩辕之刃	2	0	2	2	90	1	497	429	40	214	40	686	40	107	40	50	20	2600	3100	3700	4400	100	0		104.png	这件特别牛掰	100	501
230901	轩辕之刃	2	0	3	3	90	1	710	429	40	214	40	686	40	107	40	30	40	2600	3100	3700	4400	100	0		104.png	这件特别牛掰	100	501
240901	轩辕之刃	2	0	4	4	90	1	993	429	40	214	40	686	40	107	40	30	60	2600	3100	3700	4400	100	0		104.png	这件特别牛掰	100	501
250901	轩辕之刃	2	0	5	5	90	1	1419	429	40	214	40	686	40	107	40	15	100	2600	3100	3700	4400	100	0		104.png	这件特别牛掰	100	501
211001	四神之刃	2	0	1	1	100	1	375	500	40	250	40	800	40	125	40	70	10	5900	7100	8500	10200	100	0		114.png	这件特别牛掰	100	501
221001	四神之刃	2	0	2	2	100	1	657	500	40	250	40	800	40	125	40	50	20	5900	7100	8500	10200	100	0		114.png	这件特别牛掰	100	501
231001	四神之刃	2	0	3	3	100	1	939	500	40	250	40	800	40	125	40	30	40	5900	7100	8500	10200	100	0		114.png	这件特别牛掰	100	501
241001	四神之刃	2	0	4	4	100	1	1314	500	40	250	40	800	40	125	40	30	60	5900	7100	8500	10200	100	0		114.png	这件特别牛掰	100	501
251001	四神之刃	2	0	5	5	100	1	1877	500	40	250	40	800	40	125	40	15	100	5900	7100	8500	10200	100	0		114.png	这件特别牛掰	100	501
310011	英雄护腰	3	0	1	1	1	4	265	9	10	14	10	9	10	29	10	80	10	10	12	15	18	100	0		12.png	这件特别牛掰	100	501
320011	英雄护腰	3	0	2	2	1	4	464	9	10	14	10	9	10	29	10	80	20	10	12	15	18	100	0		12.png	这件特别牛掰	100	501
330011	英雄护腰	3	0	3	3	1	4	663	9	10	14	10	9	10	29	10	70	40	10	12	15	18	100	0		12.png	这件特别牛掰	100	501
340011	英雄护腰	3	0	4	4	1	4	928	9	10	14	10	9	10	29	10	60	60	10	12	15	18	100	0		12.png	这件特别牛掰	100	501
350011	英雄护腰	3	0	5	5	1	4	1326	9	10	14	10	9	10	29	10	1	100	10	12	15	18	100	0		12.png	这件特别牛掰	100	501
310101	青鳞护腰	3	0	1	1	10	4	351	17	15	26	15	17	15	56	15	80	10	15	20	25	30	100	0		22.png	这件特别牛掰	100	501
320101	青鳞护腰	3	0	2	2	10	4	614	17	15	26	15	17	15	56	15	70	20	15	20	25	30	100	0		22.png	这件特别牛掰	100	501
330101	青鳞护腰	3	0	3	3	10	4	877	17	15	26	15	17	15	56	15	70	40	15	20	25	30	100	0		22.png	这件特别牛掰	100	501
340101	青鳞护腰	3	0	4	4	10	4	1228	17	15	26	15	17	15	56	15	60	60	15	20	25	30	100	0		22.png	这件特别牛掰	100	501
350101	青鳞护腰	3	0	5	5	10	4	1754	17	15	26	15	17	15	56	15	5	100	15	20	25	30	100	0		22.png	这件特别牛掰	100	501
310201	龙甲护腰	3	0	1	1	20	4	464	33	20	50	20	33	20	107	20	80	10	20	25	30	35	100	0		32.png	这件特别牛掰	100	501
320201	龙甲护腰	3	0	2	2	20	4	812	33	20	50	20	33	20	107	20	70	20	20	25	30	35	100	0		32.png	这件特别牛掰	100	501
330201	龙甲护腰	3	0	3	3	20	4	1160	33	20	50	20	33	20	107	20	70	40	20	25	30	35	100	0		32.png	这件特别牛掰	100	501
340201	龙甲护腰	3	0	4	4	20	4	1624	33	20	50	20	33	20	107	20	60	60	20	25	30	35	100	0		32.png	这件特别牛掰	100	501
350201	龙甲护腰	3	0	5	5	20	4	2320	33	20	50	20	33	20	107	20	5	100	20	25	30	35	100	0		32.png	这件特别牛掰	100	501
310301	鬼面护腰	3	0	1	1	30	4	614	56	25	84	25	56	25	179	25	70	10	30	35	40	50	100	0		42.png	这件特别牛掰	100	501
320301	鬼面护腰	3	0	2	2	30	4	1074	56	25	84	25	56	25	179	25	70	20	30	35	40	50	100	0		42.png	这件特别牛掰	100	501
330301	鬼面护腰	3	0	3	3	30	4	1535	56	25	84	25	56	25	179	25	60	40	30	35	40	50	100	0		42.png	这件特别牛掰	100	501
340301	鬼面护腰	3	0	4	4	30	4	2148	56	25	84	25	56	25	179	25	50	60	30	35	40	50	100	0		42.png	这件特别牛掰	100	501
350301	鬼面护腰	3	0	5	5	30	4	3069	56	25	84	25	56	25	179	25	10	100	30	35	40	50	100	0		42.png	这件特别牛掰	100	501
310401	修罗护腰	3	0	1	1	40	4	812	77	30	115	30	77	30	246	30	70	10	40	50	60	70	100	0		52.png	这件特别牛掰	100	501
320401	修罗护腰	3	0	2	2	40	4	1421	77	30	115	30	77	30	246	30	50	20	40	50	60	70	100	0		52.png	这件特别牛掰	100	501
330401	修罗护腰	3	0	3	3	40	4	2030	77	30	115	30	77	30	246	30	30	40	40	50	60	70	100	0		52.png	这件特别牛掰	100	501
340401	修罗护腰	3	0	4	4	40	4	2841	77	30	115	30	77	30	246	30	15	60	40	50	60	70	100	0		52.png	这件特别牛掰	100	501
350401	修罗护腰	3	0	5	5	40	4	4059	77	30	115	30	77	30	246	30	5	100	40	50	60	70	100	0		52.png	这件特别牛掰	100	501
310501	武神护腰	3	0	1	1	50	4	1074	96	35	144	35	96	35	308	35	70	10	80	100	120	140	100	0		62.png	这件特别牛掰	100	501
320501	武神护腰	3	0	2	2	50	4	1879	96	35	144	35	96	35	308	35	60	20	80	100	120	140	100	0		62.png	这件特别牛掰	100	501
330501	武神护腰	3	0	3	3	50	4	2685	96	35	144	35	96	35	308	35	40	40	80	100	120	140	100	0		62.png	这件特别牛掰	100	501
340501	武神护腰	3	0	4	4	50	4	3758	96	35	144	35	96	35	308	35	30	60	80	100	120	140	100	0		62.png	这件特别牛掰	100	501
350501	武神护腰	3	0	5	5	50	4	5369	96	35	144	35	96	35	308	35	20	100	80	100	120	140	100	0		62.png	这件特别牛掰	100	501
310601	神威护腰	3	0	1	1	60	4	1420	121	40	182	40	121	40	389	40	70	10	150	180	220	260	100	0		72.png	这件特别牛掰	100	501
320601	神威护腰	3	0	2	2	60	4	2486	121	40	182	40	121	40	389	40	50	20	150	180	220	260	100	0		72.png	这件特别牛掰	100	501
