装备类型	装备品质	装备天赋值	主要属性类型	最高改良星级	主属性基础值未改良	主属性基础值_1星	主属性基础值_2星	主属性基础值_3星	主属性基础值_4星	主属性基础值_5星	主属性基础值_6星	特殊属性	特殊属性值_0星	特殊属性值_1星	特殊属性值_2星	特殊属性值_3星	特殊属性值_4星	特殊属性值_5星	特殊属性值_6星	分解固定返还	分解固定返还1	分解固定返还2	分解固定返还3	分解固定返还4	分解固定返还5	分解固定返还6
type	quality	talentPoints	attributeType	improveMax	attributeValue0	attributeValue1	attributeValue2	attributeValue3	attributeValue4	attributeValue5	attributeValue6	specialAttType	specialAttValue0	specialAttValue1	specialAttValue2	specialAttValue3	specialAttValue4	specialAttValue5	specialAttValue6	disassembleAward0	disassembleAward1	disassembleAward2	disassembleAward3	disassembleAward4	disassembleAward5	disassembleAward6
Int	Int2	Ints	Ints	Int	Ints	Ints	Ints	Ints	Ints	Ints	Ints	Int	Int	Int	Int	Int	Int	Int	Int	Award	Award	Award	Award	Award	Award	Award
1	1	2|2|2|2|2|2|2	1|2|3|4	0	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	20	100	100	100	100	100	100	100	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10
1	2	3|3|3|3|3|3|3	1|2|3|4	0	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	20	150	150	150	150	150	150	150	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50
1	3	5|6|6|6|6|6|6	1|2|3|4	1	260|160|160|3140	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	20	200	300	300	300	300	300	300	user.smelt:500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500
1	4	7|8|8|8|8|8|8	1|2|3|4	1	570|360|360|6880	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	20	600	900	900	900	900	900	900	user.smelt:2500	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000
1	5	9|10|11|11|11|11|11	1|2|3|4	2	1810|1130|1130|21700	2810|1760|1760|33800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	20	1200	1500	1800	1800	1800	1800	1800	user.smelt:10000	user.smelt:20000,user.gold:457500	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000
1	6	12|13|14|15|15|15|15	1|2|3|4	3	6500|4060|4060|78000	8340|5210|5210|100000	10500|6560|6560|126000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	20	2100	2400	2700	3000	3000	3000	3000	user.smelt:25000	user.smelt:50000,user.gold:560000	user.smelt:100000,user.gold:2240000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000
1	7	16|17|18|19|20|20|20	1|2|3|4	4	15900|9920|9920|190000	21400|13400|13400|257000	28000|17500|17500|336000	35900|22400|22400|431000	45100|28200|28200|541000	45100|28200|28200|541000	45100|28200|28200|541000	20	3300	3600	3900	4200	4500	4500	4500	user.smelt:50000	user.smelt:100000,user.gold:970000	user.smelt:200000,user.gold:3885000	user.smelt:400000,user.gold:10685000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000
2	1	2|2|2|2|2|2|2	1|2|3|4	0	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	11	100	100	100	100	100	100	100	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10
2	2	3|3|3|3|3|3|3	1|2|3|4	0	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	11	150	150	150	150	150	150	150	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50
2	3	5|6|6|6|6|6|6	1|2|3|4	1	260|160|160|3140	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	11	200	300	300	300	300	300	300	user.smelt:500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500
2	4	7|8|8|8|8|8|8	1|2|3|4	1	570|360|360|6880	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	11	600	900	900	900	900	900	900	user.smelt:2500	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000
2	5	9|10|11|11|11|11|11	1|2|3|4	2	1810|1130|1130|21700	2810|1760|1760|33800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	4150|2590|2590|49800	11	1200	1500	1800	1800	1800	1800	1800	user.smelt:10000	user.smelt:20000,user.gold:457500	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000	user.smelt:40000,user.gold:1830000
2	6	12|13|14|15|15|15|15	1|2|3|4	3	6500|4060|4060|78000	8340|5210|5210|100000	10500|6560|6560|126000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	13000|8130|8130|156000	11	2100	2400	2700	3000	3000	3000	3000	user.smelt:25000	user.smelt:50000,user.gold:560000	user.smelt:100000,user.gold:2240000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000	user.smelt:200000,user.gold:6160000
2	7	16|17|18|19|20|20|20	1|2|3|4	4	15900|9920|9920|190000	21400|13400|13400|257000	28000|17500|17500|336000	35900|22400|22400|431000	45100|28200|28200|541000	45100|28200|28200|541000	45100|28200|28200|541000	11	3300	3600	3900	4200	4500	4500	4500	user.smelt:50000	user.smelt:100000,user.gold:970000	user.smelt:200000,user.gold:3885000	user.smelt:400000,user.gold:10685000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000	user.smelt:800000,user.gold:25255000
3	1	2|2|2|2|2|2|2	1|2|3|4	0	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	24|15|15|290	23	100	100	100	100	100	100	100	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10	user.smelt:10
3	2	3|3|3|3|3|3|3	1|2|3|4	0	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	77|48|48|930	23	150	150	150	150	150	150	150	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50	user.smelt:50
3	3	5|6|6|6|6|6|6	1|2|3|4	1	260|160|160|3140	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	400|250|250|4760	23	200	300	300	300	300	300	300	user.smelt:500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500	user.smelt:1000,user.gold:54500
3	4	7|8|8|8|8|8|8	1|2|3|4	1	570|360|360|6880	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	1070|670|670|12900	23	600	900	900	900	900	900	900	user.smelt:2500	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000	user.smelt:5000,user.gold:387000
