装备品质	品级	是否可改良	卷轴消耗	材料消耗（最多4个）	改良结果为1星权重	改良结果为2星权重	改良结果为3星权重	改良结果为4星权重	改良结果为5星权重	改良结果为6星权重
quality	grade	isImprove	scroll	cost	resultWeight1	resultWeight2	resultWeight3	resultWeight4	resultWeight5	resultWeight6
Int	Int2	Int	Award	Award	Int	Int	Int	Int	Int	Int
1	0	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
1	1	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
1	2	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
1	3	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
1	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
1	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
1	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	0	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	1	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	2	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	3	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
2	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
3	0	1	material.5:-0	user.gold:-109000	10000	0	0	0	0	0
3	1	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
3	2	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
3	3	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
3	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
3	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
3	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
4	0	1	material.5:-0	user.gold:-774000	10000	0	0	0	0	0
4	1	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
4	2	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
4	3	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
4	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
4	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
4	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
5	0	1	material.5:-0	user.gold:-915000	10000	0	0	0	0	0
5	1	1	material.5:-0	user.gold:-1830000	0	10000	0	0	0	0
5	2	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
5	3	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
5	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
5	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
5	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
6	0	1	material.5:-0	user.gold:-1120000	10000	0	0	0	0	0
6	1	1	material.5:-0	user.gold:-2240000	0	10000	0	0	0	0
6	2	1	material.5:-0	user.gold:-3360000	0	0	10000	0	0	0
6	3	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
6	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
6	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
6	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
7	0	1	material.5:-0	user.gold:-1940000	10000	0	0	0	0	0
7	1	1	material.5:-0	user.gold:-3890000	0	10000	0	0	0	0
7	2	1	material.5:-0	user.gold:-5830000	0	0	10000	0	0	0
7	3	1	material.5:-0	user.gold:-7770000	0	0	0	10000	0	0
7	4	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
7	5	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
7	6	0	material.5:-0	user.gold:-0	0	0	0	0	0	0
