大师等级	需求精炼装备数量	需求精炼等阶	加成属性
level	needRefineNum	needRefineLevel	attribute
Int	Int	Int	Strings
1	6	2	11:100|12:100
2	6	4	11:200|12:200
3	6	6	11:300|12:300
4	6	8	11:400|12:400
5	6	10	11:500|12:500
6	6	12	11:600|12:600
7	6	14	11:700|12:700
8	6	16	11:800|12:800
9	6	18	11:900|12:900
10	6	20	11:1000|12:1000
11	6	22	11:1100|12:1100
12	6	24	11:1200|12:1200
13	6	26	11:1300|12:1300
14	6	28	11:1400|12:1400
15	6	30	11:1500|12:1500
16	6	32	11:1600|12:1600
17	6	34	11:1700|12:1700
18	6	36	11:1800|12:1800
19	6	38	11:1900|12:1900
20	6	40	11:2000|12:2000
21	6	42	11:2100|12:2100
22	6	44	11:2200|12:2200
23	6	46	11:2300|12:2300
24	6	48	11:2400|12:2400
25	6	50	11:2500|12:2500
26	6	52	11:2600|12:2600
27	6	54	11:2700|12:2700
28	6	56	11:2800|12:2800
29	6	58	11:2900|12:2900
30	6	60	11:3000|12:3000
31	6	62	11:3100|12:3100
32	6	64	11:3200|12:3200
33	6	66	11:3300|12:3300
34	6	68	11:3400|12:3400
35	6	70	11:3500|12:3500
36	6	72	11:3600|12:3600
37	6	74	11:3700|12:3700
38	6	76	11:3800|12:3800
39	6	78	11:3900|12:3900
40	6	80	11:4000|12:4000
