大师等级	需求强化装备数量	需求强化等级	加成属性
level	needUpgradeNum	needUpgradeLevel	attribute
Int	Int	Int	Strings
1	6	10	1:50|4:1100
2	6	20	1:100|4:2200
3	6	30	1:150|4:3300
4	6	40	1:200|4:4400
5	6	50	1:250|4:5500
6	6	60	1:300|4:6600
7	6	70	1:350|4:7700
8	6	80	1:400|4:8800
9	6	90	1:450|4:9900
10	6	100	1:500|4:11000
11	6	110	1:550|4:12100
12	6	120	1:600|4:13200
13	6	130	1:650|4:14300
14	6	140	1:700|4:15400
15	6	150	1:750|4:16500
16	6	160	1:800|4:17600
17	6	170	1:850|4:18700
18	6	180	1:900|4:19800
19	6	190	1:950|4:20900
20	6	200	1:1000|4:22000
21	6	210	1:1050|4:23100
22	6	220	1:1100|4:24200
23	6	230	1:1150|4:25300
24	6	240	1:1200|4:26400
25	6	250	1:1250|4:27500
26	6	260	1:1300|4:28600
27	6	270	1:1350|4:29700
28	6	280	1:1400|4:30800
29	6	290	1:1450|4:31900
30	6	300	1:1500|4:33000
