装备品质	精炼等阶	升至本阶所需精炼经验	头盔加成类型(1-属性，2-效果)	参数	武器加成类型	参数1	护腰加成类型	参数2	铠甲加成类型	参数3	靴子加成类型	参数4	挂饰加成类型	参数5
id	level	refineExp	type1	val1	type2	val2	type3	val3	type4	val4	type5	val5	type6	val6
Int	Int2	Int	Int	Strings	Int	Ints	Int	Ints	Int	Ints	Int	Ints	Int	Ints
1	1	20	0	0	0	0	0	0	0	0	0	0	0	0
1	2	20	0	0	0	0	0	0	0	0	0	0	0	0
1	3	20	0	0	0	0	0	0	0	0	0	0	0	0
1	4	20	0	0	0	0	0	0	0	0	0	0	0	0
1	5	20	0	0	0	0	0	0	0	0	0	0	0	0
2	1	50	0	0	0	0	0	0	0	0	0	0	0	0
2	2	50	0	0	0	0	0	0	0	0	0	0	0	0
2	3	50	0	0	0	0	0	0	0	0	0	0	0	0
2	4	50	0	0	0	0	0	0	0	0	0	0	0	0
2	5	50	0	0	0	0	0	0	0	0	0	0	0	0
2	6	50	0	0	0	0	0	0	0	0	0	0	0	0
2	7	50	0	0	0	0	0	0	0	0	0	0	0	0
2	8	50	0	0	0	0	0	0	0	0	0	0	0	0
2	9	50	0	0	0	0	0	0	0	0	0	0	0	0
2	10	50	0	0	0	0	0	0	0	0	0	0	0	0
3	1	60	0	0	0	0	0	0	0	0	0	0	0	0
3	2	60	0	0	0	0	0	0	0	0	0	0	0	0
3	3	60	0	0	0	0	0	0	0	0	0	0	0	0
3	4	60	0	0	0	0	0	0	0	0	0	0	0	0
3	5	60	0	0	0	0	0	0	0	0	0	0	0	0
3	6	60	0	0	0	0	0	0	0	0	0	0	0	0
3	7	60	0	0	0	0	0	0	0	0	0	0	0	0
3	8	60	0	0	0	0	0	0	0	0	0	0	0	0
3	9	60	0	0	0	0	0	0	0	0	0	0	0	0
3	10	60	0	0	0	0	0	0	0	0	0	0	0	0
3	11	60	0	0	0	0	0	0	0	0	0	0	0	0
3	12	60	0	0	0	0	0	0	0	0	0	0	0	0
3	13	60	0	0	0	0	0	0	0	0	0	0	0	0
3	14	60	0	0	0	0	0	0	0	0	0	0	0	0
3	15	60	0	0	0	0	0	0	0	0	0	0	0	0
3	16	70	0	0	0	0	0	0	0	0	0	0	0	0
3	17	70	0	0	0	0	0	0	0	0	0	0	0	0
3	18	80	0	0	0	0	0	0	0	0	0	0	0	0
3	19	80	0	0	0	0	0	0	0	0	0	0	0	0
3	20	90	0	0	0	0	0	0	0	0	0	0	0	0
4	1	70	0	0	0	0	0	0	0	0	0	0	0	0
4	2	70	0	0	0	0	0	0	0	0	0	0	0	0
4	3	70	0	0	0	0	0	0	0	0	0	0	0	0
4	4	70	0	0	0	0	0	0	0	0	0	0	0	0
4	5	70	0	0	0	0	0	0	0	0	0	0	0	0
4	6	70	0	0	0	0	0	0	0	0	0	0	0	0
4	7	70	0	0	0	0	0	0	0	0	0	0	0	0
4	8	70	0	0	0	0	0	0	0	0	0	0	0	0
4	9	70	0	0	0	0	0	0	0	0	0	0	0	0
4	10	70	0	0	0	0	0	0	0	0	0	0	0	0
4	11	70	0	0	0	0	0	0	0	0	0	0	0	0
4	12	70	0	0	0	0	0	0	0	0	0	0	0	0
4	13	70	0	0	0	0	0	0	0	0	0	0	0	0
4	14	70	0	0	0	0	0	0	0	0	0	0	0	0
4	15	70	0	0	0	0	0	0	0	0	0	0	0	0
4	16	80	0	0	0	0	0	0	0	0	0	0	0	0
4	17	80	0	0	0	0	0	0	0	0	0	0	0	0
4	18	90	0	0	0	0	0	0	0	0	0	0	0	0
4	19	100	0	0	0	0	0	0	0	0	0	0	0	0
4	20	100	0	0	0	0	0	0	0	0	0	0	0	0
4	21	120	0	0	0	0	0	0	0	0	0	0	0	0
4	22	120	0	0	0	0	0	0	0	0	0	0	0	0
4	23	130	0	0	0	0	0	0	0	0	0	0	0	0
4	24	140	0	0	0	0	0	0	0	0	0	0	0	0
4	25	150	0	0	0	0	0	0	0	0	0	0	0	0
4	26	150	0	0	0	0	0	0	0	0	0	0	0	0
4	27	160	0	0	0	0	0	0	0	0	0	0	0	0
4	28	170	0	0	0	0	0	0	0	0	0	0	0	0
4	29	170	0	0	0	0	0	0	0	0	0	0	0	0
4	30	170	0	0	0	0	0	0	0	0	0	0	0	0
5	1	80	0	0	0	0	0	0	0	0	0	0	0	0
5	2	80	0	0	0	0	0	0	0	0	0	0	0	0
5	3	80	0	0	0	0	0	0	0	0	0	0	0	0
5	4	80	0	0	0	0	0	0	0	0	0	0	0	0
5	5	80	0	0	0	0	0	0	0	0	0	0	0	0
5	6	80	0	0	0	0	0	0	0	0	0	0	0	0
5	7	80	0	0	0	0	0	0	0	0	0	0	0	0
5	8	80	0	0	0	0	0	0	0	0	0	0	0	0
5	9	80	0	0	0	0	0	0	0	0	0	0	0	0
5	10	80	0	0	0	0	0	0	0	0	0	0	0	0
5	11	80	0	0	0	0	0	0	0	0	0	0	0	0
5	12	80	0	0	0	0	0	0	0	0	0	0	0	0
5	13	80	0	0	0	0	0	0	0	0	0	0	0	0
5	14	80	0	0	0	0	0	0	0	0	0	0	0	0
5	15	80	0	0	0	0	0	0	0	0	0	0	0	0
5	16	90	0	0	0	0	0	0	0	0	0	0	0	0
5	17	90	0	0	0	0	0	0	0	0	0	0	0	0
5	18	100	0	0	0	0	0	0	0	0	0	0	0	0
5	19	110	0	0	0	0	0	0	0	0	0	0	0	0
5	20	120	0	0	0	0	0	0	0	0	0	0	0	0
5	21	130	0	0	0	0	0	0	0	0	0	0	0	0
5	22	140	0	0	0	0	0	0	0	0	0	0	0	0
5	23	150	0	0	0	0	0	0	0	0	0	0	0	0
5	24	160	0	0	0	0	0	0	0	0	0	0	0	0
5	25	170	0	0	0	0	0	0	0	0	0	0	0	0
5	26	170	0	0	0	0	0	0	0	0	0	0	0	0
5	27	180	0	0	0	0	0	0	0	0	0	0	0	0
5	28	190	0	0	0	0	0	0	0	0	0	0	0	0
5	29	190	0	0	0	0	0	0	0	0	0	0	0	0
5	30	200	0	0	0	0	0	0	0	0	0	0	0	0
5	31	200	0	0	0	0	0	0	0	0	0	0	0	0
5	32	210	0	0	0	0	0	0	0	0	0	0	0	0
5	33	220	0	0	0	0	0	0	0	0	0	0	0	0
5	34	220	0	0	0	0	0	0	0	0	0	0	0	0
5	35	230	0	0	0	0	0	0	0	0	0	0	0	0
5	36	240	0	0	0	0	0	0	0	0	0	0	0	0
5	37	240	0	0	0	0	0	0	0	0	0	0	0	0
5	38	250	0	0	0	0	0	0	0	0	0	0	0	0
5	39	270	0	0	0	0	0	0	0	0	0	0	0	0
5	40	280	0	0	0	0	0	0	0	0	0	0	0	0
6	1	90	0	0	0	0	0	0	0	0	0	0	0	0
6	2	90	0	0	0	0	0	0	0	0	0	0	0	0
6	3	90	0	0	0	0	0	0	0	0	0	0	0	0
6	4	90	0	0	0	0	0	0	0	0	0	0	0	0
6	5	90	0	0	0	0	0	0	0	0	0	0	0	0
6	6	90	0	0	0	0	0	0	0	0	0	0	0	0
6	7	90	0	0	0	0	0	0	0	0	0	0	0	0
6	8	90	0	0	0	0	0	0	0	0	0	0	0	0
6	9	90	0	0	0	0	0	0	0	0	0	0	0	0
6	10	90	0	0	0	0	0	0	0	0	0	0	0	0
6	11	90	0	0	0	0	0	0	0	0	0	0	0	0
6	12	90	0	0	0	0	0	0	0	0	0	0	0	0
6	13	90	0	0	0	0	0	0	0	0	0	0	0	0
6	14	90	0	0	0	0	0	0	0	0	0	0	0	0
6	15	90	0	0	0	0	0	0	0	0	0	0	0	0
6	16	100	0	0	0	0	0	0	0	0	0	0	0	0
6	17	100	0	0	0	0	0	0	0	0	0	0	0	0
6	18	110	0	0	0	0	0	0	0	0	0	0	0	0
6	19	120	0	0	0	0	0	0	0	0	0	0	0	0
6	20	130	0	0	0	0	0	0	0	0	0	0	0	0
6	21	150	0	0	0	0	0	0	0	0	0	0	0	0
6	22	160	0	0	0	0	0	0	0	0	0	0	0	0
6	23	170	0	0	0	0	0	0	0	0	0	0	0	0
6	24	180	0	0	0	0	0	0	0	0	0	0	0	0
6	25	190	0	0	0	0	0	0	0	0	0	0	0	0
6	26	190	0	0	0	0	0	0	0	0	0	0	0	0
6	27	200	0	0	0	0	0	0	0	0	0	0	0	0
6	28	210	0	0	0	0	0	0	0	0	0	0	0	0
6	29	210	0	0	0	0	0	0	0	0	0	0	0	0
6	30	220	0	0	0	0	0	0	0	0	0	0	0	0
6	31	230	0	0	0	0	0	0	0	0	0	0	0	0
6	32	240	0	0	0	0	0	0	0	0	0	0	0	0
6	33	250	0	0	0	0	0	0	0	0	0	0	0	0
6	34	250	0	0	0	0	0	0	0	0	0	0	0	0
6	35	260	0	0	0	0	0	0	0	0	0	0	0	0
6	36	270	0	0	0	0	0	0	0	0	0	0	0	0
6	37	270	0	0	0	0	0	0	0	0	0	0	0	0
6	38	280	0	0	0	0	0	0	0	0	0	0	0	0
6	39	300	0	0	0	0	0	0	0	0	0	0	0	0
6	40	310	0	0	0	0	0	0	0	0	0	0	0	0
6	41	320	0	0	0	0	0	0	0	0	0	0	0	0
6	42	330	0	0	0	0	0	0	0	0	0	0	0	0
6	43	350	0	0	0	0	0	0	0	0	0	0	0	0
6	44	360	0	0	0	0	0	0	0	0	0	0	0	0
6	45	360	0	0	0	0	0	0	0	0	0	0	0	0
6	46	380	0	0	0	0	0	0	0	0	0	0	0	0
6	47	390	0	0	0	0	0	0	0	0	0	0	0	0
6	48	820	0	0	0	0	0	0	0	0	0	0	0	0
6	49	900	0	0	0	0	0	0	0	0	0	0	0	0
6	50	960	0	0	0	0	0	0	0	0	0	0	0	0
6	51	1030	0	0	0	0	0	0	0	0	0	0	0	0
6	52	1110	0	0	0	0	0	0	0	0	0	0	0	0
6	53	1190	0	0	0	0	0	0	0	0	0	0	0	0
6	54	1290	0	0	0	0	0	0	0	0	0	0	0	0
6	55	1390	0	0	0	0	0	0	0	0	0	0	0	0
6	56	1450	0	0	0	0	0	0	0	0	0	0	0	0
6	57	1500	0	0	0	0	0	0	0	0	0	0	0	0
6	58	1540	0	0	0	0	0	0	0	0	0	0	0	0
6	59	1600	0	0	0	0	0	0	0	0	0	0	0	0
6	60	1650	0	0	0	0	0	0	0	0	0	0	0	0
7	1	100	0	0	0	0	0	0	0	0	0	0	0	0
7	2	100	0	0	0	0	0	0	0	0	0	0	0	0
7	3	100	0	0	0	0	0	0	0	0	0	0	0	0
7	4	100	0	0	0	0	0	0	0	0	0	0	0	0
7	5	100	0	0	0	0	0	0	0	0	0	0	0	0
7	6	100	0	0	0	0	0	0	0	0	0	0	0	0
7	7	100	0	0	0	0	0	0	0	0	0	0	0	0
7	8	100	0	0	0	0	0	0	0	0	0	0	0	0
7	9	100	0	0	0	0	0	0	0	0	0	0	0	0
7	10	100	0	0	0	0	0	0	0	0	0	0	0	0
7	11	100	0	0	0	0	0	0	0	0	0	0	0	0
7	12	100	0	0	0	0	0	0	0	0	0	0	0	0
7	13	100	0	0	0	0	0	0	0	0	0	0	0	0
7	14	100	0	0	0	0	0	0	0	0	0	0	0	0
7	15	100	0	0	0	0	0	0	0	0	0	0	0	0
7	16	110	0	0	0	0	0	0	0	0	0	0	0	0
7	17	110	0	0	0	0	0	0	0	0	0	0	0	0
7	18	120	0	0	0	0	0	0	0	0	0	0	0	0
7	19	130	0	0	0	0	0	0	0	0	0	0	0	0
7	20	140	0	0	0	0	0	0	0	0	0	0	0	0
7	21	160	0	0	0	0	0	0	0	0	0	0	0	0
7	22	170	0	0	0	0	0	0	0	0	0	0	0	0
7	23	180	0	0	0	0	0	0	0	0	0	0	0	0
7	24	200	0	0	0	0	0	0	0	0	0	0	0	0
7	25	210	0	0	0	0	0	0	0	0	0	0	0	0
7	26	210	0	0	0	0	0	0	0	0	0	0	0	0
7	27	220	0	0	0	0	0	0	0	0	0	0	0	0
7	28	230	0	0	0	0	0	0	0	0	0	0	0	0
7	29	230	0	0	0	0	0	0	0	0	0	0	0	0
7	30	240	0	0	0	0	0	0	0	0	0	0	0	0
7	31	250	0	0	0	0	0	0	0	0	0	0	0	0
7	32	260	0	0	0	0	0	0	0	0	0	0	0	0
7	33	270	0	0	0	0	0	0	0	0	0	0	0	0
7	34	270	0	0	0	0	0	0	0	0	0	0	0	0
7	35	280	0	0	0	0	0	0	0	0	0	0	0	0
7	36	290	0	0	0	0	0	0	0	0	0	0	0	0
7	37	300	0	0	0	0	0	0	0	0	0	0	0	0
7	38	310	0	0	0	0	0	0	0	0	0	0	0	0
7	39	330	0	0	0	0	0	0	0	0	0	0	0	0
7	40	340	0	0	0	0	0	0	0	0	0	0	0	0
7	41	350	0	0	0	0	0	0	0	0	0	0	0	0
7	42	360	0	0	0	0	0	0	0	0	0	0	0	0
7	43	380	0	0	0	0	0	0	0	0	0	0	0	0
7	44	390	0	0	0	0	0	0	0	0	0	0	0	0
7	45	400	0	0	0	0	0	0	0	0	0	0	0	0
7	46	420	0	0	0	0	0	0	0	0	0	0	0	0
7	47	430	0	0	0	0	0	0	0	0	0	0	0	0
7	48	910	0	0	0	0	0	0	0	0	0	0	0	0
7	49	990	0	0	0	0	0	0	0	0	0	0	0	0
7	50	1060	0	0	0	0	0	0	0	0	0	0	0	0
7	51	1140	0	0	0	0	0	0	0	0	0	0	0	0
