强化等级	需求君主等级	白装至本级消耗	绿装至本级消耗	蓝装至本级消耗	紫装至本级消耗	橙装至本级消耗	红装至本级消耗	金装至本级消耗
level	limit	cost1	cost2	cost3	cost4	cost5	cost6	cost7
Int	Int	Award	Award	Award	Award	Award	Award	Award
1	1	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
2	1	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
3	2	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
4	2	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
5	3	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
6	3	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
7	4	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
8	4	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
9	5	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
10	5	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
11	6	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
12	6	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
13	7	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
14	7	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
15	8	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
16	8	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
17	9	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
18	9	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
19	10	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
20	10	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
21	11	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
22	11	user.gold:-40	user.gold:-50	user.gold:-60	user.gold:-70	user.gold:-80	user.gold:-90	user.gold:-100
23	12	user.gold:-80	user.gold:-100	user.gold:-120	user.gold:-140	user.gold:-160	user.gold:-180	user.gold:-200
24	12	user.gold:-80	user.gold:-100	user.gold:-120	user.gold:-140	user.gold:-160	user.gold:-180	user.gold:-200
25	13	user.gold:-90	user.gold:-110	user.gold:-140	user.gold:-160	user.gold:-180	user.gold:-200	user.gold:-220
26	13	user.gold:-90	user.gold:-110	user.gold:-140	user.gold:-160	user.gold:-180	user.gold:-200	user.gold:-220
27	14	user.gold:-100	user.gold:-120	user.gold:-150	user.gold:-170	user.gold:-200	user.gold:-220	user.gold:-240
28	14	user.gold:-100	user.gold:-120	user.gold:-150	user.gold:-170	user.gold:-200	user.gold:-220	user.gold:-240
29	15	user.gold:-110	user.gold:-130	user.gold:-160	user.gold:-190	user.gold:-210	user.gold:-240	user.gold:-260
30	15	user.gold:-110	user.gold:-130	user.gold:-160	user.gold:-190	user.gold:-210	user.gold:-240	user.gold:-260
31	16	user.gold:-120	user.gold:-140	user.gold:-170	user.gold:-200	user.gold:-230	user.gold:-260	user.gold:-280
32	16	user.gold:-120	user.gold:-140	user.gold:-170	user.gold:-200	user.gold:-230	user.gold:-260	user.gold:-280
33	17	user.gold:-130	user.gold:-160	user.gold:-200	user.gold:-230	user.gold:-260	user.gold:-290	user.gold:-320
34	17	user.gold:-130	user.gold:-160	user.gold:-200	user.gold:-230	user.gold:-260	user.gold:-290	user.gold:-320
35	18	user.gold:-140	user.gold:-170	user.gold:-210	user.gold:-240	user.gold:-280	user.gold:-310	user.gold:-340
36	18	user.gold:-140	user.gold:-170	user.gold:-210	user.gold:-240	user.gold:-280	user.gold:-310	user.gold:-340
37	19	user.gold:-150	user.gold:-190	user.gold:-230	user.gold:-260	user.gold:-300	user.gold:-340	user.gold:-370
38	19	user.gold:-150	user.gold:-190	user.gold:-230	user.gold:-260	user.gold:-300	user.gold:-340	user.gold:-370
