任务类型	等级	1星奖励	2星奖励	3星奖励	4星奖励	5星奖励
type	level	award1	award2	award3	award4	award5
Int	Int2	Award	Award	Award	Award	Award
1	1	material.1:9,user.bindcash:20	material.1:10,user.bindcash:20	material.1:12,user.bindcash:20	material.1:16,user.bindcash:20	material.1:17,user.bindcash:20
1	11	material.1:9,user.bindcash:20	material.1:11,user.bindcash:20	material.1:12,user.bindcash:20	material.1:16,user.bindcash:20	material.1:18,user.bindcash:20
1	21	material.1:9,user.bindcash:20	material.1:11,user.bindcash:20	material.1:13,user.bindcash:20	material.1:17,user.bindcash:20	material.1:18,user.bindcash:20
1	31	material.1:9,user.bindcash:20	material.1:11,user.bindcash:20	material.1:13,user.bindcash:20	material.1:17,user.bindcash:20	material.1:19,user.bindcash:20
1	41	material.1:10,user.bindcash:20	material.1:12,user.bindcash:20	material.1:14,user.bindcash:20	material.1:18,user.bindcash:20	material.1:20,user.bindcash:20
1	51	material.1:11,user.bindcash:20	material.1:14,user.bindcash:20	material.1:16,user.bindcash:20	material.1:20,user.bindcash:20	material.1:23,user.bindcash:20
1	61	material.1:13,user.bindcash:20	material.1:16,user.bindcash:20	material.1:18,user.bindcash:20	material.1:23,user.bindcash:20	material.1:26,user.bindcash:20
1	71	material.1:16,user.bindcash:20	material.1:19,user.bindcash:20	material.1:22,user.bindcash:20	material.1:28,user.bindcash:20	material.1:31,user.bindcash:20
1	81	material.1:19,user.bindcash:20	material.1:22,user.bindcash:20	material.1:26,user.bindcash:20	material.1:33,user.bindcash:20	material.1:37,user.bindcash:20
1	91	material.1:20,user.bindcash:20	material.1:24,user.bindcash:20	material.1:28,user.bindcash:20	material.1:37,user.bindcash:20	material.1:41,user.bindcash:20
1	101	material.1:22,user.bindcash:20	material.1:27,user.bindcash:20	material.1:31,user.bindcash:20	material.1:40,user.bindcash:20	material.1:44,user.bindcash:20
1	111	material.1:24,user.bindcash:20	material.1:29,user.bindcash:20	material.1:34,user.bindcash:20	material.1:44,user.bindcash:20	material.1:48,user.bindcash:20
1	121	material.1:26,user.bindcash:20	material.1:31,user.bindcash:20	material.1:36,user.bindcash:20	material.1:47,user.bindcash:20	material.1:52,user.bindcash:20
1	131	material.1:27,user.bindcash:20	material.1:32,user.bindcash:20	material.1:38,user.bindcash:20	material.1:48,user.bindcash:20	material.1:54,user.bindcash:20
1	141	material.1:28,user.bindcash:20	material.1:33,user.bindcash:20	material.1:39,user.bindcash:20	material.1:50,user.bindcash:20	material.1:56,user.bindcash:20
1	151	material.1:29,user.bindcash:20	material.1:35,user.bindcash:20	material.1:40,user.bindcash:20	material.1:52,user.bindcash:20	material.1:58,user.bindcash:20
1	161	material.1:30,user.bindcash:20	material.1:36,user.bindcash:20	material.1:42,user.bindcash:20	material.1:54,user.bindcash:20	material.1:60,user.bindcash:20
1	171	material.1:31,user.bindcash:20	material.1:37,user.bindcash:20	material.1:44,user.bindcash:20	material.1:56,user.bindcash:20	material.1:62,user.bindcash:20
