缘分id	缘分	缘分武将	缘分武将1	缘分武将2	缘分武将3	缘分武将4	属性ID1	属性类型（1固定值，2百分比）	属性加成	属性ID2	属性类型2（1固定值，2百分比）	属性加成2
id	name	hid1	hid2	hid3	hid4	hid5	att1	attType1	value1	att2	attType2	value2
Int	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
400101	text_fateName_3	4002	4001	0	0	0	4	2	5	0	0	0
400102	text_fateName_8	4001	4005	0	0	0	2	2	6	3	2	6
400103	text_fateName_6	4001	4003	4005	0	0	1	2	5	4	2	5
400201	text_fateName_3	4002	4001	0	0	0	4	2	5	0	0	0
400202	text_fateName_1	4002	4004	0	0	0	1	2	3	0	0	0
400203	text_fateName_5	4002	4006	4004	0	0	1	2	8	0	0	0
400301	text_fateName_2	4003	4004	0	0	0	4	2	5	0	0	0
400302	text_fateName_7	4006	4003	0	0	0	1	2	3	0	0	0
400303	text_fateName_6	4001	4003	4005	0	0	1	2	5	4	2	5
400401	text_fateName_2	4003	4004	0	0	0	4	2	5	0	0	0
400402	text_fateName_1	4002	4004	0	0	0	1	2	3	0	0	0
400403	text_fateName_5	4002	4006	4004	0	0	1	2	8	0	0	0
400501	text_fateName_4	4005	4006	0	0	0	1	2	3	0	0	0
400502	text_fateName_8	4001	4005	0	0	0	2	2	6	3	2	6
400503	text_fateName_6	4001	4003	4005	0	0	1	2	5	4	2	5
400601	text_fateName_4	4005	4006	0	0	0	1	2	3	0	0	0
400602	text_fateName_7	4006	4003	0	0	0	1	2	3	0	0	0
400603	text_fateName_5	4002	4006	4004	0	0	1	2	8	0	0	0
500101	text_fateName_9	5001	5002	0	0	0	4	2	10	0	0	0
500102	text_fateName_36	5001	5013	0	0	0	4	2	10	0	0	0
500103	text_fateName_49	5001	5017	5003	0	0	2	2	24	3	2	24
500104	text_fateName_27	6002	5014	5009	5001	0	1	2	16	0	0	0
500201	text_fateName_9	5001	5002	0	0	0	4	2	10	0	0	0
500202	text_fateName_32	5002	5015	0	0	0	1	2	6	0	0	0
500203	text_fateName_55	6006	5002	5020	0	0	1	2	12	0	0	0
500204	text_fateName_28	6006	5002	5015	5019	0	1	2	16	0	0	0
500301	text_fateName_10	5003	5004	0	0	0	1	2	6	0	0	0
500302	text_fateName_38	5003	5017	0	0	0	2	2	12	3	2	12
500303	text_fateName_49	5001	5017	5003	0	0	2	2	24	3	2	24
500304	text_fateName_30	6005	5003	5005	4006	0	1	2	10	4	2	10
500401	text_fateName_10	5003	5004	0	0	0	1	2	6	0	0	0
500402	text_fateName_39	5004	5012	0	0	0	1	2	6	0	0	0
500403	text_fateName_52	5004	5006	5016	0	0	1	2	12	0	0	0
500404	text_fateName_26	6004	5004	5006	5008	0	1	2	16	0	0	0
500501	text_fateName_11	5005	5006	0	0	0	1	2	6	0	0	0
500502	text_fateName_37	5005	5011	0	0	0	1	2	6	0	0	0
500503	text_fateName_50	5005	5009	5011	0	0	1	2	12	0	0	0
500504	text_fateName_30	6005	5003	5005	4006	0	1	2	10	4	2	10
500601	text_fateName_11	5005	5006	0	0	0	1	2	6	0	0	0
500602	text_fateName_34	5006	5014	0	0	0	1	2	6	0	0	0
500603	text_fateName_52	5004	5006	5016	0	0	1	2	12	0	0	0
500604	text_fateName_26	6004	5004	5006	5008	0	1	2	16	0	0	0
500701	text_fateName_12	5007	5008	0	0	0	1	2	6	0	0	0
500702	text_fateName_33	5007	5009	0	0	0	4	2	10	0	0	0
500703	text_fateName_51	5012	5015	5007	0	0	4	2	20	0	0	0
500704	text_fateName_24	6001	5018	5007	4003	0	1	2	10	4	2	10
500801	text_fateName_12	5007	5008	0	0	0	1	2	6	0	0	0
500802	text_fateName_31	5008	5010	0	0	0	1	2	6	0	0	0
500803	text_fateName_53	5008	5010	5018	0	0	1	2	12	0	0	0
500804	text_fateName_26	6004	5004	5006	5008	0	1	2	16	0	0	0
500901	text_fateName_13	5009	5010	0	0	0	1	2	6	0	0	0
500902	text_fateName_33	5007	5009	0	0	0	4	2	10	0	0	0
500903	text_fateName_50	5005	5009	5011	0	0	1	2	12	0	0	0
500904	text_fateName_27	6002	5014	5009	5001	0	1	2	16	0	0	0
501001	text_fateName_13	5009	5010	0	0	0	1	2	6	0	0	0
501002	text_fateName_31	5008	5010	0	0	0	1	2	6	0	0	0
501003	text_fateName_53	5008	5010	5018	0	0	1	2	12	0	0	0
501004	text_fateName_25	6007	5010	5011	4001	0	1	2	10	4	2	10
501101	text_fateName_14	5011	5012	0	0	0	4	2	10	0	0	0
501102	text_fateName_37	5005	5011	0	0	0	1	2	6	0	0	0
501103	text_fateName_50	5005	5009	5011	0	0	1	2	12	0	0	0
501104	text_fateName_25	6007	5010	5011	4001	0	1	2	10	4	2	10
501201	text_fateName_14	5011	5012	0	0	0	4	2	10	0	0	0
501202	text_fateName_39	5004	5012	0	0	0	1	2	6	0	0	0
501203	text_fateName_51	5012	5015	5007	0	0	4	2	20	0	0	0
501204	text_fateName_29	6003	5012	5017	4005	0	1	2	10	4	2	10
501301	text_fateName_15	5013	5014	0	0	0	1	2	6	0	0	0
501302	text_fateName_36	5001	5013	0	0	0	4	2	10	0	0	0
501303	text_fateName_54	5013	5014	5019	0	0	4	2	20	0	0	0
501304	text_fateName_23	6008	5016	5013	5020	0	1	2	16	0	0	0
501401	text_fateName_15	5013	5014	0	0	0	1	2	6	0	0	0
501402	text_fateName_34	5006	5014	0	0	0	1	2	6	0	0	0
501403	text_fateName_54	5013	5014	5019	0	0	4	2	20	0	0	0
501404	text_fateName_27	6002	5014	5009	5001	0	1	2	16	0	0	0
501501	text_fateName_16	5015	5016	0	0	0	1	2	6	0	0	0
501502	text_fateName_32	5002	5015	0	0	0	1	2	6	0	0	0
501503	text_fateName_51	5012	5015	5007	0	0	4	2	20	0	0	0
501504	text_fateName_28	6006	5002	5015	5019	0	1	2	16	0	0	0
501601	text_fateName_16	5015	5016	0	0	0	1	2	6	0	0	0
501602	text_fateName_35	5016	5019	0	0	0	1	2	6	0	0	0
501603	text_fateName_52	5004	5006	5016	0	0	1	2	12	0	0	0
501604	text_fateName_23	6008	5016	5013	5020	0	1	2	16	0	0	0
501701	text_fateName_17	5017	5018	0	0	0	4	2	10	0	0	0
501702	text_fateName_38	5003	5017	0	0	0	2	2	12	3	2	12
501703	text_fateName_49	5001	5017	5003	0	0	2	2	24	3	2	24
501704	text_fateName_29	6003	5012	5017	4005	0	1	2	10	4	2	10
501801	text_fateName_17	5017	5018	0	0	0	4	2	10	0	0	0
501802	text_fateName_40	5018	5020	0	0	0	4	2	10	0	0	0
501803	text_fateName_53	5008	5010	5018	0	0	1	2	12	0	0	0
501804	text_fateName_24	6001	5018	5007	4003	0	1	2	10	4	2	10
501901	text_fateName_18	5019	5020	0	0	0	1	2	6	0	0	0
501902	text_fateName_35	5016	5019	0	0	0	1	2	6	0	0	0
501903	text_fateName_54	5013	5014	5019	0	0	4	2	20	0	0	0
501904	text_fateName_28	6006	5002	5015	5019	0	1	2	16	0	0	0
502001	text_fateName_18	5019	5020	0	0	0	1	2	6	0	0	0
502002	text_fateName_40	5018	5020	0	0	0	4	2	10	0	0	0
502003	text_fateName_55	6006	5002	5020	0	0	1	2	12	0	0	0
502004	text_fateName_23	6008	5016	5013	5020	0	1	2	16	0	0	0
